"","M110T41_2_pos","M195T35_pos","M74T42_pos","M145T253_neg","M383T176_neg","M258T41_neg","M89T71_neg","M229T45_neg","M339T37_neg","M306T80_neg","M174T41_neg","M145T39_neg","M203T264_neg","M664T67_neg","M122T103_neg","M288T106_neg","M180T105_neg","M243T133_neg","M151T114_neg","M283T230_neg","M204T285_neg"
"3",0.030250719041748,-0.238353712285669,0.428880968607476,-0.0956044795996675,0.400812781048047,0.93230570413134,-1.90264065037925,1.77486978250709,-0.0237348871318633,-0.621193587167503,0.360924699966203,1.67052926780011,-0.045542238897918,-2.12143341412043,-0.739317959308968,-0.918128258663581,3.82854363032383,-1.52966433613129,1.7609189865443,0.326564004090857,-1.39561188835686
"9",-0.697684534965744,-0.441468630397684,0.367468521091919,-0.261422942005849,-0.227079765117327,-0.401397312340193,2.62429683007761,-0.25843594874021,-0.258233212458118,0.819430645773219,-0.0839502746195732,-1.22745894061228,-2.71924599380241,0.710509307934573,-0.0807561737839561,0.0337151778396672,2.73780877584431,0.156409682526781,-1.25665931474922,-0.583758681170532,-1.97956339266909
"13",-0.141594599761113,0.0657029536317154,-1.9813369424313,0.409282085676911,-0.0527704494257863,-0.247391062393734,-2.41078823138789,0.389774056875634,-0.127989883930662,-0.427754442877873,-0.0117068402187972,0.219262145287992,-0.0702123984421584,-1.68329986558858,-0.688334688731826,-0.41405907175352,-2.56110450995087,-3.22594151387672,-1.3804636370737,-0.577873466512737,-0.983225589012212
"19",-0.435771236159334,-0.341699215484082,-0.333977843476146,-0.140397879493105,-0.245719542158804,-0.544667126291497,3.75528086283685,-0.635973805522479,-0.249444072722801,-0.262361122675255,-0.0222436535073592,-0.861995274298651,-6.11712703861378,0.840062243974901,-0.193409580413887,1.12036390044041,1.69964674921787,4.66653754071032,-0.698769038399905,-0.180386179305987,-0.336834782613782
"22",-0.401463578905987,-0.173146660765783,-1.83970698067,-0.21384457946633,0.0625624381635957,-0.391872874389736,-1.4563431787353,-0.36577964365702,-0.168524180749313,-0.441656474254447,-0.493622455963359,0.22755744035157,4.55500995251879,0.29737688894978,-0.0897452475140693,0.657882788147108,0.635553866407216,3.32957911189714,4.02864865553184,0.286432827063149,2.49997509157401
"28",-0.260973550405225,-0.269843635064241,-1.32048395151348,-0.227540175058555,-0.313691393237429,-0.758320321343717,4.49318352297786,-0.609420077329139,-0.110705810414859,1.67676462354264,-0.493162289287296,-1.52346910466722,-4.0870417363614,3.24523605213704,0.219700205073357,1.31496784285242,-1.89942077755097,3.34626502885393,-2.39310952795854,-0.525966266364422,-1.17963856280066
"32",-0.454179708670825,-0.0658839905947891,-1.88426595266422,-0.214401666611695,0.181650587494209,1.20501640737522,0.491229683274106,0.167633865867854,0.113722288708154,0.200497031714778,-0.35694941360156,0.0315367989209945,-3.20230664042128,-0.725939145700664,-0.515876690130138,0.268327326719833,-1.80590220311317,-0.163272382110128,-0.0715372005555184,-0.468382187870688,2.54665762353437
"42",0.1329161778503,-0.142169995180796,-1.60373443687939,-0.13329367314068,0.546290421736922,0.999900740923911,-1.12283708039547,-0.848896794552205,0.0927946841466982,0.00820828957302052,0.610150172724615,0.597923167164065,-0.921086160436102,-0.364634367456578,-0.555528309936316,-0.263822289691414,-0.247955661088871,-1.46775650454751,4.0178592236761,0.585917246405675,0.0186741829383568
"48",-0.504781417010469,-0.447591421331291,-1.26635155994667,-0.315414500576893,-0.0552305247374271,-0.486508906664225,-0.626203474977989,-0.168582743043646,-0.185855178835804,1.68890694644059,-0.566886389099706,-1.83817557853779,-3.19396289041604,0.304622451773598,-0.176233114132267,0.46816264807911,-2.60834286753434,0.92994393868821,-2.26908276484618,-0.324653993828196,-0.497923688181834
"52",0.734785779249383,2.21732248824935,-2.16120493943201,-0.0677374054004824,0.172475845307008,-0.470932943691742,-3.53542987277045,1.70848482168318,0.279886621409443,-0.707673597843395,1.34981669067299,5.05303999891001,1.1603043044692,-2.40180361041852,-0.685274352625918,-0.739977312111086,-0.692731125402635,-5.55319991301636,-0.0149709421635876,-0.281639187663716,-0.130177064770216
