"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X1.96392",-0.075433,0.049144,-0.10173,0.073995,0.02266,0.0096987,-0.22316,0.064502
"X1.98396",-0.15235,0.093285,-0.2855,0.19838,-0.0033929,-0.064597,-0.1062,-0.069834
"X2.004",-0.086113,0.024342,-0.061589,-0.022926,0.10353,-0.34212,0.084911,0.079382
"X2.02404",-0.12609,0.064632,-0.011219,-0.077945,0.15943,-0.15522,0.049109,-0.056061
"X2.04408",-0.043145,0.024626,0.059178,-0.074211,0.057561,-0.31548,0.23575,-0.081153
"X2.06412",-0.010944,0.0035474,0.039087,-0.03956,0.0036073,-0.24316,0.19322,-0.02681
"X2.08416",-0.0097262,0.017562,0.039446,-0.013957,0.015238,-0.17096,0.18296,0.018583
"X2.1042",-0.015072,0.01707,0.091434,-0.089137,0.042348,-0.16456,0.10344,-0.017923
"X2.12424",-0.017147,-0.0079649,0.074277,-0.093858,0.074095,-0.10227,0.064406,-0.032805
"X2.14428",-0.017147,-0.0079649,0.074277,-0.093858,0.074095,-0.10227,0.064406,-0.032805
"X2.16432",-0.0033337,-0.052645,0.0069789,-0.056174,0.051542,-0.1055,0.012965,0.0024423
"X2.18436",-0.0039523,-0.040756,0.052481,-0.046149,0.034416,-0.12636,0.038973,-0.014363
"X2.2044",-0.0035672,-0.040105,0.084861,-0.046179,0.024297,-0.092627,0.024779,-0.033385
"X2.22444",-0.021222,0.010802,0.067448,-0.040939,0.049926,-0.02927,-0.046913,-0.016498
"X2.24448",-0.024657,0.0047099,0.024988,-0.015002,0.037928,-0.0011451,-0.086149,0.013415
"X2.26452",-0.028494,0.0061565,0.010716,-0.0021589,0.0071612,0.044731,-0.13168,0.044828
"X2.28456",-0.055545,0.016205,-0.13505,0.13957,-0.040765,0.069336,-0.20011,0.082944
"X2.3046",-0.061391,0.15474,-0.34343,0.44495,-0.23246,-0.019189,0.17842,-0.057674
"X2.32464",-0.066465,0.12222,0.006424,-0.099458,-0.0046921,-0.12769,0.11851,0.086221
"X2.34468",-0.079413,-0.006486,0.076674,-0.38846,0.32147,0.19021,0.11142,-0.087829
"X2.36472",-0.010374,-0.062215,0.081966,-0.099326,0.099642,-0.0086522,0.091971,0.028193
"X2.38476",0.014601,-0.030007,0.046782,0.0058155,-0.024296,-0.15909,0.10154,0.018534
"X2.4048",0.012508,-0.020236,0.037133,-0.0045332,-0.01642,-0.12228,0.088248,-0.0067827
"X2.42484",0.008919,-0.011278,0.019155,-0.0025678,-0.010989,-0.10841,0.068327,-0.010839
"X2.44488",0.0056647,-0.0081095,0.016964,-0.0043342,-0.006073,-0.080724,0.045421,-0.01747
"X2.46492",0.023379,-0.056607,0.18316,-0.025676,-0.042832,-0.061878,0.11061,-0.10647
"X2.48496",0.014865,-0.035267,0.095328,-0.012368,-0.02112,-0.060788,0.074075,-0.055491
"X2.505",0.0088335,-0.015865,0.058014,-0.010543,-0.012915,-0.039105,0.053327,-0.059558
"X2.52504",0.0062888,-0.0072764,0.047817,-0.0049051,-0.0065313,-0.001392,0.030969,-0.07409
"X2.54508",0.0043279,-0.0015472,0.042817,-0.0048285,-0.0037185,0.011821,0.023456,-0.076009
"X2.56512",0.0035927,0.0048487,0.040593,-0.0058081,-0.0034602,0.029264,0.01605,-0.081107
"X2.58516",0.0035451,0.0068429,0.0473,-0.0058808,-0.0028991,0.034509,0.013619,-0.085276
"X2.6052",0.0028382,0.0083227,0.042692,-0.0049726,-0.00091307,0.041467,0.012337,-0.085703
"X2.62524",0.00036985,0.013278,0.035088,-0.0051542,0.0015362,0.045862,0.0069015,-0.087401
"X2.64528",-0.0017788,0.017457,0.032555,-0.0065199,0.0050792,0.045147,0.0061569,-0.088429
"X2.66532",-0.0031161,0.022405,0.032076,-0.0078541,0.0061581,0.045742,0.010231,-0.091197
"X2.68536",-0.0030431,0.020036,0.037185,-0.0068351,0.0046805,0.044129,0.015198,-0.095075
"X2.7054",-0.0088425,0.029836,0.042112,-0.01186,0.012583,0.02509,0.019067,-0.097299
"X2.72544",-0.013191,0.041441,0.046277,-0.014623,0.017213,-0.0087913,0.030172,-0.10291
"X2.74548",-0.033495,0.080923,0.020932,-0.00015792,0.0082636,-0.054874,0.072542,-0.094731
"X2.76552",-0.083154,0.05674,-0.0052273,-0.03689,0.10484,0.019088,0.018779,-0.056407
"X2.78556",-0.038349,-0.031889,0.018175,-0.040294,0.073284,0.015683,-0.033991,0.042347
"X2.8056",-0.043207,0.015013,0.0586,-0.059329,0.043108,-0.0046469,-0.014347,-0.065093
"X2.82564",-0.025057,-0.0047713,0.099037,-0.074967,0.064543,0.016667,0.0095071,0.00036521
"X2.84568",-0.019897,-0.0053331,0.092077,-0.065153,0.05887,0.0056143,0.032586,-0.010278
"X2.86572",-0.0015788,-0.022554,0.057587,-0.02618,0.0088386,-0.03367,0.0035041,0.016258
"X2.88576",0.0014086,-0.037025,0.020514,-0.012348,0.0047135,-0.014852,-0.0016975,0.013286
"X2.9058",0.0024975,-0.033828,0.017244,-0.003963,0.005833,0.0019701,-0.014939,-0.0011665
"X2.92584",0.0027454,-0.029916,0.015706,-0.0035403,0.0075344,0.015127,-0.019361,-0.0079631
"X2.94588",0.0024202,-0.030203,0.014443,-0.0044393,0.0054993,0.025193,-0.020776,-0.015934
"X2.96592",0.0025711,-0.024818,0.012822,-0.0026687,0.0060658,0.044324,-0.026074,-0.020997
"X2.98596",0.002181,-0.027967,0.017173,-0.0045032,0.0066001,0.046716,-0.026698,-0.021381
"X3.006",0.0026825,-0.018641,0.013559,0.00090911,0.0046788,0.05449,-0.033011,-0.02809
"X3.02604",0.002506,-0.015791,0.013653,0.001227,0.0045502,0.062709,-0.034964,-0.03025
"X3.04608",0.0026325,-0.015779,0.01368,0.0018058,0.0040184,0.063025,-0.037822,-0.033094
"X3.06612",0.0022019,-0.010691,0.013103,0.0024384,0.0030566,0.068594,-0.039134,-0.033836
"X3.08616",0.0017539,-0.0081377,0.011174,0.0011815,0.00066727,0.072551,-0.04007,-0.028611
"X3.1062",0.0013939,-0.0040817,0.011055,-0.00021997,-0.0026414,0.078091,-0.035061,-0.02735
"X3.12624",0.002138,-0.0040065,0.017463,0.0013625,-0.0011413,0.076879,-0.031991,-0.029019
"X3.14628",0.0017849,-0.0024278,0.018412,0.0023743,0.002995,0.07651,-0.033445,-0.030388
"X3.16632",0.0015026,0.00041723,0.025699,9.071e-05,0.0060702,0.076986,-0.032116,-0.031802
"X3.18636",0.010189,-0.021659,0.072744,-0.0033934,-0.016114,0.035999,0.015247,-0.041671
"X3.2064",0.021741,-0.074987,0.19893,-0.032528,-0.038508,-0.028681,0.07981,-0.10324
"X3.22644",0.0067217,-0.032556,0.020964,-0.0065916,-0.00669,0.056701,-0.017441,0.0033343
"X3.24648",0.0015118,-0.005881,0.013464,-0.015666,-0.022263,0.070249,-0.025628,0.012937
"X3.26652",0.00032219,-0.0016978,0.028426,-0.025968,-0.041123,0.046168,-0.020482,0.017296
"X3.28656",0.003133,0.0019205,0.045379,-0.022659,-0.050928,0.019385,0.0096116,0.0090291
"X3.3066",0.00018706,0.042056,0.020952,-0.022626,-0.082252,-0.01281,-0.0054753,0.044678
"X3.32664",-0.0080449,0.084735,0.038805,-0.017132,-0.071922,-0.040228,-0.0049666,0.027593
"X3.34668",-0.013046,0.037728,0.078975,-0.076127,-0.0087708,0.0088016,-0.026653,0.015571
"X3.36672",0.0088654,-0.0051067,0.081946,-0.011837,-0.03213,-0.013883,-0.0054671,-0.022946
"X3.38676",-0.0014422,0.017641,0.013926,-0.012456,-0.030356,0.048318,-0.027192,0.014457
"X3.4068",-0.00072846,0.0062844,0.0067222,-0.0011366,-0.017936,0.056209,-0.039005,0.00065996
"X3.42684",-0.0022444,0.012308,0.014242,-0.0077505,-0.020404,0.062968,-0.036937,0.0058154
"X3.44688",-0.0014427,0.0019187,0.010089,-0.0031028,-0.0034551,0.06278,-0.039585,-0.0050667
"X3.46692",0.0003311,-0.0033941,0.013429,-0.0074022,0.0037346,0.058466,-0.036648,-0.0033332
"X3.48696",-0.0007199,-0.0308,0.020337,-0.00881,0.017308,0.075854,-0.029815,0.015335
"X3.507",-0.0058116,0.012717,0.064917,-0.024899,0.012194,0.056023,-0.03814,-0.011174
"X3.52704",-0.0097925,0.026638,0.081327,-0.027951,0.0073622,0.048379,-0.038258,-0.015222
"X3.54708",-0.0025004,-0.00054763,0.028831,-0.014165,0.0064851,0.066974,-0.043404,0.0063003
"X3.56712",-0.00077133,-0.0018885,0.016082,-0.011158,0.0059761,0.063199,-0.042675,0.0088114
"X3.58716",-0.0036734,0.014705,0.023189,-0.022077,-0.012312,0.056402,-0.02267,0.034848
