"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1361",-0.81234,0.98979,4.1824,2.5952,-1.2005,-2.0568,1.7149,0.83327
"1411",12.281,0.57699,0.6243,2.3106,0.49283,-4.4133,-10.247,6.3513
"1431",27.706,-4.235,3.7452,-3.5685,-2.6287,0.095596,2.6916,2.795
"1651",11.278,-4.8854,2.3833,3.4147,1.4553,-1.1447,-0.059216,-0.81861
"1761",-1.2098,0.96677,-3.615,-6.4918,-2.8174,3.6151,-2.9271,-0.70139
"1811",21.612,5.3611,-9.9566,2.5843,3.4605,1.9066,-13.584,7.2833
"1841",15.562,4.7955,6.2583,-2.7683,-4.3121,-0.42901,-1.4591,0.49659
"1991",-5.5881,0.34668,-0.31001,0.24421,0.25179,2.0609,1.3132,0.02562
"2001",-5.2246,1.4451,0.056009,-0.42034,1.0668,-0.97302,1.914,-0.047959
"2051",14.217,20.742,-3.188,-24.877,11.443,-16.088,5.695,-0.66207
"2061",21.574,-4.999,0.48202,-4.1208,-3.2688,-1.2375,-1.0268,0.99268
"2091",-4.4639,1.8396,-0.79951,-2.1335,0.032272,3.5234,2.1805,0.62634
"2241",-4.238,1.3566,1.215,-1.8178,-3.6875,-2.7837,0.80098,-0.11314
"10",-12.128,-2.5471,0.12773,4.9121,3.7665,-1.1619,0.98147,1.8284
"41",-0.2954,2.6523,6.0435,5.3321,1.8119,0.29434,3.1703,0.11239
"71",-3.262,3.9048,3.1276,1.2083,1.4435,3.0465,5.3672,0.0069936
"91",12.864,1.9901,6.8038,1.8096,-1.1572,0.89729,1.1754,0.89998
"151",-4.8905,2.3566,3.001,3.3159,2.1015,2.7983,4.0894,0.57483
"251",-6.1399,1.6958,1.3771,1.3454,2.3535,0.89197,-0.2693,1.0185
"351",-9.0937,-1.0138,-0.4481,2.086,1.4127,-0.8951,0.11737,1.1303
"681",10.353,8.5868,11.482,1.5812,-5.2941,-5.7143,-1.2821,1.3042
"701",9.2744,6.8251,5.7021,4.9272,4.4214,0.67067,-11.486,-1.5748
"711",-7.9884,-0.56182,-0.44212,0.75222,0.05727,-0.37485,1.8292,1.2781
"731",-5.4138,0.81668,2.265,3.5143,0.87817,-1.4354,0.41001,-0.075218
"841",-8.0301,-0.14589,1.9244,4.2717,1.555,-0.9857,3.0947,0.80534
"931",-6.4686,-0.028622,-1.0761,0.95643,1.52,2.2208,0.42656,-0.64259
"1031",11.805,-6.0485,3.5411,4.4405,0.64985,-5.013,-0.55596,-0.96714
"1061",-7.0148,-0.065829,1.3293,4.7944,3.4336,1.1247,0.22079,-1.4976
"1081",29.271,-0.9165,6.4911,1.7808,1.5792,2.739,-0.80493,1.7138
"1161",-9.503,-2.9137,-2.5746,-0.052409,-0.83649,-1.1558,-0.87322,-0.77762
"1271",-2.7426,1.3997,3.0362,1.6712,-1.3118,-1.885,0.45643,0.25694
"1351",32.53,-9.0913,1.2882,1.0882,6.9327,5.8253,3.7372,-1.781
"1391",-6.8057,-0.15955,1.1286,2.7491,1.1197,-0.97738,0.33453,-1.1672
"1421",-7.7503,-0.9548,-2.2322,-1.8037,-0.58493,3.0652,3.0557,1.6473
"1451",-2.6491,2.4908,1.8714,0.66496,0.39148,2.7704,1.4788,-0.38897
"1531",-7.1381,0.086141,0.75738,3.2289,1.8255,0.8079,1.5903,-0.64661
"1591",-3.775,1.2122,-0.2418,-1.4377,-1.0658,1.035,-0.49624,-0.86657
"1601",6.1087,7.5596,6.3214,-1.6353,-2.808,1.7981,0.59683,-0.25385
"1631",25.975,-0.52183,4.4918,-0.19401,0.23995,1.9713,-3.4078,-0.52241
"1831",-0.88542,1.6789,1.9502,-0.20912,-1.4372,0.54216,0.21968,0.043434
"1891",-2.9493,3.2278,4.436,3.7997,1.6132,0.99201,3.4179,-1.2987
"1901",18.796,-0.0091583,2.2801,-3.9996,-3.567,1.0148,-2.8865,-0.35138
"1911",1.0375,2.8243,2.8725,0.56295,-0.42592,0.81015,-0.80084,-1.1708
"2121",-0.49906,3.413,-1.1236,-4.9816,-1.0796,7.493,1.8004,-0.10599
"2141",40.116,-7.6165,2.4362,-2.8334,3.0854,5.3638,5.805,-0.44714
"2201",42.393,20.542,-26.24,20.45,-4.4399,-2.6655,7.4131,-2.3833
