NMR exp,Population,Acclimation,nest,0.681361,0.701401,0.721441,0.741481,0.761521,0.781561,0.801601,0.821641,0.841681,0.861721,0.881761,0.901801,0.921841,0.941881,0.961921,0.981961,1.002,1.02204,1.04208,1.06212,1.08216,1.1022,1.12224,1.14228,1.16232,1.18236,1.2024,1.22244,1.24248,1.26252,1.28256,1.3026,1.32264,1.34268,1.36272,1.38276,1.4028,1.42284,1.44288,1.46292,1.48296,1.503,1.6032,1.62324,1.64328,1.66332,1.68336,1.7034,1.72344,1.74348,1.76352,1.78356,1.8036,1.82364,1.84368,1.86372,1.88376,1.9038,1.92384,1.94388,1.96392,1.98396,2.004,2.02404,2.04408,2.06412,2.08416,2.1042,2.12424,2.14428,2.16432,2.18436,2.2044,2.22444,2.24448,2.26452,2.28456,2.3046,2.32464,2.34468,2.36472,2.38476,2.4048,2.42484,2.44488,2.46492,2.48496,2.505,2.52504,2.54508,2.56512,2.58516,2.6052,2.62524,2.64528,2.66532,2.68536,2.7054,2.72544,2.74548,2.76552,2.78556,2.8056,2.82564,2.84568,2.86572,2.88576,2.9058,2.92584,2.94588,2.96592,2.98596,3.006,3.02604,3.04608,3.06612,3.08616,3.1062,3.12624,3.14628,3.16632,3.18636,3.2064,3.22644,3.24648,3.26652,3.28656,3.3066,3.32664,3.34668,3.36672,3.38676,3.4068,3.42684,3.44688,3.46692,3.48696,3.507,3.52704,3.54708,3.56712,3.58716,3.6072,3.62724,3.64728,3.66732,3.68736,3.7074,3.72744,3.74748,3.76752,3.78756,3.8076,3.82764,3.84768,3.86772,3.88776,3.9078,3.92784,3.94788,3.96792,3.98796,4.008,4.02804,4.04808,4.06812,4.08816,4.1082,4.12824,4.14828,4.16832,4.18836,4.2084,4.22844,4.24848,4.26852,4.28856,4.3086,4.32864,4.34868,4.36872,4.38876,4.4088,4.42884,4.44888,4.46892,4.48896,4.509,4.52904,4.54908,4.56912,4.58916,4.6092,4.62924,4.64928,4.66932,4.68936,4.7094,4.72944,4.74948,4.76952,4.78956,4.8096,4.82964,4.84968,4.86972,4.88976,4.9098,4.92984,4.94988,4.96992,4.98996,5.01,5.03004,5.05008,5.07012,5.09016,5.1102,5.13025,5.15029,5.17033,5.19037,5.21041,5.23045,5.25049,5.27053,5.29057,5.31061,5.33065,5.35069,5.37073,5.39077,5.41081,5.43085,5.45089,5.47093,5.49097,5.51101,5.53105,5.55109
14,K,25,K159*,97.847,-2.675,-5.105,-8.583,43.713,181.473,451.830,584.795,3674.080,6578.930,1052.350,519.992,403.579,460.378,435.991,620.930,252.665,303.029,466.779,475.863,372.878,442.001,514.340,450.943,587.599,834.961,2070.540,17714.400,13030.700,12617.000,12455.400,8284.570,5269.050,1285.590,187.095,91.257,87.651,154.512,125.694,155.231,238.109,153.185,2252.510,1350.600,226.725,148.273,167.581,159.565,57.035,44.770,42.323,73.787,192.099,146.389,54.584,45.420,50.310,71.585,144.424,259.284,961.878,4456.340,1554.990,2846.460,559.286,153.579,124.373,157.465,119.874,119.874,50.242,48.967,64.974,126.420,136.787,200.869,728.954,1413.160,1347.970,2071.420,247.276,16.679,5.585,-5.705,-7.966,-3.579,-1.180,-2.124,-1.033,-0.158,-0.347,0.349,0.021,-0.463,0.484,1.776,6.368,14.526,19.121,179.631,1209.270,342.369,420.854,235.078,180.204,45.947,34.778,22.762,20.409,17.447,17.106,17.775,15.270,13.429,12.870,13.165,13.626,12.238,12.186,11.712,13.354,14.782,12.262,12.841,16.242,17.680,14.766,17.738,75.469,201.159,21.338,17.973,17.800,18.914,16.432,13.035,13.705,42.274,64.461,20.516,12.097,38.694,61.230,25.076,81.504,377.596,85.758,64.168,39.756,30.088,34.742,38.753,24.925,40.791,20.608,7.222,6.311,10.508,63.161,15.120,14.198,18.722,10.237,9.953,36.263,29.422,26.130,25.891,253.841,517.412,74.847,33.136,61.647,11.076,15.859,62.383,510.717,84.988,10.332,3.773,4.247,3.748,5.180,0.560,-0.518,-0.596,-0.027,0.641,2.248,2.394,1.088,5.827,14.419,4.607,1.382,0.730,1.311,2.284,1.418,0.052,-0.136,0.016,-0.217,-0.154,0.066,0.067,0.571,1.465,5.841,1.498,1.813,1.956,3.450,4.092,5.582,10.722,17.454,24.779,17.357,17.625,22.231,27.090,26.116,37.737,206.605,220.047,102.196,439.491,2142.580,2584.040,1617.480,820.575,149.172,14.294,0.499,-8.434,-8.453,-7.029,-4.664,-1.463
21,B,15,B126a ,40.552,-3.773,-6.029,-8.822,3.298,65.898,176.682,261.291,1028.830,2093.930,342.794,188.133,142.814,150.152,137.822,190.143,96.382,97.976,150.496,150.548,111.467,114.942,131.509,90.886,117.448,163.055,415.380,5407.500,4695.260,4774.970,4084.710,2476.010,1266.350,570.728,319.788,293.472,294.762,334.646,393.143,536.869,981.761,4512.080,344.850,113.627,37.511,34.263,31.025,32.199,12.865,10.589,10.004,16.526,48.070,48.312,19.659,14.355,16.340,23.136,44.028,79.343,316.598,1527.810,386.157,618.113,155.034,50.229,35.683,31.707,25.329,25.329,16.166,14.777,19.053,37.727,44.157,63.858,316.202,1004.970,234.134,127.286,41.903,10.598,4.666,2.167,0.844,-0.023,0.468,-0.233,-0.263,-0.943,-1.261,-0.840,-1.834,-2.494,-2.744,-2.402,-0.859,0.953,3.185,33.664,243.792,72.416,94.919,35.267,22.689,4.220,1.276,0.526,-0.241,0.105,-0.162,-0.117,-0.048,-0.056,0.264,-0.088,0.003,-0.117,-0.306,-0.352,0.402,1.041,0.050,-0.431,0.278,-0.006,-0.326,-0.249,1.143,22.116,6.084,0.996,1.709,1.710,1.294,-0.724,1.140,7.050,16.108,2.962,-0.124,0.908,3.885,2.056,4.346,21.142,5.225,10.216,5.566,3.208,1.869,0.970,1.333,4.148,1.449,-0.975,-1.108,-0.644,1.868,-0.185,0.973,2.366,0.622,0.035,6.090,6.772,5.680,7.777,147.815,400.694,17.868,5.046,6.143,2.568,7.858,25.903,422.414,91.972,10.150,4.609,5.584,3.272,2.561,1.755,0.553,0.170,-0.269,-0.173,-0.191,0.026,0.210,1.617,5.364,1.960,0.894,-0.068,0.778,1.081,0.645,0.145,-0.349,0.081,0.154,0.050,-0.043,-0.008,-0.218,-0.015,0.327,-0.135,0.022,-0.313,0.162,0.164,0.534,1.658,4.693,7.699,6.066,6.606,6.346,10.969,8.254,12.594,127.209,165.495,26.366,107.910,599.923,775.838,349.736,179.126,31.762,5.940,1.530,-0.751,-0.782,-0.964,-0.777,0.615
31,K,29,K162,49.070,0.255,-0.334,-1.664,11.013,71.146,186.026,264.781,1378.210,2955.790,399.447,195.297,153.405,161.967,150.218,213.226,98.564,108.874,173.197,176.319,130.587,139.496,165.278,123.371,164.514,233.183,608.245,7212.390,5737.420,6087.790,5673.550,3179.270,1974.680,799.898,343.229,288.574,287.116,333.210,386.182,516.348,880.967,2456.320,531.007,201.327,51.232,53.749,51.617,44.375,16.888,14.483,14.444,23.639,63.537,59.523,28.535,26.554,31.017,42.796,81.830,143.823,447.472,1823.150,617.798,1170.230,230.898,60.709,67.077,47.894,38.343,38.343,19.485,18.196,25.004,51.152,58.794,86.830,432.997,1285.550,341.971,217.557,63.711,10.590,1.027,-0.538,-1.397,-0.201,0.248,-0.017,0.086,0.017,-0.049,-0.074,0.045,0.306,0.109,0.833,4.059,8.975,14.790,88.362,495.564,132.859,155.036,80.347,57.224,7.728,2.612,1.337,0.333,0.020,-0.349,1.100,-0.425,-0.292,-0.263,-0.130,-0.039,0.122,0.481,0.397,0.974,2.409,1.373,1.653,2.222,2.754,1.726,1.755,2.880,4.583,3.616,2.894,4.195,3.782,3.990,3.387,7.210,13.880,23.066,6.252,4.029,6.221,8.719,8.416,18.906,124.137,11.421,17.265,25.054,15.812,5.190,3.296,4.253,7.538,5.251,2.840,2.452,2.899,6.015,3.291,5.503,6.555,3.543,4.068,15.519,14.001,12.378,12.573,190.892,495.693,21.938,10.936,9.345,9.659,14.339,34.747,520.313,118.888,12.517,5.226,5.475,1.951,1.418,0.978,0.281,0.462,-0.315,-0.220,-0.507,-0.595,-0.544,0.625,3.687,0.927,0.236,-0.391,0.159,0.084,0.196,-0.252,-0.079,0.012,0.268,0.332,0.676,0.963,1.188,1.559,3.097,2.064,2.076,2.391,3.022,3.185,3.919,8.985,12.552,13.667,10.043,8.454,10.030,13.724,13.923,21.002,168.638,212.550,52.520,200.409,897.958,1042.570,663.979,352.960,64.252,10.628,3.741,-0.804,-0.641,-0.745,-0.406,0.781
61,K,23,Kmix1,125.619,0.674,-2.979,-5.177,18.923,118.960,307.268,475.564,3611.130,7037.960,769.934,315.588,236.342,319.074,292.749,491.014,141.697,164.056,310.429,331.987,202.419,251.648,297.391,192.706,272.966,404.248,1350.910,18469.600,14478.000,15696.700,14177.600,8185.220,4829.020,1519.590,421.372,269.792,230.056,281.978,243.519,254.900,359.994,271.314,1776.910,854.791,203.579,201.916,198.963,165.898,84.778,78.379,79.231,108.462,245.148,207.845,112.828,108.099,118.296,151.621,247.725,391.086,1252.810,4999.140,1445.170,2809.680,516.941,119.473,140.604,113.293,91.249,91.249,35.552,40.076,61.531,143.249,157.511,242.617,1170.140,3161.550,1062.380,1113.870,90.108,-24.426,-25.388,-26.190,-23.650,-12.797,-9.908,-11.634,-10.140,-8.316,-7.567,-5.371,-4.539,-2.894,-0.931,2.407,9.896,22.814,35.360,226.406,1188.330,313.607,412.387,203.358,144.874,13.817,7.656,1.030,-0.336,-0.880,-0.743,0.173,-0.479,-0.031,0.055,-0.285,1.310,1.750,1.860,1.212,3.300,4.715,1.995,2.738,4.915,6.363,6.481,10.942,112.468,210.251,20.039,15.855,15.721,17.445,13.263,8.722,16.521,39.759,71.991,21.778,10.750,16.623,22.159,25.277,73.227,454.764,34.872,28.215,41.483,47.126,29.485,31.810,12.259,20.234,7.152,4.380,4.619,7.126,12.823,8.965,16.978,19.800,9.080,19.230,42.688,32.677,30.456,32.687,467.674,1191.290,54.162,28.511,20.198,14.300,18.733,85.053,1237.040,250.408,24.817,11.798,13.806,16.053,28.543,9.359,2.659,1.963,2.115,4.524,4.656,2.304,1.649,4.912,11.847,4.470,1.478,0.475,1.069,1.219,0.767,-0.043,0.298,-0.112,-0.045,-0.181,0.042,-0.049,0.403,0.632,3.276,1.509,1.596,1.416,2.474,2.733,3.896,8.904,16.726,23.713,14.706,13.599,20.913,24.995,23.799,44.259,395.516,459.429,69.004,411.322,2233.820,2807.120,1664.970,894.104,174.250,26.405,8.966,-3.822,-5.592,-5.258,-4.439,-1.264
81,K,15,Kmix2,99.533,2.383,-0.933,-2.774,12.055,88.870,290.630,420.897,2755.250,5325.830,588.686,245.281,182.230,246.327,219.952,365.816,127.338,132.760,258.665,261.068,159.331,193.362,224.337,134.978,190.323,298.666,988.625,13649.000,11363.200,12030.000,11092.300,6364.730,3703.860,1229.770,390.793,278.461,241.087,270.433,232.113,240.337,310.258,256.524,1217.350,629.995,187.754,162.881,153.980,134.231,82.624,77.101,75.325,94.644,189.176,185.535,104.955,94.328,103.376,129.903,196.529,303.183,987.034,3896.090,1104.400,2162.460,421.661,99.725,88.621,80.005,67.889,67.889,38.659,41.538,57.518,110.977,132.076,195.885,826.457,2541.820,709.378,681.183,92.685,-1.335,-6.390,-7.463,-5.977,-3.721,0.291,-0.346,2.139,1.430,0.030,1.391,1.691,2.812,4.683,6.887,13.425,24.334,36.790,182.854,915.413,230.464,277.828,118.095,85.918,13.728,3.116,2.403,1.647,0.218,-0.415,-0.048,-0.150,0.098,0.258,0.064,1.361,-0.589,-0.368,-0.365,0.729,1.326,0.453,0.628,3.131,4.801,4.107,1.182,5.317,31.976,2.154,2.320,5.554,3.952,3.988,0.861,4.456,21.994,44.225,8.206,2.003,5.068,9.225,12.181,21.360,105.426,20.926,23.276,29.113,10.654,6.768,0.800,3.851,7.042,1.660,-1.584,-1.646,-0.433,6.113,0.805,2.630,3.332,0.584,1.585,17.566,20.639,21.428,17.644,356.251,960.205,47.538,22.518,15.044,10.851,12.970,58.781,1006.340,211.250,22.719,7.928,8.374,2.520,2.475,2.117,0.122,0.268,0.002,-0.242,-0.043,-0.253,0.226,4.684,14.067,5.424,1.624,0.697,1.079,1.445,0.733,-0.119,0.300,0.095,-0.413,-0.190,0.410,0.104,-0.440,-0.486,1.079,-0.201,-0.540,-0.486,0.343,0.738,1.195,7.279,14.342,13.976,10.780,9.725,12.177,19.652,16.427,27.630,309.024,379.960,58.059,318.183,1722.080,2127.780,1224.990,651.212,114.661,23.730,10.202,0.372,-1.199,-1.062,-0.307,1.495
111,O,19,E011*,104.790,1.822,0.044,-0.723,17.504,106.395,286.979,436.219,3252.640,6613.250,567.208,220.743,179.834,262.427,214.900,342.221,122.151,117.302,232.502,242.029,147.380,178.347,212.057,128.559,208.495,306.039,1095.000,18697.000,14929.600,15510.100,13581.700,7765.980,4127.270,1329.180,406.250,277.853,233.220,261.718,224.666,228.798,306.005,259.011,1489.770,725.720,181.215,156.666,151.589,149.577,77.603,70.896,70.755,89.742,178.046,179.234,103.888,96.997,107.847,138.214,215.026,324.844,1161.320,5019.150,1236.230,2289.320,473.416,103.398,76.444,83.677,78.699,78.699,28.026,32.084,48.194,109.208,138.391,220.395,1041.990,3390.940,795.209,897.312,103.819,-28.036,-30.552,-28.373,-26.434,-21.620,-16.471,-16.489,-15.028,-13.918,-12.236,-10.340,-9.396,-8.742,-6.402,-3.164,2.926,14.607,26.143,170.082,956.341,247.135,326.755,126.946,91.292,1.230,-7.089,-9.484,-9.544,-9.868,-9.423,-8.821,-9.367,-9.062,-8.807,-8.631,-7.693,-8.259,-7.922,-7.776,-6.535,-5.049,-6.332,-6.219,-4.356,-2.481,-2.962,-1.415,30.619,97.151,5.198,3.636,7.060,6.714,5.410,-1.939,-1.045,17.508,46.599,9.620,-0.249,10.504,24.130,12.184,29.465,238.855,25.559,26.959,37.222,48.775,3.444,6.103,3.874,10.153,2.433,-3.623,-3.708,-1.424,21.548,2.012,2.894,5.614,0.617,1.337,25.526,24.489,20.511,19.507,446.351,1295.980,60.314,25.506,33.667,10.930,11.514,64.698,1315.570,298.988,29.244,10.742,11.300,5.774,8.172,3.099,0.255,-0.051,-0.018,-0.091,0.173,0.011,0.228,4.465,13.112,5.112,0.994,0.221,0.974,1.426,0.979,-0.160,0.053,0.065,-0.003,0.030,-0.030,0.009,0.079,0.305,3.061,0.934,0.838,0.619,1.000,1.409,2.356,9.209,15.848,15.754,11.272,10.921,16.057,25.771,20.720,34.072,383.976,502.225,46.445,313.028,1977.710,2688.620,1371.820,746.886,147.808,31.284,12.311,1.008,-0.439,-0.868,-0.440,2.217
161,K,19,K162,61.201,3.241,2.724,2.919,17.659,76.601,193.557,291.124,1186.240,2426.700,289.384,122.247,84.748,94.463,102.455,181.796,62.678,70.254,135.906,138.509,85.868,93.413,111.804,62.680,88.802,133.331,397.311,5978.140,4941.900,4903.330,4810.430,2893.030,1885.590,663.738,234.268,187.876,163.717,172.201,161.674,168.590,216.826,201.262,580.659,452.992,109.187,87.174,85.799,84.304,39.658,34.891,34.378,40.747,82.143,81.160,43.165,37.323,40.269,49.128,77.419,119.489,344.641,1533.730,479.515,961.401,208.793,46.797,39.415,46.284,42.916,42.916,18.923,18.748,24.544,49.884,53.258,74.916,307.403,927.085,310.306,557.339,72.373,-1.578,-1.547,-2.356,-1.820,-2.994,0.648,-0.379,-0.087,-0.480,-0.377,0.537,0.726,1.588,2.046,3.351,8.038,14.300,18.270,70.673,401.350,108.039,112.442,59.551,46.659,10.454,2.466,1.960,0.937,-0.106,-0.334,-0.178,0.099,0.217,0.072,-0.408,0.304,0.004,0.179,0.071,0.821,2.143,0.859,0.888,3.706,6.192,4.674,2.085,5.462,36.101,3.848,2.707,2.831,3.128,2.945,2.187,4.396,13.694,24.309,6.204,3.049,9.333,19.197,12.462,23.438,100.081,23.575,21.260,10.464,5.031,3.190,0.751,4.603,5.923,3.245,0.110,0.035,1.272,15.479,3.230,2.460,3.748,1.865,1.834,11.080,11.243,9.880,8.784,119.290,347.823,24.721,10.312,18.286,3.612,7.496,19.279,340.857,83.470,9.723,4.374,4.601,2.723,3.532,2.541,0.532,0.143,-0.162,-0.199,0.061,-0.304,-0.205,1.372,3.799,1.594,0.591,-0.026,0.288,0.600,0.867,0.249,-0.055,-0.191,0.187,0.164,-0.139,-0.233,0.106,0.164,1.560,0.233,0.127,-0.266,-0.086,0.355,0.303,2.165,4.610,7.155,6.749,7.622,8.867,11.270,6.996,10.182,103.912,131.782,17.759,107.307,660.892,913.879,540.487,311.669,63.330,14.489,6.271,0.757,0.002,-0.123,0.142,2.687
171,S,19,S069,29.273,2.062,0.667,-0.442,3.607,41.685,142.159,228.316,493.431,748.267,156.858,85.309,64.996,56.110,62.785,98.382,56.051,58.154,99.581,94.668,62.793,59.133,64.493,30.740,34.970,50.815,147.397,2354.840,1819.100,1562.030,1364.040,873.849,552.899,332.802,225.459,220.243,223.367,259.298,309.042,430.025,835.186,6420.630,96.780,34.049,8.592,7.844,6.367,10.650,-2.311,-3.768,-4.079,-2.866,16.847,20.480,2.684,-1.928,-1.491,-0.570,8.528,21.207,77.189,391.190,112.836,191.218,55.806,17.421,15.100,12.105,5.673,5.673,1.147,-0.926,1.717,8.932,11.490,19.435,79.389,273.430,72.349,58.262,21.163,5.410,3.789,1.793,0.230,0.175,-0.014,-0.160,-0.047,-0.186,0.268,-0.068,0.157,0.019,-0.040,0.626,3.544,3.660,3.392,14.364,75.368,23.078,31.064,14.815,11.276,2.666,0.825,0.912,0.596,-0.165,0.127,0.073,-0.054,-0.044,0.211,0.058,0.040,-0.214,0.028,-0.167,0.124,1.113,0.068,-0.238,1.290,0.929,0.596,0.025,0.681,1.817,1.366,0.209,0.350,0.506,0.129,0.029,1.312,4.603,8.215,1.201,0.315,2.129,4.238,1.681,4.522,15.176,7.730,10.017,4.943,4.056,1.156,-0.169,0.201,1.319,0.533,-0.566,-1.016,-0.308,2.250,-0.161,-0.034,0.465,-0.363,-0.209,6.386,4.526,3.362,1.068,34.129,105.237,9.723,5.315,4.674,1.552,5.311,4.314,100.189,30.454,5.543,3.409,3.327,2.726,1.653,0.900,0.288,0.184,0.204,-0.313,-0.544,-0.432,-0.575,0.361,2.709,0.533,0.125,0.232,-0.065,0.113,0.121,-0.292,-0.107,-0.235,-0.411,-0.356,0.071,0.127,0.131,0.096,0.023,-0.038,0.096,-0.156,-0.080,0.127,0.065,0.683,1.814,4.395,2.953,1.263,0.700,1.434,0.148,0.625,27.841,38.592,2.990,21.897,151.595,226.917,122.516,67.635,16.498,4.525,2.294,0.126,0.295,-0.079,-0.380,0.013
181,O,15,T031*,144.267,39.436,40.009,45.187,79.811,198.424,445.028,719.452,2864.170,3792.500,48.099,-24.549,-1.531,97.605,131.136,231.372,26.034,52.831,166.285,181.099,105.588,132.487,191.404,133.844,203.072,321.935,900.146,12040.000,9906.560,9977.460,8692.520,4892.840,2535.720,724.243,123.610,75.927,83.195,94.625,95.466,125.938,248.123,316.524,931.971,656.306,174.746,131.120,92.655,57.282,-0.725,43.350,-20.707,-13.334,62.028,49.266,-26.321,-36.001,-40.700,-35.875,-4.701,36.424,425.021,2948.210,991.760,1442.230,468.557,130.828,71.771,55.754,39.918,39.918,-9.513,-11.714,-8.257,8.480,-1.833,-13.490,253.188,2595.980,581.872,889.844,205.483,48.903,26.025,14.829,4.538,99.929,31.072,12.988,8.792,4.838,1.939,2.488,1.304,-0.312,-1.916,-1.822,1.059,2.970,4.140,80.272,589.011,187.969,288.791,126.331,98.223,24.841,10.847,6.956,4.870,2.832,2.360,1.648,0.881,0.600,0.401,-0.148,0.368,-0.414,0.266,-0.219,2.158,14.209,95.616,-3.036,-2.790,0.599,5.064,2.819,-0.397,22.006,5.917,-2.169,0.661,-0.052,1.257,-0.990,2.160,18.429,31.699,-1.386,-4.946,0.886,9.146,2.428,3.571,139.585,21.963,23.843,22.141,5.423,0.227,-3.477,-3.363,4.466,0.772,-6.394,-7.324,-6.814,6.449,-5.081,-5.061,-4.045,-8.620,-10.355,-0.948,-3.786,-9.424,-25.211,183.663,834.525,73.484,28.737,24.657,3.589,-2.782,-13.912,793.967,238.951,41.865,22.186,18.313,11.395,9.735,9.169,5.554,4.646,3.711,3.109,2.660,2.345,2.024,4.582,10.716,4.987,2.845,2.394,2.334,3.193,1.192,-0.004,0.186,-0.022,-0.091,0.056,-0.145,-0.022,0.123,0.072,3.867,0.880,0.244,0.555,0.967,0.567,1.800,7.189,11.325,13.917,9.472,6.438,6.999,10.407,3.550,4.313,205.434,360.812,49.900,204.603,1195.530,1728.720,899.108,508.284,107.442,23.961,11.304,3.993,2.948,2.742,3.142,6.098
