"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"X3.18636",0.27287,0.069204,-0.1594,0.18933,-0.37057,-0.0014898,0.018161,-0.15575,-0.032424,-0.10445,-0.094028,0.16162,0.1422,0.040315,0.04965,0.13056,-0.14143,-0.038004,-0.01583,-0.098857,0.26158,0.06682,-0.053827,-0.048398,0.045568,-0.093984,0.10726,-0.0073611,0.039788,-0.022106,0.08321,0.057108,-0.10868,-0.0099864,0.011182,0.224,-0.14097,-0.096567,-0.021941,0.022051,0.049087,0.0038161,-0.013203,0.042293,-0.10758,0.054671,0.016724,0.052819,-0.025406,0.0099341,0.10828,-0.041762,0.00018342,-0.016196,-0.039364,0.03831,-0.039081,-0.058468,0.13665,0.052981,0.02362,0.017172,-0.0050296,0.045055,0.12172,-0.06789,0.028102,0.022632,-0.098502,0.013568,-0.064198,0.017518,0.13679,-0.047578,0.097107,-0.091571,-0.010485,-0.024216,0.003889,0.033767,-0.028641,-0.066863,-0.031514,0.017334,0.053593,-0.0079337,-0.015126,-0.049024,0.062963,0.0050523,-0.038489,0.015433,0.021462,0.0011141,-0.0097245,0.047846,-0.03418,0.014223,0.044615,0.057044,0.019505,0.0034836
"X3.2064",0.12409,-0.25251,-0.32239,-0.05118,0.083605,-0.079061,0.054486,-0.069747,0.0261,-0.17588,0.084196,-0.076389,-0.15995,-0.19757,-0.19691,-0.022077,0.093655,0.059604,-0.20943,-0.033852,-0.015441,0.079838,0.14896,0.078435,-0.055816,-0.17111,-0.084796,0.080934,0.019352,-0.16012,-0.048427,-0.12551,-0.095016,-0.1865,0.076251,-0.13592,0.0045621,0.04732,-0.082534,-0.020093,-8.2571e-05,0.062154,0.14008,-0.02375,0.022311,0.012982,-0.03044,0.035217,0.0011508,0.049309,-0.0066774,0.03797,-0.06929,0.010008,0.014752,-0.10758,0.015372,0.11001,0.046887,0.066424,0.00385,0.017218,0.0697,0.10401,0.076148,0.071611,0.028168,0.060982,0.063287,0.018487,-0.037244,0.087313,0.062945,-0.050407,-0.0092475,0.0052276,0.0084772,-0.012453,-0.017811,0.032687,-0.034922,-0.0086255,-0.010136,-0.075686,0.009553,-0.024619,0.019809,0.069086,-0.028281,0.0067593,0.01742,-0.033427,0.033995,0.0032184,-0.012729,-0.071944,-0.11873,0.012063,-0.032264,0.02977,0.037405,0.054681
"X3.22644",0.22578,-0.14862,0.091968,-0.011642,-0.073617,0.12165,-0.053417,0.11143,0.054696,0.3051,-0.42815,-0.39033,-0.0011745,0.013136,-0.085622,-0.26977,0.10617,-0.036192,0.032085,-0.070746,0.018721,-0.061913,-0.011333,0.021046,0.0059742,0.073939,0.16217,0.029872,-0.13227,-0.094155,-0.058709,-0.10361,0.02844,-0.099455,-0.018677,0.087132,0.021962,0.07207,0.15294,0.045879,-0.050741,0.057253,-0.036367,0.10284,-0.017912,-0.0081172,0.035132,-0.0097734,0.079165,-0.003225,-0.014868,0.051049,-0.040427,0.025576,-0.015765,-0.016103,-0.022593,-0.080129,0.035404,-0.0095135,-0.038926,-0.0029247,-0.10566,0.021551,0.026899,0.010998,-0.0048542,0.012949,0.0091651,-0.0050481,-0.012466,-0.0077309,0.0087213,-0.032857,0.01466,-0.0494,0.029301,0.012251,-0.03985,0.052123,-0.043372,0.036046,0.016976,-0.020938,-0.0014056,0.0024221,0.020571,-0.0052071,0.0011603,0.0060074,-0.059866,-0.0026585,-0.036179,0.026913,0.0086383,-0.0016729,0.035968,-0.0075107,0.017692,0.0096749,-0.0095236,0.03611
"X3.24648",0.010197,-0.014176,-0.041026,-0.14663,0.015535,-0.001536,-0.043931,0.021602,0.0030643,-0.079604,-0.092559,-0.035672,-0.092751,-0.10268,-0.11748,-0.0075788,-0.072526,-0.0049218,0.2311,-0.055456,0.050682,0.099324,0.070776,-0.044535,-0.12999,0.0068292,0.10831,-0.06872,-0.082778,-0.21927,0.028384,-0.049516,-0.036975,0.12391,-0.1194,0.027779,0.029654,-0.11541,-0.13691,0.012254,0.040927,-0.071008,-0.05106,-0.1075,-0.020543,-0.071725,-0.10233,-0.048854,-0.015088,-0.016719,-0.00062562,-0.058394,-0.11593,0.03321,-0.078069,-0.064716,0.09504,-0.15571,-0.10384,0.16941,0.096821,-0.067105,0.095488,-0.14387,-0.095124,-0.089888,0.0072741,0.072042,0.047321,-0.064604,0.11861,-0.054673,-0.061773,0.096681,0.15782,0.002842,0.11299,-0.054059,0.08619,0.018387,0.0083474,-0.062457,-0.051713,0.015658,0.091837,-0.056609,-0.05051,-0.090085,0.069528,0.020254,0.082283,0.00064398,0.020119,0.062344,-0.016672,0.11363,0.11689,0.059366,0.056105,-0.01937,-0.098708,0.036644
"X3.26652",-0.02005,-0.027186,-0.042629,-0.081978,0.084163,-0.00087235,-0.036125,-0.007707,-0.064383,-0.035238,-0.093389,-0.038066,-0.036368,0.01129,-0.039699,0.0178,0.056191,-0.048787,-0.022412,-0.10449,0.11371,-0.0081987,-0.079332,-0.087998,-0.072394,-0.015497,0.063778,-0.025112,-0.016486,0.019585,-0.099361,0.011229,-0.072995,-0.022795,0.027822,-0.010418,-0.082322,-0.10164,-0.033056,-0.074872,-0.044119,0.082163,0.19873,-0.018495,-0.09921,-0.060508,-0.10358,0.05944,-0.17394,-0.095631,-0.019427,-0.040521,0.026375,-0.033576,0.0035483,-0.20847,-0.023929,-0.0023604,0.034565,-0.21001,-0.10776,0.0319,-0.022091,-0.049096,0.02582,-0.09585,-0.035242,0.068673,-0.099323,-0.0016658,0.0335,-0.028079,-0.049958,0.091497,0.11889,0.13601,0.014123,0.024127,-0.039537,-0.13628,0.075512,0.069743,-0.047153,-0.035087,-0.087695,-0.010324,0.0078233,0.10376,-0.004024,-0.055128,0.054512,0.043778,-0.019222,-0.028364,0.070236,-0.022892,0.12592,-0.026744,-0.0036507,0.0054765,-0.016416,0.011528
"X3.28656",0.020825,0.041676,0.066924,-0.061656,0.01191,0.058216,0.31594,0.095485,-0.0071106,0.044421,0.0086225,-0.21857,0.042382,0.046869,-0.18551,0.33003,-0.076568,-0.26985,-0.16008,-0.038584,-0.20529,-0.074432,0.026602,-0.026697,-0.033174,0.00027216,0.012822,-0.094009,-0.031098,0.017455,0.013815,0.12443,-0.026092,0.014514,0.015992,-0.0013993,0.021474,-0.019512,-0.00089098,0.088449,0.040089,-0.023122,0.03834,-0.084275,-0.16926,0.017079,0.031169,0.020376,0.024068,-0.11277,0.013465,0.040557,0.037926,0.081899,-0.037129,-0.0497,0.082266,0.097532,-0.024844,-0.093446,0.071352,0.1018,-0.0090972,-0.044084,0.0079923,-0.021484,-0.0040394,-0.036393,-0.053889,-0.050296,-0.057465,0.044647,0.013524,-0.074453,-0.0064204,0.11893,0.0038687,-0.066583,-0.011512,-0.035591,0.016055,0.052339,-0.027565,0.0042173,-0.0396,-0.043419,0.016617,-0.020188,-0.01446,0.1072,0.038266,0.018691,0.024647,0.0097786,0.0029426,0.030399,-0.080391,-0.042382,-0.010928,-0.034681,0.031157,-2.365e-06
"X3.3066",0.074856,0.1177,0.11258,-0.020262,-0.1748,-0.022119,0.19477,0.00030662,-0.016283,0.0023822,-0.02423,0.17696,-0.05731,0.0081075,0.14258,-0.16878,0.14671,0.56604,0.012245,0.14896,0.053758,-0.085576,-0.18224,-0.083049,-0.094405,0.021463,0.059041,-0.017144,-0.10464,-0.081622,0.0028501,-0.096386,-0.046435,-0.043778,0.072487,-0.015304,0.098847,0.02231,-0.016225,0.011982,-0.0286,0.065859,0.15058,-0.032316,-0.11988,0.01725,-0.077774,-0.078962,-0.057287,-0.043946,0.090748,-0.0028259,0.053738,0.082404,-0.01414,-0.026555,0.075545,0.049199,-0.012727,-0.05221,0.049187,0.067173,0.0032643,-0.071332,0.0131,-0.00074279,0.0021168,-0.0039922,0.064039,-0.091908,-0.0027991,0.03981,-0.0088862,-0.0054674,-0.058209,0.09116,-0.0044439,-0.0049861,-0.06395,0.010902,0.08383,0.048522,0.046682,-0.0061141,-0.014786,-0.084884,0.015369,-0.024682,0.0027884,0.069885,0.043636,0.050947,0.034071,0.048822,0.010512,-0.032399,-0.064,-0.095529,-0.0047902,-0.017873,-0.0087019,0.039557
"X3.32664",0.12868,0.17225,0.17702,0.099401,-0.32814,-0.12072,-0.56223,0.1157,0.033237,0.027339,0.26388,-0.10519,-0.027329,0.004375,-0.30149,0.30293,0.23912,0.091567,0.062868,0.020843,-0.17285,-0.047542,-0.0071362,0.015951,-0.047542,0.054023,-0.093894,-0.0078362,-0.093177,0.003686,0.012916,-0.03542,-0.012541,0.043244,0.012801,-0.042142,-0.0013698,0.030135,-0.042959,-0.00015022,-0.014499,0.014282,0.0071808,0.035424,0.0013599,-0.022044,-0.003625,-0.027615,-0.027578,-0.013246,-0.0030317,0.036663,0.0018945,0.003903,0.045576,-0.029657,-0.037139,-0.00042344,0.0031146,-0.001574,-0.016487,-0.0036541,0.011678,-0.00077797,0.012072,0.013437,-0.01579,0.011232,0.0029505,0.004704,0.033971,-0.00021387,-0.019639,0.010136,-0.012163,0.010386,-0.018404,0.012147,-0.002222,-0.0022531,0.017111,-0.0088944,0.010822,-0.024525,-0.0021496,-0.0054701,0.009962,0.0018655,0.0070491,-0.00056085,0.024398,-0.0072035,0.0020804,-0.01302,-0.0043862,-0.014207,0.0057884,-0.0051601,0.0011695,-0.010566,0.0078022,0.0089968
"X3.34668",0.12259,0.0054323,-0.22579,0.38893,0.34496,0.068226,-0.0045739,0.046051,-0.12009,-0.11223,-0.041693,-0.015175,-0.028289,-0.11589,-0.077568,0.055045,0.14534,0.1301,0.017488,0.096765,-0.08651,0.052553,0.065349,0.11155,-0.075436,-0.0080523,0.064452,-0.064563,0.048095,-0.03417,0.042183,0.19511,0.0071261,-0.12744,0.1875,0.10162,-0.15084,0.023035,0.034511,-0.020847,-0.0065572,0.042804,-0.010156,0.12982,-0.0012536,0.0044308,0.04439,-0.1914,0.038467,-0.031899,0.025816,0.073853,-0.034442,0.011554,0.064642,0.026655,0.027238,-0.07931,-0.027525,0.0017279,-0.031471,0.0022791,-0.028921,-0.1371,0.0014043,-0.011552,-0.018445,-0.1301,-0.02761,0.024914,-0.026864,-0.030887,-0.094273,0.09976,-0.047252,0.017338,-0.037367,-0.027991,-0.00061205,0.040674,0.0018877,-0.036244,0.0042136,0.020102,0.011987,0.035964,0.069727,-0.022591,0.01835,0.0068187,-0.044543,-0.0020659,-0.0033003,-0.00043521,0.0006604,0.028533,0.051712,0.019816,-0.024532,0.029489,-0.036057,-0.012876
"X3.36672",-0.015617,-0.26723,-0.16776,-0.31448,-0.1528,-0.22609,0.050477,0.011986,-0.017023,0.069502,0.19441,-0.06287,-0.10807,-0.042181,-0.031228,-0.082692,0.045971,-0.020155,-0.11064,-0.037339,-0.069365,-0.024463,-0.011727,-0.046245,0.020984,0.0050875,0.076104,0.056958,0.15183,-0.034589,0.23938,-0.18006,0.013069,0.1661,-0.070687,0.10966,0.086041,-0.087332,0.062555,-0.081833,-0.013735,0.079017,0.016607,-0.058685,0.013991,0.080338,0.066847,0.067097,-0.00047161,0.0057748,0.097647,0.12528,0.050553,-0.1126,0.014304,0.18428,-0.042932,-0.0083494,0.053653,-0.064649,-0.036733,0.0090078,0.033971,-0.018819,-0.047133,0.055361,-0.092167,-0.025195,0.017396,-0.0026397,-0.048995,-0.06132,-0.020815,0.035608,-0.023767,0.035912,-0.031374,0.044483,-0.071581,0.056498,0.061205,-0.037491,0.0057262,0.11044,-0.034383,0.026239,-0.037797,-0.027179,0.029267,0.029369,-0.039793,-0.0088627,0.030638,0.0063961,0.062089,0.064476,-0.010459,0.026144,0.019408,0.054117,-0.0048889,-0.048279
