"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X1.22244",0.10043,-0.15619,0.0063706,-0.014446,-0.073234,0.062455,0.13216,-0.021004
"X1.24248",0.11232,-0.24092,0.12613,-0.079034,-0.0394,-0.04613,0.18638,-0.035417
"X1.26252",0.15802,-0.3616,0.34966,-0.15438,0.10904,-0.26022,0.23362,-0.12685
"X1.28256",0.18908,-0.34709,0.34065,-0.15775,0.12485,-0.27451,0.23744,-0.16822
"X1.3026",-0.25727,-0.095398,0.1634,0.054255,-0.076932,-0.0027184,0.2783,-0.44135
"X1.32264",0.13727,-0.26394,0.16641,-0.053172,0.057852,-0.013541,0.015591,-0.072526
"X1.34268",0.13627,-0.22709,0.10172,-0.014803,0.020383,-0.0078893,0.042194,-0.08933
"X1.36272",0.11191,-0.1469,-0.015863,0.02705,-0.032205,0.078359,0.018978,-0.057567
"X1.38276",0.083792,-0.07651,-0.052381,0.040927,-0.02859,0.086435,0.028122,-0.028894
"X1.4028",0.091011,-0.080214,-0.049646,0.029847,-0.041532,0.094843,-0.017745,-0.0013247
"X1.42284",0.087073,-0.050494,-0.053768,0.006551,-0.016403,0.090929,-0.029575,0.010509
"X1.44288",0.034483,0.18865,-0.20698,0.054502,0.038796,-0.11025,0.16674,-0.075215
"X1.46292",-0.21764,0.043766,0.023734,0.04275,-0.16573,0.015785,-0.0543,0.033274
"X1.48296",0.08046,-0.055429,-0.056309,0.019327,-0.026273,0.094524,-0.098924,0.045379
"X1.503",0.077455,-0.091737,-0.027341,0.014349,-0.0094397,0.08866,-0.088337,0.031503
"X1.52304",0.07948,-0.060022,-0.019289,0.0096591,-0.021324,0.053474,-0.031994,0.041926
"X1.54308",0.095964,-0.093083,0.033671,-0.015706,-0.012635,0.0073756,0.0019797,0.035313
"X1.56312",0.11171,-0.15836,0.11354,-0.014752,0.030427,-0.088869,0.049099,-0.050822
"X1.58316",0.099922,-0.12197,0.067857,-0.020009,0.044846,-0.021906,-0.004857,-0.0068874
"X1.6032",0.082104,-0.073266,-0.023766,0.024331,-0.023499,0.054341,-0.057321,0.019955
"X1.62324",0.060186,-0.036212,-0.079854,0.082699,-0.046618,0.085284,-0.047169,-0.036742
"X1.64328",0.036122,-0.017943,-0.10587,0.10937,-0.02457,0.10766,-0.089658,-0.04857
"X1.66332",0.070868,-0.021018,-0.089631,0.071663,0.0087278,0.081428,-0.099381,0.036521
"X1.68336",0.072502,0.023597,-0.10728,0.068762,0.001247,0.06425,-0.050769,0.020029
"X1.7034",0.025452,-0.0076889,-0.11365,0.055803,0.054159,0.11098,-0.14305,0.032862
"X1.72344",0.041463,-0.068091,-0.043883,0.014638,0.038749,0.14079,-0.17608,0.050173
"X1.74348",0.065026,-0.019622,-0.065419,0.052468,-0.02698,0.065579,-0.089886,0.035539
"X1.76352",0.06107,-0.020858,-0.057922,0.052518,-0.027944,0.06214,-0.086811,0.02042
"X1.78356",0.063468,-0.04008,-0.045384,0.04233,-0.021087,0.074456,-0.08339,0.0093573
"X1.8036",0.066015,-0.018937,-0.051153,0.033888,-0.01012,0.054746,-0.061863,0.017957
"X1.82364",0.063448,0.029124,-0.030402,-0.0041281,0.022381,0.019787,-0.019225,0.064327
"X1.84368",0.063365,0.083556,-0.074758,-0.008398,0.025512,0.0085893,0.041053,0.023947
"X1.86372",0.0052031,0.018759,-0.14043,0.098902,0.016618,0.0089127,0.031192,0.0083706
"X1.88376",-0.019882,0.10911,-0.10766,0.086993,-0.11976,-0.033408,-0.045364,0.034516
"X1.9038",-0.010584,-0.00054659,0.032993,0.019191,0.034179,0.17998,-0.21432,0.10352
"X1.92384",0.073083,-0.050552,-0.038873,0.048316,-0.015778,0.10191,-0.096105,0.02935
"X1.94388",0.090461,-0.03989,-0.056165,0.049324,-0.0070946,0.071695,-0.038819,0.025631
"X1.96392",0.098375,-0.062826,-0.035618,0.031203,-0.021031,0.062916,-0.020568,0.035392
"X1.98396",0.10342,-0.14084,0.047413,-0.0025233,-0.012785,-0.012893,0.033604,-0.020907
"X2.004",0.10747,-0.17112,0.12514,-0.026498,0.053837,-0.062763,0.059332,-0.092853
"X2.02404",0.030977,-0.15114,0.087893,0.02946,-0.01618,-0.036823,0.0041218,-0.061288
"X2.04408",0.065808,-0.10445,0.079347,-0.014945,0.022855,0.053725,-0.083479,0.026337
"X2.06412",0.08799,0.045653,-0.083023,0.041681,-0.01525,0.031773,-0.0031855,-0.0034838
"X2.08416",0.036146,0.050058,-0.10658,0.031331,0.0051597,0.032328,0.058497,-0.023912
"X2.1042",-0.061587,0.0046078,0.011132,-0.050503,0.05009,0.093192,-0.0025632,0.1115
"X2.12424",-0.029749,-0.026562,0.031336,-0.057785,0.022403,0.072797,-0.040842,0.18079
"X2.14428",0.05886,-0.025178,-0.039169,0.036919,-0.047744,0.082463,-0.073409,0.039352
"X2.16432",0.054864,-0.042173,-0.045469,0.03327,-0.042176,0.067646,-0.067409,0.037492
"X2.18436",0.062818,-0.061752,-0.013736,0.0017167,-0.032119,0.062814,-0.057053,0.040002
"X2.2044",0.081099,-0.086634,0.017017,0.0036702,-0.027849,-0.016883,0.036326,0.011417
"X2.22444",0.10886,-0.14613,0.12172,-0.0038672,0.0355,-0.1191,0.069004,-0.070778
"X2.24448",0.077327,-0.080387,0.025727,0.0061988,0.023555,-0.02655,0.0033497,-0.0079568
"X2.26452",0.057658,-0.028274,-0.0087175,0.0042362,-0.0034237,0.049206,-0.063697,0.066657
"X2.28456",0.058344,-0.011019,-0.033702,0.024839,-0.011886,0.057893,-0.069547,0.034013
"X2.3046",0.053252,0.021689,-0.039501,0.021496,-0.021601,0.039517,-0.037347,0.016915
"X2.32464",-0.065358,0.14069,-0.07423,0.034679,-0.062326,-0.025834,0.04067,-0.042863
"X2.34468",-0.10606,-0.0024326,0.05145,-0.059581,-0.055912,0.059574,-0.13275,0.10569
"X2.36472",0.014969,0.042403,-0.036369,0.025248,-0.041706,-0.00053233,-0.083681,0.081657
"X2.38476",-0.019762,0.063722,-0.041765,0.044661,-0.045956,0.015052,-0.04953,0.040969
"X2.4048",-0.007754,0.085055,-0.050321,0.050952,-0.062487,0.029347,-0.038855,0.011687
"X2.42484",-0.0031903,-0.012204,0.048001,-0.037933,0.065382,0.10227,-0.033311,0.11783
"X2.44488",0.026872,-0.026273,0.003704,0.012229,0.011309,0.073158,-0.09129,0.066145
"X2.46492",0.026444,-0.0086898,-0.028481,0.023789,-0.016723,0.055266,-0.10278,0.048795
"X2.48496",0.03185,-0.014746,-0.027027,0.039386,-0.046642,0.045895,-0.081001,0.043364
"X2.505",0.02985,-0.013136,-0.036351,0.027807,-0.042278,0.025939,-0.062353,0.045664
"X2.52504",0.02858,-0.02763,-0.02918,0.026344,-0.033392,0.028941,-0.067077,0.049641
"X2.54508",0.040039,-0.026592,-0.024081,0.025167,-0.029585,0.049645,-0.085097,0.038764
"X2.56512",0.040817,-0.021417,-0.022847,0.024447,-0.026302,0.045869,-0.082818,0.043031
"X2.58516",0.053134,0.014869,-0.044111,0.011467,-0.01303,0.030117,-0.055377,0.038287
"X2.6052",0.014393,6.7897e-05,-0.066306,-0.0083653,0.028839,-0.01824,-0.018247,0.099349
"X2.62524",0.041168,0.013269,-0.028073,0.0025675,-0.019572,-0.023481,-0.033213,0.10407
"X2.64528",0.045652,-0.016298,-0.041611,0.027418,-0.033091,-0.0038022,-0.032095,0.062639
"X2.66532",0.048656,-0.038309,-0.028007,0.014927,-0.028774,0.046063,-0.066871,0.040372
"X2.68536",0.057904,-0.023147,-0.02143,0.03477,-0.036859,0.039872,-0.054566,0.046087
"X2.7054",0.062822,-0.041145,0.039349,-0.0033573,-0.040633,-0.036468,-0.034978,0.052951
"X2.72544",0.075826,-0.088531,0.054602,0.0023206,0.0091595,-0.019493,-0.014273,-0.034644
"X2.74548",0.059308,-0.077712,-0.009452,0.017701,-0.0062322,0.0067435,-0.037972,0.012693
"X2.76552",0.052207,-0.074289,0.006115,0.040791,-0.018322,-0.0025647,-0.023968,0.044271
"X2.78556",0.053413,-0.058305,0.020998,0.0099772,-0.042691,0.043462,-0.055066,0.046234
"X2.8056",0.053759,-0.04139,-0.0057848,0.0082494,-0.011095,0.04028,-0.0809,0.018879
"X2.82564",0.049894,-0.02796,-0.018763,0.022747,-0.023572,0.039915,-0.067585,0.035966
"X2.84568",0.052883,-0.010062,-0.02753,0.0073453,-0.025179,0.04447,-0.053828,0.0087908
"X2.86572",0.038562,0.0086371,-0.068205,0.03341,-0.029246,-0.01069,-0.026749,0.006607
"X2.88576",0.030126,0.018958,-0.057441,0.041314,-0.070966,-0.00060654,-0.031116,0.016473
"X2.9058",0.043398,-0.034671,-0.012235,0.016667,-0.027062,0.047709,-0.074901,0.02286
"X2.92584",0.048469,-0.012555,-0.036067,0.034957,-0.028089,0.027361,-0.053199,0.023498
"X2.94588",0.054828,0.0060546,-0.045908,0.037848,-0.033637,0.017236,-0.051949,0.023392
"X2.96592",0.063144,0.057191,-0.063498,0.04614,-0.01066,0.013495,-0.047417,0.026062
"X2.98596",0.059435,0.072431,-0.097779,0.0074984,0.07356,-0.0040731,-0.082179,0.086088
"X3.006",0.028574,-0.053118,-0.011284,0.0090413,0.05244,0.016075,-0.13689,0.086248
"X3.02604",0.061726,0.0034447,0.0094874,-0.022197,-0.0041494,0.042865,-0.073488,0.063124
"X3.04608",0.069197,0.063843,-0.083788,0.029851,0.0038014,-0.02132,0.0013506,-0.0040506
"X3.06612",0.065485,0.019432,-0.070292,0.091947,-0.03117,-0.054066,-0.0015977,0.031886
"X3.08616",0.052606,0.014,0.035797,-0.062385,-0.01065,-0.0047976,-0.089228,0.065784
"X3.1062",0.0028849,0.025595,0.055003,-0.079135,0.094145,-0.032961,-0.0028078,0.14165
"X3.12624",0.050487,0.058134,-0.015565,-0.0033129,0.014271,0.0050838,0.0082557,0.026713
"X3.14628",0.050033,0.10864,-0.083265,0.040895,-0.049797,-0.067469,0.078302,-0.0056588
"X3.16632",-0.011903,0.24571,-0.025757,-0.13538,0.11212,-0.19937,-0.034528,0.25367
"X3.18636",-0.20084,0.33342,-0.24373,0.30183,-0.3039,0.078534,0.2119,-0.42661
"X3.2064",-0.33933,-0.049166,0.11267,0.36994,-0.17575,0.1221,-0.17372,0.10321
"X3.22644",-0.30909,0.19947,-0.065039,-0.28844,0.09931,0.20099,0.11846,-0.084057
"X3.24648",-0.01312,0.028164,0.03137,0.025142,-0.049826,0.1248,-0.20946,0.071933
"X3.26652",-0.0067526,-0.044888,0.034743,0.02627,0.0013813,0.035325,-0.12773,0.15471
"X3.28656",0.031701,0.095517,-0.0070365,-0.02398,0.024587,-0.025538,-0.021653,0.13122
"X3.3066",0.059326,0.24456,-0.067068,-0.025112,-0.094183,-0.016096,0.088303,-0.081304
