"","X0.1002","X0.12024","X0.22044","X0.621239","X0.641279","X0.661319","X0.681359","X0.701399","X0.721439","X0.761519","X0.781559","X0.801599","X0.821639","X0.921839","X0.941879","X0.961919","X0.981959","X1.04208","X1.06212","X1.08216","X1.1022","X1.12224","X1.14228","X1.3026","X1.32264","X1.34268","X1.36272","X1.4028","X1.46292","X1.56312","X1.98396","X2.004","X2.02404","X2.04408","X2.12424","X2.22444","X2.34468","X2.6052","X2.72544","X2.74548","X2.9058","X2.98596","X3.06612","X3.08616","X3.14628","X3.28656","X3.38676","X3.4068","X3.54708","X3.6072","X3.9078","X3.94788","X4.04808","X4.06812","X4.08816","X4.1082","X4.16832","X4.18836","X4.24848","X4.74948","X4.76952","X4.78956","X4.8096","X4.84968","X4.86972","X4.88976","X4.92984","X4.96992","X4.98996","X5.01","X5.03004","X5.05008","X5.07012","X5.09016","X5.1102","X5.13024","X5.15028","X5.17031","X5.23043","X5.25047","X5.27051","X5.31059","X5.33063","X5.39075","X5.77151","X5.87171","X5.95187","X6.05207","X6.07211","X6.69335","X6.71339","X6.73343","X6.75347","X6.77351","X6.85367","X6.87371","X7.05407","X7.15427","X7.17431","X7.23443","X7.25447","X7.27451","X7.29455","X7.31459","X7.33463","X7.35467","X7.37471","X7.39475","X7.41479","X7.45487","X7.47491","X7.49495","X7.51499","X7.69535","X7.73543","X7.81559","X7.93583","X7.97591","X7.99595","X8.01599","X8.03603","X8.05607","X8.09615","X8.23643","X8.35667","X8.39675","X8.45687","X8.49695","X8.61719","X8.63723","X8.77751","X8.79755","X8.81759","X8.83763","X8.95787","X9.07811","X9.13823"
"60",0.355946888271976,0.410223402774515,0.567369135763709,0.295536386037029,1.12889925930019,1.14125726533652,1.11981071468353,1.27720471532304,1.23301142009925,0.449358124775549,1.28537591691694,1.2713747824126,0.996399399360425,-1.53687708594734,-1.20658743595824,0.210812201967622,-0.38115484778241,0.953952366989148,0.919589899565693,0.905324797458096,0.898681443570814,0.968164087612898,0.844731518873808,1.03693241836298,1.75552705595859,1.43034312702933,1.08719717947271,0.678100367876963,-1.01053457381823,0.741626003130601,0.814983216517788,1.21237127687917,0.501385489419466,0.337706754673315,-0.59256157459702,0.951792756090118,-0.844419691872217,-0.669447797390051,1.13409706980151,0.901175171933777,1.08848019451143,-0.526979390620978,0.718984145337759,0.276868276512454,-1.09983193645192,0.371344378738612,-0.882553093490572,0.438900480345695,-0.421044439458863,-1.09479335937644,-0.262565871129483,-0.24709764256198,1.34354821714818,0.384563437377285,-0.379673554837786,0.777392175948662,0.174262272967947,0.171672974333731,0.489800245103347,0.315368440857471,-0.0402544393922377,0.833761226270793,0.678264305495946,0.754018597720734,0.576571821471087,0.514835480557782,0.277683865859278,0.617824166223468,0.604035522610135,0.577355939434636,0.580256780920036,0.574499729975846,0.526144598412076,0.560319637764937,0.606673728983482,0.602710537275643,0.572640939629217,0.588557878282405,0.820048924510245,0.702446684030518,0.746598736496008,0.827317384106393,0.420300758194004,0.451145041022806,0.218012310042898,-0.54411334324241,0.0289538238240679,-0.415018119847963,0.386871432969728,0.32048418208208,0.257779638270972,0.265212354099206,0.221610609736188,0.153792922173529,-0.772067189858208,-0.379580561190268,0.257998519972549,-1.26043478680659,-0.720390008698326,-0.644331986437052,-0.796913559881632,-0.501998681924525,-1.32028533533545,-0.622698383100422,-0.641164977495755,-0.573443812777643,-0.279766231421836,-0.768716326939711,-0.205704984230987,-0.338120031618235,-0.298625400907288,-0.914873532681964,-0.447449882441157,-0.937084559483504,-0.270898485683535,-0.466638927431716,-0.232412831084115,-0.204490861306645,-0.164638141201931,-0.294266817461075,-0.274151123327869,-0.264550864026647,-0.108583700248417,-0.534080630656081,-0.1046589897309,-0.119059575795372,-0.0552389046052348,-0.207974306856216,-0.0211852214114201,-0.0281718714093226,-0.1425624762763,-0.0883407210971733,-0.18003238499443,-0.0124762386362611,0.048759408635245,-0.224343459330792,-0.079012937733242
"90",-0.0372232308796313,-0.0486443562398738,-0.110064435436797,-0.0297053887716036,0.470807957538395,0.542593129291043,0.551409835104486,0.558627807464433,0.654841429541028,1.07260038500714,0.95209129278705,1.1013636073176,1.41129156214664,-1.27966363868926,-2.12715288665729,-0.825651051969924,-1.07668268327049,0.807668685119707,1.09624932939161,1.07613676196599,1.21774488582202,1.07640096240176,1.09850042704818,-1.89926092149219,0.4953144465753,0.704220528768526,1.01448657708159,0.222632988194264,-3.87055749619094,0.531198881744621,1.01259807559059,-0.0941195072348586,0.0849710879091088,-0.348100334125382,-0.798326200768798,0.0978304702272481,-0.916997702111379,0.330399005000039,0.0978268191962457,0.267985546699489,0.211529868551047,-1.53757888393855,-0.0127159741852597,-0.9365625013744,0.750183945145719,-0.0367830729652618,-0.766933490426159,0.214557695574955,2.85513305071942,1.82804954445855,0.933005909287127,-0.136713425578501,-0.390544124288736,-0.704997222753945,0.0418394346577593,-0.0352903624910642,-0.0502042168506729,-0.751315005847557,-0.298651923047888,-0.350712024429951,0.209907556240105,-0.217126058912906,-0.365867164433149,-0.266114859101084,-0.343480108749377,-0.349294906778931,-0.353202502800369,-0.265177310526919,-0.273296877799058,-0.253044226589976,-0.211037836010875,-0.186913382132571,-0.178641394197207,-0.108707399426098,-0.115352429892582,-0.0634328726072937,0.0374975476990527,0.107520857153818,0.408492527338604,0.613474886738539,0.463690923066421,0.475788337095698,0.875420820138901,0.112697655558487,-0.408834261025993,-0.686019579468369,0.427000049895886,-0.762450790982308,-0.317408999238914,0.0343488006355619,0.0414278912335379,0.0944958053068504,0.0940004553742981,0.131061656205581,-0.320867635439232,-0.817353226942936,0.0176896704868724,0.182581152130576,-0.722614193882799,0.90519876043356,0.281753179082719,0.631921157173474,-0.420980720924589,-0.927273149967772,-0.444449375892753,-0.677878427715049,-0.200233208049491,-1.00297380019412,-0.661156950994105,-0.294176656170957,-0.184306920119313,0.837609084734531,-0.182239008820683,0.889327495749224,-0.417225721082432,-0.267021052084033,-0.39157561333082,-0.395946681460381,-0.250367499290589,-0.464026067821158,-0.438239235787658,-0.44487714921979,-0.390751314600183,1.01117510437151,-0.340692076384143,-0.160703998646546,-0.35460072214869,-0.233457914146148,-0.272406018275838,-0.287858325528804,-0.14031572815659,-0.251007415972417,-0.137784186538229,-0.0707979484205962,-0.155802251913715,-0.0615065864384486,0.20224355960799
"150",0.0604756950777802,0.0510566648329961,-0.0509385600139309,-0.118890912412687,0.240903386895179,0.32709285522101,0.465524351515731,0.470303234045203,0.338373774083321,-0.100596458100671,0.44061317427613,0.539255442206347,0.634129008592411,-0.690586560379384,-0.891636527041947,-0.35222767328212,-0.837699473005221,0.648628195833442,0.94732386972907,1.0409428083716,0.892639007056157,0.912739675057012,0.871749617988996,1.91514322489512,2.72529993425482,2.61742763992957,1.70385558669609,0.495088198358014,-3.12316438311819,2.06697367815294,1.57486940534913,2.30558299563309,1.22154277708362,0.568032376122233,-1.45190937224412,2.03897543102923,-1.83650203278764,-0.107427875438965,1.25547388863173,1.92718369226171,0.411045280232677,-0.0166996364353229,0.431105217772517,-0.521415658063512,-1.6929716861396,0.202227258946355,-1.58773391324935,-0.678190470484616,0.625092057022469,0.121403935034389,-0.0679761816396755,-1.16461885121135,0.918437116300055,-0.28961084690885,-0.188583381702861,-0.234279913141351,-0.241533353359405,-0.65618521815104,0.16257815015194,-0.14992024110625,-0.415910445687981,-0.0121195687834086,0.0914876566235863,0.13250068452952,0.133444462861101,0.1342482319621,-0.286851277366497,0.08284026249458,0.16577239624081,0.18403635032993,0.208129776418359,0.217230782540575,0.189786332851474,0.26197952913387,0.29667721637733,0.317042399047859,0.356574032280074,0.970816525644393,0.926168460864054,1.25272121437566,1.68613113508142,1.58839738758589,0.904524554121888,0.334556983310357,-0.227696785290462,-0.593119235241517,0.0362816991523658,-0.263398217932366,-0.377119607317716,0.192581404705187,0.219875471762199,0.23772813653592,0.227717503195244,0.177045897685961,0.0144412263426897,-0.454641965391653,0.102934002313322,-0.253370581230238,-0.462451945066067,-0.225266324115482,-0.31283633200423,-0.314577063356685,-0.753022602104621,-0.778001119158944,-0.459236945253215,-0.499478930780779,-0.511133128759821,-0.877791875653998,-0.436764155715239,-0.263381290172544,-0.117350411510808,-0.571490931288224,-0.324011946269901,-0.597527183861039,-0.459020172584139,-0.302367049319488,-0.31898862405198,-0.200657163437267,-0.116283204945165,-0.261601133054277,-0.239703325046611,-0.377063048756022,-0.086057697486765,-0.535004239296367,-0.0638916276791593,-0.080598693926258,-0.0512863305859029,-0.225601580410731,-0.0279019898414303,-0.0574046961636648,-0.238160762828042,-0.337222403808404,-0.367000580759353,-0.0746429893891236,0.0342768993467439,-0.291039981045889,-0.0323907272257779
"160",0.10526931548398,0.0618014880670412,-0.0482971299375863,-0.21896891006999,0.227240690134917,0.316666782931811,0.598570233581431,0.62883725518827,0.420768631098327,-0.133962524772766,0.27428908929709,0.219977523086148,-0.0766797853390464,-1.67332517050132,-1.46191532692609,-0.678386965040016,-0.747614826917917,0.497374668250006,0.753164606826905,0.825208901033079,0.749693404669175,0.632681933149719,0.385419998942946,2.14267757128561,1.99185335992746,1.99572576865596,1.67761649756387,0.983204902714825,-0.3569149440888,1.51777196821737,0.859977765029701,1.89571679111526,0.866481560013898,0.277691193294755,-0.780552495256481,1.68811728509095,-1.14463935310236,-0.302362801000212,1.09025354812024,0.981589975417702,0.50395445720643,-0.367498840327398,-0.167511035465932,-0.719102305594286,-1.47274200634329,0.531589768798818,-1.38853485705729,-0.538915970614372,-0.274968706817074,-0.76407573258749,-0.0663901931155186,-0.217170633065872,1.30609965510751,0.11500744753241,-0.46085594911243,0.0694001705495551,0.0575720852443331,-0.303567603771605,0.220161656162096,-0.175360440174489,-0.378883420893034,0.0691193747795913,0.148956611234042,0.157512235593878,0.0812580591551942,0.09158987256605,-0.302429966779969,0.114684014831045,0.171145520412671,0.182290652801174,0.192364892898795,0.203508341046587,0.194464173968003,0.281275954656423,0.330058634553059,0.330322299883261,0.29465931511145,0.710617193420497,0.466463221213579,0.641295319310483,0.990818512189794,0.970019882718014,0.460817551748586,0.149307860177611,-0.142571686712059,-0.551070984071852,-0.0964012088973182,-0.298272330863299,-0.294373259617099,0.471490549693783,0.471186224209815,0.480494081888725,0.464933156375604,0.395142414528273,-0.776815702107819,-0.911411118051878,0.419368281290373,-1.23379200284039,-1.29366065592633,-0.417168406114807,-0.760624574700405,-0.309975684198985,-1.49004375587348,-0.969728530969251,-0.674052541113116,-0.726174322690367,-0.431361187178126,-1.17005126156115,-0.449619954140522,-0.134537724216087,-0.00713581375959834,-0.735859704335996,-0.532102216742583,-0.903169251787986,-0.431801234321185,-0.190462374048829,-0.289072936956149,-0.194004877152912,0.00941108278039982,-0.198269025292741,-0.0995094429627843,-0.201492294604936,-0.00430792294903119,-0.556421939932089,-0.0958841216759205,-0.0999696840506074,-0.0836889169138077,-0.207577784479376,-0.0440527136936782,-0.0706948245717709,-0.16056143760304,-0.218371644590399,-0.267685397950681,-0.104839134036725,0.0436224451598875,-0.177218708394022,-0.0619641578149586
"170",-0.00563870205049473,0.0115431494096421,-0.0329180742213729,-0.37920122459769,0.126234066752744,0.179464152767194,0.17869187025412,0.208481266795612,0.200128078964151,-0.270401981189093,0.22464894257512,0.31061193175146,0.256703827127455,-1.31554928190336,-0.814088178516854,-0.309315062063651,-0.0229775310316652,0.242009830377518,0.433170018796043,0.383359580142454,0.318854734628472,0.37893636754453,0.402865905423584,4.72762708857423,3.84577043642462,3.23937812077262,1.06727997227401,0.198698501396023,-0.128159674122842,2.98558704378034,2.22644917951414,3.10678078855816,1.96484485681299,1.26177408953127,-1.04004179607863,3.3925464208548,-1.08701339250431,-0.556676495185158,1.69238844522467,0.8218134043611,0.361677871806123,-0.216974437091955,-0.275517296762659,0.440491471322967,-1.52791849106435,-0.179647602229131,0.121508199674328,-0.398115210447393,-1.22242345743917,-1.42290376093743,-1.09346991926061,0.0449100284582203,1.65057067298126,-0.327315006199234,-0.91162959738743,-0.315993663126029,-0.738932422061958,-0.794323886642587,0.752601450128705,-0.43032584444543,-0.423430240793888,-0.126377924509152,0.0290528166263893,0.0319838362488754,0.12625525474855,0.024636015925134,0.247528174754452,0.130941231631026,0.166803486319497,0.168571022611195,0.171305136460395,0.182568194562641,0.22369870355956,0.211958424800489,0.253360268765368,0.32810465556716,0.506678161152417,1.19973064556433,0.795184779069787,1.50762320701038,2.58760313231869,1.65951428324531,0.508073965198216,0.220647341051179,0.0558748636919877,-0.31309319272517,-0.277429234101704,-0.295906241408091,0.235615580299513,0.170774198459771,0.269881905552878,0.173623356020474,0.21810912877776,0.173645417155373,-0.507513054397565,-0.326754116172971,0.344422632847299,-0.557016411516892,-0.614980343797996,-0.38522086395856,-0.54473594983371,-0.469016881130055,-1.03855729938307,-0.830663770516734,-0.741758518991683,-0.479186379305285,-0.589051141435749,-0.734881393081568,-0.144534579264005,-0.252098333329095,-0.0807736392382061,-0.260415504524718,-0.378390993097052,-0.444411669539153,0.857516378730455,-0.318458000061049,-0.19413062409419,-0.13568334987383,-0.22256225906372,-0.0334246884172233,-0.111094306238528,-0.182192806799326,-0.0325583272486124,-0.509018072046613,-0.0433600167437863,-0.0468257741714345,0.00511895953616047,-0.137178907503254,0.0250005043502542,-0.00674281411514535,-0.0733793078728347,-0.177174056015574,-0.207585655672808,-0.0254579343920485,0.168881359454146,-0.11407958227045,-0.000569839781291043
"180",0.275817671800502,0.26472398398213,0.405737108192073,0.358217128756794,0.990496444612767,1.05584177986043,1.05474726928941,1.11897501836103,1.19411979458386,0.872803952541834,1.40381428302003,1.56525626396894,1.53861323430359,-1.47721675061696,-1.88499203221428,-0.935713075859117,-1.01418905150708,1.0121756406819,1.37329178699978,1.40420399015222,1.57958279425725,1.61872564338571,1.83319355971201,0.285008437347699,2.19414067796325,1.83410751127355,1.53344074545874,0.819901137946182,-2.65740852353228,1.3197929251389,1.88996567893844,0.876320654531345,0.543452610628176,0.324953598591207,-0.963924637757377,1.08764701775473,-0.973236022022976,-0.861285593880965,0.688623840448655,0.687397560841663,0.442299874970968,-1.26657843832488,-0.199597673616074,-0.364337309395794,-0.0064502092135069,-0.171785937591081,-1.12270448049533,-0.231720245279594,1.18418623696792,-0.616591214473607,-0.786386671119312,-0.416192352938358,-0.20108613317274,-1.5050138835079,-0.830056086133729,-0.22743073912742,-0.78501202190087,-0.735597593061555,0.167837880833375,0.10785067315881,0.652537332831335,-0.15626973791389,-0.114984817833369,-0.0617079182884008,-0.0165994224709559,-0.0861164119986591,0.0522210685032735,0.0449484788292557,0.106565034828418,0.167249524867074,0.189512255570165,0.24213896694605,0.279666884137464,0.342672598459392,0.443913165297506,0.584329382703115,0.803519583243182,0.906879163661251,1.08334785804286,1.49428666369327,1.46942427246242,1.03905530644469,1.06331954386051,0.247802958673132,-0.243855680510905,-0.423664231793083,0.0857917926584032,-0.184558507490196,-0.178128760008456,0.244297929773923,0.26249170232373,0.278464947140446,0.237213807644418,0.198928959726303,-0.651529674448579,-0.865431351255628,0.233530770844681,-0.369029114984075,-0.759776242422508,0.614651526740626,0.213008576876961,0.0439349609649271,-0.566179628860065,-1.01883747632261,-0.576712905221427,-0.709650238648253,-0.47532876023202,-0.789402770418132,-0.362780063728324,-0.0450054467609967,0.0923675880018485,0.869146583486906,-0.227441376555631,0.734596998532536,-0.316127792372329,-0.0188474339202723,-0.354042182210654,-0.313426664720035,-0.215497241189891,-0.0300177585974084,-0.221565848204188,-0.292337871155188,-0.0731924931841414,0.893536698195152,-0.105618761324024,0.0904658134900666,-0.0305114179545673,0.0876546373445363,-0.0418042015484001,-0.0422408331561298,-0.0812304488879241,-0.189514918760839,-0.137505777815183,0.0603734896848264,-0.0174481606999485,-0.136938744462261,0.209166256912287
"200",0.00690238081322015,0.0296030613453846,-0.0412376038896453,-0.169130895940106,0.295441450208831,0.282108199739236,0.260283255681391,0.297735438327915,0.37229704754612,0.0270624151354254,0.450516810844632,0.579248069810244,0.451811000009271,-0.23035608344597,-0.206511409738026,-0.0376299240809021,-0.368766977252431,0.224628789686894,0.2863491626188,0.224474925382253,0.25118090351686,0.395355992842631,0.573270599647681,1.81179068940179,2.14594138080623,1.4411015711115,1.13213745326102,1.64397432574261,1.96922970632459,0.845834331138697,1.20261586146457,1.2514643092617,0.805404934769737,1.49164056993163,-0.240890145689542,0.879079583703701,0.127147328909141,-1.03580830092428,0.642550320465838,0.32242481233736,0.407880027697452,-0.537081252591993,0.186647220292355,0.201350444026329,-0.389890810563661,-0.223386867724801,-0.43959493383279,-0.298155258736992,-0.751752283341754,-1.51216258381491,0.699929255988732,1.11640348123422,0.396372773183211,-0.27606141108942,0.769204342770677,0.424656786444191,-0.457739775709614,-0.556150880992202,0.749477483142355,-0.0171434850377292,-0.279174698696291,-0.161596858340295,-0.129734374409026,-0.136289616970438,-0.0196194832516343,-0.100750398723555,-0.0590476021979541,-0.0377721237302224,-0.0423400303532948,0.00143559209852962,-0.0270520273196693,-0.0146288390898292,0.0184248735870665,0.0228486472554715,0.030263018179212,0.0917063298333168,0.177205994324987,0.40502138060968,0.411470737074492,0.729108873894065,0.993021152993174,0.786828583973953,0.311771765172299,0.0836801510201149,0.0930539586523903,-0.685746976203115,-0.330932772542272,-0.0222328810073574,0.847024821172863,0.216062936575572,0.209758279159006,0.244508870232854,0.318140278659248,0.379322727391556,-0.421324312406654,0.0616620685763905,0.384669342288198,-0.603507398145391,-0.248466941604414,-0.363279310893213,-0.587049088717752,-0.233030234149962,-0.821661344274246,-0.00430391910848645,-0.358823469240582,-0.293384825807456,0.0993069716433241,-0.201876909841745,0.0294464265512757,-0.245730125441803,-0.131918455559482,-0.571106274974898,-0.361921265039612,-0.709786397975057,0.17353760411908,-0.382217492898258,-0.252955228635064,-0.19810431186785,-0.249187161241214,-0.0237381534605442,-0.127488832923617,0.0141909051589545,-0.0801706099005905,-0.475926885745847,-0.120876501967532,-0.14085481707633,-0.109374995815924,-0.118845255990484,-0.0835302317544992,-0.0790050815377396,-0.0578195490425636,0.105388348510593,-0.0260560806619487,-0.0260797929463452,0.0212596836336619,-0.0667461566351536,-0.0679417793631276
"330",-0.0142742353907204,-0.00852135194562626,-0.0334250750584663,0.155295688315862,0.294474056128416,0.298776512148403,0.194386423536017,0.234797712870852,0.407763412987265,0.587918679872278,0.589442358259421,0.650950299584913,0.736389362190663,-0.838018139291112,-2.11014453761642,-0.996988568616821,-1.25298289351053,0.39715149942332,0.490816929785386,0.329793398322642,0.368800043783067,0.332792674354973,0.369103169151153,-4.73566409404772,-1.82210769620659,-1.63326004076556,2.19135164231176,2.61853242210328,-1.24974849272685,-1.52611275606092,-0.0248266696641646,-1.76198850813806,-1.06297885743124,0.0986720966980126,1.07643105703661,-1.92293658515859,0.851876220765295,-0.198171770337192,-0.503544349574723,0.182008550704458,0.965041260188727,-1.0659561485974,0.148835834844161,-0.639916209036341,1.9438297611768,0.780362658216043,-1.34075338562758,0.240507885554991,1.06261727522242,-0.420967811669071,2.67436124394904,0.807688194959092,-0.913528231632713,-0.265058064192514,1.51323812331096,2.08268398083356,0.103662917018369,0.317338528954961,0.156074874354406,1.07820415467708,2.42523323603306,0.167166104419669,0.221005739586213,0.285117407168772,0.20067771856253,0.183590747168583,-0.436846058174744,0.150115279947367,0.201461695630001,0.22637409258766,0.20640902802178,0.167028139846259,0.130257924782383,0.152148462676555,0.127009232545067,0.110693387420211,0.0383107227884966,-0.516079185842579,-0.044585366791564,-0.422979574388579,-1.37031560714153,-1.11252014232901,-0.384129077296965,0.00338360503308402,-0.157516128744589,-0.397172587427143,0.199485029983101,-0.43164774246747,-0.201939780760885,0.345006719933446,0.437871170085579,0.516191761734009,0.613819615487749,0.903647666221488,-0.500421398911851,-0.982311292275489,0.830239022275333,-0.623183512355564,-1.54606555823202,0.293626912783569,-0.576875136283007,0.353871047441733,-1.29932221387453,-0.992881789827777,-0.330406672518426,-0.753687604719321,0.225814993696139,-0.367574350751689,-0.583025079247341,0.127574392733745,0.0608241720726241,-0.195741857907262,-0.701840170256663,-0.358149481511617,-0.353412669006945,0.442565149600638,-0.457142334038304,-0.362157177926177,0.177894039053127,-0.250909543012049,-0.0865711921087047,0.0433873397025523,-0.0251810728111261,1.96888789548253,-0.223209763642187,0.0971202913279057,-0.0731980536006859,-0.0632006346628411,-0.153779272126863,-0.0936219388811474,0.296634516253611,0.178743778251248,0.240224644132291,0.0736783842732223,0.0204919359009605,0.312227711557773,0.324572042567338
"370",0.218336654207064,0.251546789127218,0.367610782848453,0.153594450465091,0.847092691314433,0.862059855620976,0.822517201279085,0.936694573328473,1.09559124078256,0.700922890974684,1.23636800913725,1.2927890494798,0.944707134078816,-2.5791100077569,-2.80380826849592,-1.08490555740657,-1.17185181980362,1.08994746233404,1.36076392581383,1.39233881687237,1.57727402382548,1.80687374562743,2.01675793786046,-0.454591598827435,2.05138356147673,2.05149703170275,2.8555351683687,1.73964875174966,-2.93047266843866,0.61211976398168,0.776846187371816,0.00433043169240236,-0.639385631783577,-0.195727750412594,-0.176153845794097,0.29000281009888,-0.786688800865106,-0.649080461019215,0.21644249627928,0.508849924431297,0.496065565875615,-1.84092113201193,-0.240548164110765,-0.938882922827332,0.185765232837293,-0.0538238334563468,-0.969637659751744,0.442841802751389,3.01834541055015,1.2968272464545,0.999056056648784,0.19248781609514,-0.509581172576195,-1.07691212568804,-0.0296738539395607,-0.577270268591689,-0.535109767386925,-0.412195872985443,0.380148789256489,0.422613741742223,1.21438277220641,-0.14226276127858,-0.0673299893490606,-0.0020539085919768,-0.0469190654161695,-0.0771328691193604,-0.169291666600339,0.105030804000648,0.135308969439606,0.160219630395431,0.217760879857288,0.242264434303437,0.215558766272871,0.298929672673878,0.390332841581572,0.515473828818819,0.590385890671737,0.490919281668626,0.684444752366666,0.673974092448736,0.450273195531395,0.784019732306917,1.21079814018406,0.479485782568708,-0.253059005071776,-0.710262685992032,0.141536934824739,-0.540628021331794,-0.240129721172877,0.0256471225858099,0.0442727165797922,0.0855748423622686,0.131358463582783,0.190345550118852,-1.07912028520018,-1.34383586686914,-0.0111724533749599,-1.11765994680054,-1.7109681639481,-0.111246151090871,-0.766136504107023,-0.226548792662245,-1.41738829675546,-1.34460492949869,-0.872239305698096,-1.12022065627955,-0.476817187876445,-1.40530467140024,-0.798901809350402,-0.359913542359077,-0.363569609737858,-0.0468667645905233,-0.833326832868035,-0.124594014334578,-0.526879847320857,-0.31411048460081,-0.512148641203392,-0.514070977235936,-0.279577913656326,-0.562453233958426,-0.495838269552352,-0.432872838292792,-0.0968460407576003,2.00973655579292,-0.334770174518073,-0.0834889363866981,-0.141772622685357,0.648929582588667,-0.337952331181212,-0.319931224003638,-0.149252245724392,-0.204826930516538,-0.0981856529893708,-0.0332552637933177,-0.176389270830181,-0.0781513761659002,0.245803905448405
"490",0.00919658686839042,0.00751017218214271,-0.0427190545182091,-0.109987314588191,-0.143401423188756,-0.13133884985632,-0.203701574092143,-0.130832897200204,-0.095039623875103,-0.260387390292623,0.00210472699193285,0.0769553139910286,0.833481649377555,-1.98534082957019,-1.75576648866134,-1.02755971626308,-0.999611353381615,-0.18973975050476,-0.0590809267168715,-0.165959088605078,-0.163140328478122,0.22521507234117,0.0771776252744874,2.18978746397965,1.26272929690609,1.45255246759888,0.71436208169687,0.646642156134942,-0.516831201424695,0.95012838405294,0.28095336492041,0.689665409660481,0.836666355714437,0.710700951575734,-0.334604150083173,1.2186312401173,0.169831756178375,-0.954258549375525,0.139705221307264,-0.254198471351886,-0.121893041123268,0.913214599718668,2.55012220701493,1.27475704194866,-0.744108567653255,-0.547392043752666,-1.6110065655787,-0.910233069803192,-1.03688858167071,-1.19873079288534,-0.59469295609359,-1.19008743174518,0.20157529391084,-0.169592840264847,-0.453821634112826,-1.03878458531578,-0.582879801500398,0.135500566244984,0.356318053258772,-0.283486218964815,-0.115750745630408,-0.709720998131254,-0.46535094489358,-0.453695890302547,-0.383119335316817,-0.443414308412307,-0.0930603591756458,-0.336838628827921,-0.318995526378098,-0.265991909128511,-0.238700869427591,-0.253140906023192,-0.2366872181841,-0.22704823890874,-0.151171901073993,-0.0205773937895594,0.128704876182353,0.339138661975367,0.176545417614796,0.391440687130166,0.640550290126026,0.449865218870511,0.0831683916723209,-0.108836251467191,-0.0509258602973226,-0.328605965721217,-0.224582519757054,0.629167295011641,-0.153192407294232,0.233043034431747,0.274465943194828,0.260625896635792,0.364744542967616,0.342188082341344,0.0524152793013748,-0.0580982119848695,0.258965183471547,-0.117915195630524,0.315528830592629,-0.063177025880349,0.362426671544715,-0.0920700289351633,0.916200563273125,0.692406557741325,0.583968385944472,0.220581653117531,0.786126203810938,0.821675656153473,-0.000114807682312734,0.0195174405441326,0.190399248575759,0.197371568113046,0.489422267715685,-0.0121818190063175,-0.256375175057048,-0.208085483945485,-0.187221226245542,-0.119199313991892,0.00357764147993615,-0.123058333648719,-0.0513319644401678,-0.203240922705432,0.0797841358171668,0.0443361721589772,-0.0765146337110683,-0.0169181153501685,-0.0218590678215177,-0.0234511910744938,-0.00194396864099735,-0.0156251879003724,-0.151669516782912,-0.259482415932092,-0.263302360386414,-0.0217529486506855,0.133883413462754,-0.226978193633329,-0.0465730795939083
