"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"660",-9.4834,4.8037,-3.777,4.1997,-3.3042,-1.1163,-0.60925,2.5118,4.9602,-1.7187,5.6811,1.7877,-2.657,-0.88018,2.8391,1.2419,1.9742,-0.32149,-2.3465,-0.74967,-1.9594,-0.80485,-1.0454,0.44397,-1.4667,-1.5275,-0.60943,-1.1896,-0.043151,0.44404,-0.94042,-0.4116,-0.72615,-0.090489,-0.85362,-1.3688,1.3749,-0.043002,0.41752,0.31067,0.3855,-1.1246,0.30796,-0.30721,0.45536,0.57119,-0.78762,0.86045,0.082814,-1.0095,-0.58633,0.97738,0.82305,0.21473,0.049488,0.67105,-0.21077,0.33287,-0.39673,0.28149,-0.40164,-1.0177,0.037686,0.41205,0.068003,-0.041833,0.25285,0.11442,-0.12568,-0.24304,-0.31576,-0.36986,0.26143,-0.0060399,-0.20733,-0.085665,0.083989,0.21416,-0.0021635,-0.28549,0.19144,0.20109,-0.19353,0.090207,-0.042657,-0.061576,-0.0046813,-0.012104,-0.008728,-0.097182,0.016802,-0.11675,-0.048185,0.041852,-0.10054,-0.046812,-0.054111,0.022555,-0.045995,-0.024701,-0.021474,0.021681,-0.13362,-0.12634,0.02501,0.070982,-0.0036039,0.040307,-0.10985,0.011114,0.0085509,4.6629e-15
"780",-3.6429,5.9723,-0.24447,-1.5911,0.36877,4.847,2.5138,4.2247,2.1585,1.7205,2.6042,-0.1632,-0.12331,0.4191,-2.5035,3.031,2.2483,0.4482,-0.44241,-1.0117,0.91433,0.30939,-1.5933,0.90817,-0.14751,0.3194,-0.82296,0.69404,-0.33392,-0.091629,0.37426,0.19496,-0.1705,0.509,-0.0085623,-0.4244,0.31931,-0.0051977,-0.064344,-0.48396,0.20418,0.59931,-0.62214,-0.054578,0.46349,-0.59127,-0.42594,0.27881,-0.091898,0.59677,-0.090804,-0.23447,-0.17078,0.49011,0.33819,0.40165,-0.10439,-0.18956,0.076013,0.1276,0.23833,-0.209,0.21515,-0.55913,-0.4063,-0.38765,0.098286,-0.34447,0.060243,0.24911,0.023762,0.17522,-0.14927,0.057538,-0.075343,0.13899,-0.10765,0.36066,-0.37666,-0.44205,-0.17982,-0.23235,-0.28122,-0.18563,-0.026244,-0.038521,-0.20952,-0.0026666,-0.22688,0.42435,0.039187,-0.086052,-0.080988,-0.073602,-0.25735,-0.12944,0.35945,-0.02224,0.14215,0.070277,-0.083635,0.0045031,0.25566,0.16684,0.083737,0.2073,0.24534,-0.076381,-0.032021,-0.048088,0.061392,1.5959e-15
"940",4.0721,5.2839,-11.687,0.93683,1.8666,-1.6876,-3.0666,-4.0469,0.3033,0.52844,2.3023,-0.50979,0.58752,-2.4512,0.53952,-1.8961,0.34581,-0.08524,-0.059782,0.69716,0.67561,0.70524,-0.084134,-0.042423,-0.045908,0.73875,0.57516,0.85234,0.080255,1.1604,-0.7927,0.36576,-0.56915,0.39638,-0.26831,-0.2988,-0.085666,-0.27685,0.22939,-1.2101,0.24528,-0.46513,-0.49007,0.062548,0.35341,-0.41852,0.36103,-0.72241,-1.2863,0.32989,-0.43806,-0.3276,0.38029,-0.0042333,-0.0086677,-0.20757,-0.1847,0.5051,0.93438,0.31246,-0.047296,-0.04342,-0.15061,-1.1434,0.36719,-0.259,0.12128,-0.22467,-0.020826,-0.3335,-0.65376,0.5143,0.048892,-0.28898,-0.25899,0.049738,0.024685,0.0479,0.43671,-0.087725,0.028753,0.24729,0.18038,0.22456,-0.022417,-0.17771,0.28231,-0.0072852,-0.17508,-0.22503,0.10839,-0.048755,0.26758,0.0041405,0.060068,0.054746,-0.06059,0.10484,0.10522,-0.0076786,0.13841,-0.11769,0.1078,-0.021961,0.076918,0.16242,0.002338,0.073534,-0.10261,0.023629,-0.0054836,3.6082e-16
"1090",8.1018,-9.5647,2.1195,4.6544,1.905,6.6945,7.8231,1.8179,-1.2474,-3.0294,0.57698,-1.9515,1.1143,-3.1897,-3.1716,-3.2813,3.4989,-1.0298,0.48396,0.87676,2.2005,1.016,-0.086935,0.38638,0.22011,-1.2323,-0.25335,-1.7373,-0.43804,0.092575,0.59004,0.4805,-0.31069,-0.41994,0.15272,-0.34852,0.16206,0.33615,-1.0212,0.15283,0.74259,-0.42505,-0.27794,-0.56111,-0.27453,0.41206,0.79709,0.92252,0.11122,-0.047556,-0.20472,-0.73431,0.027951,-0.038163,0.0014259,-0.031495,-0.0039229,0.76437,0.097436,-0.33634,-0.0041849,0.18974,-1.0291,-0.34919,-0.85505,0.15703,-0.083116,0.24893,-0.21183,0.10042,0.23268,-0.043049,0.1105,0.20425,-0.00033605,-0.16794,-0.012079,0.042794,-0.10404,0.12558,0.13264,0.40253,0.077747,-0.246,0.066422,0.20259,-0.25019,0.26449,0.061058,-0.050208,0.32022,-0.10814,0.0067904,0.25608,0.032227,-0.053853,-0.06169,0.01983,0.070455,0.012414,-0.0054782,-0.0018762,-0.10897,-0.0038405,0.05733,0.17249,-0.024155,0.068208,0.024127,-0.0026735,-0.051955,-4.6074e-15
"1100",14.355,2.8212,6.4397,-6.65,-9.3963,-2.8143,-1.2945,5.2836,-0.98503,-2.9802,2.6801,2.1958,-2.918,-4.7376,-0.93597,1.5829,-3.9203,1.2137,0.36629,-0.13324,0.90718,-0.28625,1.8172,0.70253,0.72507,0.12089,-0.71062,0.91424,0.77856,-0.32062,-0.76973,0.060049,-1.137,0.28702,1.4133,2.5742,1.0931,0.36933,0.57316,0.18354,-0.30392,-0.0076085,-1.0496,0.85831,0.5063,0.4327,-0.5509,-0.20351,-0.40005,-0.23653,-0.2507,-0.68014,0.13304,0.29365,0.53182,0.067606,0.15266,0.36597,0.38838,-0.44539,-0.41184,0.25758,-0.48933,0.53178,0.52661,-0.34744,-0.27708,0.027312,-0.57625,0.18231,0.21068,-0.06644,-0.047642,-0.043673,-0.17706,-0.32786,0.29953,-0.17144,-0.050125,-0.039868,0.0035094,-0.023844,-0.019976,0.11396,0.20742,-0.1061,-0.20135,-0.06584,-0.047788,-0.066937,0.032289,-0.093941,0.05834,-0.058292,-0.11064,0.038546,0.11545,0.011124,-0.077723,0.076368,-0.078016,-0.10898,-0.12072,0.060851,0.021121,0.052289,-0.0065866,-0.0079226,-0.0058418,-0.0037716,0.013186,-8.4932e-15
"1220",4.3677,-8.2203,-5.7473,-4.9803,-1.5932,-2.4874,-2.7006,-1.725,4.893,1.8,3.654,0.095305,-1.4173,3.0922,0.007391,1.4614,-1.9961,-0.21484,-0.57345,-2.5083,-0.2908,0.03571,1.169,-0.95331,0.52978,0.15827,0.12527,-1.765,-0.47952,1.0774,-0.57968,-0.9698,-0.3131,1.023,0.057645,-0.97126,-0.31056,0.1803,-1.0818,0.18756,0.55313,0.33279,-0.52433,1.0637,-0.78488,0.017372,0.27885,0.44034,-0.18328,0.24418,-0.17359,-0.71823,-0.074582,0.70988,-0.094906,-0.67286,-0.43331,0.47736,-0.055112,0.047141,0.16212,-0.01693,-0.14086,0.1808,0.026063,-0.17758,0.2409,0.21777,0.5017,-0.00020289,0.35712,-0.0074259,0.38565,-0.046989,0.068683,-0.30552,0.042039,0.25923,-0.015371,-0.36204,-0.062808,-0.089824,0.19096,-0.11159,0.13019,0.4653,0.055261,0.037334,0.23144,-0.13752,-0.21702,-0.010593,0.061171,-0.059676,0.054057,-0.087821,-0.088313,-0.31611,0.034523,0.039643,0.11339,-0.21809,0.069795,0.11507,0.19929,-0.18912,-0.015298,-0.013704,-0.024511,-0.060077,0.051852,-1.9429e-15
"1300",4.9558,-11.07,1.9638,0.63273,0.46964,5.8642,9.8681,4.1656,-4.0056,-2.0945,0.55071,0.33842,-1.8428,1.9487,-2.3378,-1.3477,1.9551,2.5453,0.30005,-0.20771,1.732,-1.3582,-1.9867,0.76831,0.46101,-0.55017,0.72275,-1.2818,-0.52578,0.73276,0.302,0.16984,0.90443,0.70721,-0.21887,-0.1323,0.053365,-0.22226,-0.60325,-0.085941,-0.89593,-0.80313,-0.71365,-0.22857,0.08667,0.093525,0.45378,-0.16352,-0.46579,-0.22476,-0.001754,0.053031,-0.60842,0.068907,0.96857,0.0074297,-0.015381,0.47764,-0.20054,0.0084545,-0.0052607,-0.0061682,0.16452,-0.24055,0.20155,-0.082905,0.043979,0.091978,0.057714,-0.49998,-0.11604,-0.32806,-0.21709,0.23397,-0.18116,0.20826,-0.21324,-0.12993,0.20351,0.025032,0.06353,-0.58057,-0.11453,0.18894,0.0094561,-0.10854,0.11612,-0.14394,-0.057232,-0.062827,-0.097162,-0.086428,0.09125,-0.018233,-0.17933,0.14476,0.10823,-0.009038,-0.35198,-0.11819,0.15281,-0.19387,0.050191,-0.18958,-0.0057331,-0.24248,0.0093954,-0.038501,0.0047368,-0.038692,-0.0083549,-3.5527e-15
"1430",5.0776,-17.438,1.4256,3.2683,-5.0685,-1.3693,-1.9293,1.259,4.6769,-4.5852,-0.57128,-2.7657,-2.4472,-1.0522,0.19745,0.52855,0.40293,0.30171,-4.3341,1.7209,-2.0769,-0.99561,-1.8707,-0.593,-0.052462,1.5826,-0.98691,-0.83286,-1.94,0.36306,1.2935,-0.60775,-0.44603,-0.55106,-0.46903,0.74894,-0.024589,-0.8522,0.64672,-0.24047,0.81869,0.50649,0.39007,0.25765,-0.81452,-0.95717,0.53991,-0.30878,-0.25567,0.68356,0.027261,-0.31658,-0.8795,0.32012,0.41292,0.0017509,0.2858,-0.12856,0.41816,0.18179,0.34845,-0.40037,0.23011,0.82958,-0.081061,0.015073,0.19728,-0.089337,-0.25157,-0.3439,-0.33281,-0.30027,0.11634,-0.38332,-0.055662,-0.27827,0.030836,-0.13889,-0.039592,0.39505,0.02379,0.12681,0.34103,0.089806,-0.22607,-0.0026093,-0.091308,0.011298,-0.11094,0.2969,0.065925,0.18448,0.065859,0.2266,0.019288,-0.041683,0.106,0.10484,0.037541,0.0286,-0.00056692,-0.040308,0.040657,-0.036625,0.024822,-0.016408,0.013936,0.063851,0.017535,-0.011958,0.0154,-3.9413e-15
"1440",-4.5201,-9.4117,5.0575,-4.647,4.9134,-6.8135,3.3149,-0.68326,-1.4726,-2.19,4.383,0.27222,-4.1226,1.1126,-0.52771,2.3379,1.7841,-1.6885,-1.2814,-0.99591,0.29552,-0.70316,0.36939,-2.3729,-0.16273,1.1477,0.40807,0.61125,0.17434,0.71353,0.60476,0.63533,-0.50608,0.073639,0.81815,-0.020961,-0.12738,-1.0307,-0.46571,0.98531,-0.53135,0.0099045,0.20704,0.73768,-0.80914,0.044344,-0.26011,-0.074478,-0.2821,0.45862,0.83272,0.1652,0.54763,-0.2302,0.08991,-0.15691,0.56554,0.029142,-0.36769,-0.072261,-0.18718,-0.24781,-0.042089,-0.24377,-0.37609,0.40426,-0.30022,0.27724,-0.026854,-0.087728,-0.66853,0.17938,-0.03217,0.37696,-0.14364,0.67146,0.15784,0.31722,0.055044,0.40804,-0.43298,0.2045,0.15321,-0.053936,0.25386,-0.22191,-0.10311,0.16179,-0.069334,-0.21276,-0.11827,-0.16203,-0.042077,-0.075656,0.057848,0.0098959,0.12656,0.051999,0.090314,0.082002,-0.12979,-0.034293,-0.082236,0.0050361,0.11362,-0.02459,-0.032982,-0.14394,0.062406,0.040435,0.052906,6.6613e-16
"1530",7.0722,-0.12114,0.87012,-7.0032,2.3065,5.4041,1.2049,0.6355,1.0376,-3.7745,0.54501,1.8708,1.9758,1.6748,1.7432,0.86985,-1.4745,-2.1219,1.5512,1.3863,-1.7867,-0.041258,1.1836,1.5446,-0.094154,2.511,1.3193,-0.79849,2.0176,0.45915,-0.17808,0.17066,-1.5753,-0.14335,0.33956,-0.78591,1.4054,-0.53541,1.238,-1.5224,-0.24558,-0.6564,0.17893,-0.0023846,0.37211,-1.0546,0.33817,0.61919,0.52189,0.19569,-0.22285,-0.23251,-0.015632,0.60572,-0.70933,-0.32771,-0.01439,0.16714,-0.096588,-0.15362,0.027905,0.06933,0.015044,-0.35711,-0.486,0.46225,-0.17037,0.12958,0.081765,-0.57037,0.065477,-0.01252,0.0043627,0.04283,0.35734,-0.27613,0.34363,0.064014,-0.036463,0.12319,-0.34906,-0.069349,-0.0074961,0.052295,0.050726,-0.16533,-0.024695,0.034466,0.19833,0.19712,0.19188,0.10656,-0.1454,-0.24941,-0.10275,-0.059828,0.12779,0.14541,-0.19967,-0.050032,0.099777,0.058362,-0.023145,-0.023377,-0.017771,-0.087857,-0.10409,-0.03225,-0.073263,0.044927,0.0037872,-4.6491e-15
