"datname_vec","popsig_vec","tempsig_vec","pop_temp_sig_vec","intsig_vec","pop_temp_int_sig_vec"
"ORG_CTmax",0,95,0,0,0
"AQ_CTmax",79,99,43,0,0
"ORG_CCR",0,64,0,0,0
"AQ_CCR",137,112,33,0,0
