"datname_vec","popsig_vec","tempsig_vec","pop_temp_sig_vec","intsig_vec","pop_temp_int_sig_vec"
"NMR_ORG_CTmax",0,95,0,0,0
"NMR_AQ_CTmax",79,99,43,0,0
"NMR_ORG_CCR",0,64,0,0,0
"NMR_AQ_CCR",137,112,33,0,0
"LCMS_CTmax",32,45,15,40,8
"LCMS_CCR",26,21,7,4,1
