"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1210",5.473,4.0144,-6.6648,3.618,-1.4149,1.7827,-1.1176,3.5482
"1250",7.5767,-2.6286,-4.5444,4.097,-2.3262,5.3372,-0.024364,2.7304
"1370",2.5585,0.47282,-3.5812,6.5642,1.3894,0.80072,0.3345,-1.5017
"1390",6.2509,-0.71376,6.1592,3.2697,-0.16834,5.5407,-1.6744,0.70217
"1400",4.453,2.0082,-1.3699,7.3486,1.0829,1.1239,-4.5807,1.4731
"1420",-1.8267,-1.9505,-0.47862,8.5276,1.2867,0.98638,-2.1309,-1.1909
"1580",4.4851,1.0585,-3.7804,2.8228,0.42468,3.974,-4.5024,2.7316
"1810",5.6739,-1.275,-5.566,6.5593,0.22352,3.4558,1.3626,-0.67506
"1840",17.886,-3.4365,-3.0511,-10.762,1.4289,-0.25911,1.9335,7.8058
"1920",0.86849,3.2409,-6.1196,7.1257,1.5331,-2.4451,0.28693,-2.7509
"2050",5.9447,-4.1428,0.60124,-6.7699,-2.0167,3.703,-0.34275,2.0594
"2120",-4.6066,7.5326,-1.5109,0.77757,0.038562,2.2498,-1.0022,1.5865
"2190",0.81635,1.4219,1.1922,-0.28956,-4.5575,1.8861,-1.2176,2.2534
"40",-5.818,1.7014,7.9899,1.598,-1.9111,1.3588,0.24771,0.77582
"100",-7.873,6.1003,5.5542,-2.2528,5.8952,3.2071,0.55836,2.431
"260",0.48941,-0.64112,7.3159,-3.2258,4.1066,-3.3607,3.7224,5.734
"270",-4.1806,0.81965,12.265,3.9332,5.9683,2.5779,0.39622,-1.9404
"320",-0.47956,2.5992,7.7324,1.2495,3.348,0.99961,1.404,-0.76149
"390",5.2027,4.3946,7.3044,-9.012,1.0573,-0.74263,2.3285,6.6301
"560",-6.345,8.1731,-4.2694,-6.0282,-0.12724,1.7117,2.7058,-3.1828
"820",-2.1319,3.4196,5.6081,3.6679,-0.39729,-0.90956,2.4267,1.4944
"840",-0.55373,-0.20995,10.355,4.2731,-0.80296,0.5974,2.4752,1.7649
"870",-8.6891,2.2337,2.2825,2.2992,-1.9699,-2.9911,1.4278,3.6018
"890",-1.9111,8.7785,-1.0749,1.2137,-1.7345,-0.6557,-0.68364,3.8015
"980",21.098,7.7009,8.1469,-5.6055,-4.3735,-13.598,0.10664,4.9145
"990",4.7248,0.47364,-2.878,4.1851,1.9804,-0.84262,1.1674,-0.39122
"1000",4.5786,3.4796,-4.8746,6.6523,-0.42884,0.24355,-0.62201,2.6078
"1020",8.6642,3.3164,1.9412,8.2349,-0.42608,1.2976,2.1085,-0.29103
"1030",-3.053,2.4687,0.74893,1.365,7.1072,-3.1508,0.90341,-0.96544
"1080",11.052,-0.53101,6.8215,7.4018,2.3711,2.7375,1.1329,-5.4792
"1190",11.652,3.8822,0.63365,-1.0511,6.454,1.8458,-0.11161,1.2538
"1260",14.651,4.0098,9.0015,-0.5543,-2.0211,-0.45583,-1.6107,-3.8601
"1290",6.5393,-10.213,1.4827,1.6736,-1.8616,6.6386,4.1274,1.8273
"1320",5.5387,-3.0276,0.31402,6.4176,-2.5866,5.5389,5.1347,4.4584
"1450",2.2363,6.6864,1.0765,10.546,0.47108,-5.7273,0.36916,-3.0345
"1540",10.429,2.3377,2.2485,-13.052,1.9515,6.2047,6.3325,-10.349
"1640",1.5913,0.48612,8.6167,12.074,-0.2597,-3.4055,1.2915,-1.3844
"1650",9.9703,-1.9787,-1.7254,-1.0083,4.6364,1.5463,-1.7394,-1.0144
"1680",6.0069,2.167,-2.3056,5.6314,-2.5343,-0.86821,1.2349,-1.3784
"1710",6.3712,-0.31436,2.2659,6.1889,-3.5986,-3.2269,0.43595,-0.54712
"1750",6.6781,-3.9403,6.3602,1.8637,6.9363,-8.8428,1.1372,3.7783
"1790",17.477,2.6291,3.8207,-4.5474,-0.045313,0.71147,3.2699,-4.5552
"1850",10.213,6.047,-8.5993,3.5298,-1.3095,0.21869,-2.2353,2.1714
"1910",9.6949,11.594,-10.465,-9.045,-1.6987,-0.32452,5.4074,-6.626
"2060",0.1616,8.7599,-4.2519,-0.78119,0.22143,1.5573,-0.17492,2.339
"2110",-0.92212,2.164,4.9779,4.1238,-2.1887,-1.9279,2.0793,-0.40628
