"","M250T42_pos","M74T44_pos","M108T41_pos","M188T297_pos","M166T45_pos","M74T42_pos","M245T46_2_neg","M267T217_neg","M145T253_neg","M137T293_neg","M157T43_2_neg","M199T46_neg","M258T41_neg","M105T47_neg","M115T128_neg","M131T216_neg","M171T43_2_neg","M282T218_neg","M135T43_2_neg","M347T101_neg","M173T36_neg","M131T38_neg","M132T39_neg","M130T119_neg","M147T79_neg","M664T67_neg","M122T103_neg","M164T229_neg","M263T286_neg","M124T38_1_neg","M136T105_neg","M151T114_neg"
"78",-0.217342555585577,-1.07907226082429,-1.04793018441074,0.205476073043894,-0.728726742976089,-2.46249784538761,-0.604661049357516,10.7544141281636,-0.196459741266369,0.0040277223272063,-0.278154284490109,-0.355179079845725,-0.58528546745295,0.0375706957133348,-0.165915230166559,-0.300166554480071,-3.07575194635175,-1.00413452144791,-0.407251634134106,-4.67195999461104,-0.876568522894431,-0.0649814612806979,-0.862889144243841,-0.199907034645659,0.0918502261988936,-0.193508608060653,-0.412443869599815,-0.569220888609447,-0.228853206179759,-2.160933833846,-0.0608794595300795,1.65189201961778
"84",-0.477242052451159,-3.01265278319438,-1.19333319818951,-0.926529553331894,-1.66387356950665,-1.98226079386008,0.658121181469879,9.58294536768083,-0.393869432323804,-0.270038745200646,-0.637745891406192,0.198971418485483,-0.442913395508008,0.279515792512856,-0.225523306224365,-0.410479603189109,-1.71713978843338,-2.3824268133723,-0.505763989910212,2.74850254041313,-0.432108277029747,-0.387127618874351,-1.14365823128009,-0.920990552509257,0.101552976797141,-0.655083065399971,0.141421978313593,-0.70004697447037,-0.265637981649029,-1.98129737426348,-0.14264765524628,-1.65387949590054
"88",-0.350619248879783,-3.74294297186875,-0.749377355302761,-0.00985763723842822,-1.56323397554465,-2.08657938677936,0.356926441858837,6.97899442940354,-0.413326511200086,0.0596714997626191,-0.139039319248973,-0.18770345208935,0.131990840877992,1.62972483346506,0.217722675600848,-0.395617601572785,-2.3209793042403,0.301267882852743,-0.392831041762432,-6.81933963909127,-0.696090478032734,-0.236525448255587,-0.622705323746385,-0.199151105065165,0.326287975948943,-0.205867503888036,-0.449205420620782,-0.35214039213944,1.85658216019902,-1.22247053791953,-0.0306586269930464,-1.36000011890912
"94",0.106257887349575,-0.863703819763807,1.85559437292524,-1.18268309767627,-1.47861020798995,2.0956262378087,2.26341898816764,10.4434593430279,-0.323832713553594,0.0113472379870212,-0.453894210294118,0.38168132710858,1.38606317042735,0.785035351579709,-0.283126965439281,-0.338932317516916,-1.2112927373222,0.14712712564045,-0.154278861267101,-6.72381189409838,1.69064000150367,0.204411680721471,-0.506402219972385,-1.06525960623452,-0.156914730268224,-0.700548404182275,0.434505273030504,-1.58753557344758,-0.273440706891525,4.9826580820238,-0.023046030001293,-1.59564996423936
"98",-0.283666058790938,-2.67721641713076,-1.0353784128121,0.401754125132712,-1.56003435507223,-1.92324016900636,-0.868576693962402,-3.49409624242358,-0.380756283470138,-0.119863592355244,-0.42521533127228,-0.644482013652524,-0.206735106478178,0.288436254601169,0.034733165542032,-0.30153304250908,-1.02236867765934,1.10723091157977,0.139738045597211,-0.839375599328636,-1.08132867640596,-0.0770636415818923,0.547658826535256,0.384468818974528,-0.364765488456078,-0.164314378279226,-0.580610514315011,0.739995461351145,0.751889864590267,-2.35012813015396,-0.214062238059706,-1.94322607170824
"104",-0.453171642563276,-1.45285854857177,-0.384457116041906,-0.697607431678456,-1.14071130585215,-2.00001002947439,0.187993492024431,-0.852297808764589,-0.351276499565922,-0.290771460555731,-0.41170078305252,-0.871028093663264,0.496169225859087,0.0786915719163242,-0.0775642464165865,-0.339271048633747,0.994834639089021,-1.39100843615287,0.384102630715418,5.99757270819008,0.534261322971454,-0.446154484429721,0.205460151134337,-0.565558120922536,-0.489220433232436,0.0701741611104337,0.238659555875581,-1.17650799617044,0.255736799910568,1.92476434660238,-0.0851638655970356,-2.7886818290195
"113",-0.434727990364653,-2.95404214640411,-1.17326985395485,-0.814659841945923,-1.22573365108679,-1.80481766841678,-0.303060117771138,-3.50775766222722,-0.369957001473023,-0.126576935273521,-0.321388339722852,-0.313710557363361,-0.602022354766507,0.325836750814824,0.339180543565882,-0.293802649492404,-1.17682985741313,0.217834697346408,-0.0924344779045487,-0.96624141309019,-1.00515586669914,0.0515151456979217,0.747434499472564,0.804288827721718,-0.312137645347274,0.387972003298032,-0.393327402801798,1.69521612569516,1.60511344023337,-3.16690780675311,-0.0849378418099015,0.00881694871046946
"119",-0.320383935106174,0.587191059232779,-0.893416826851182,-0.574089711441424,-0.198914243709924,-1.49941440397802,0.787437014278264,-4.27330107845861,-0.323939905287731,-0.237672159072316,-0.218483530650463,-0.318775375919356,0.295252655083318,-0.465296985515976,0.031526482790566,-0.364704676063761,0.49433611166017,0.827519298976184,-0.281310752595873,3.46384801754644,0.0152215521086416,-0.336976120678553,0.539880073148301,-0.759349254054505,-0.321793382635587,-0.316799563280302,0.415864292699561,-0.549366897471564,0.843128340878398,-1.05015438918619,-0.123552791245795,0.986376087037868
"156",1.15374069932658,-1.69621899044848,1.20740853962214,0.826921026592932,3.85835852774098,-2.73228029668337,-1.22786641222705,-0.689118855995445,0.996931551349647,-0.083752586155856,0.443140860786551,-0.20357219438576,-1.1517485731098,-0.523654017171612,-0.208127440714758,0.0440333148521366,-0.602945905340559,3.99098406975571,-0.270372959134209,-3.51431667319683,-1.19549445752825,-0.157419676483928,-0.242034246218532,0.498661869985837,-0.372966176155107,0.366104878017917,-0.370465599494758,0.786052447776818,-0.297077132746958,-0.972844050617024,-0.128568049591972,-0.455593577522945
"162",-0.248386874707333,-0.0230498539167344,-0.351737899982775,-0.945842761979019,-0.618966602582649,1.83174399928858,0.0940253807741872,-1.67347030609255,-0.26657201130048,-0.10372300962886,-0.407480567318142,-0.548256325668164,-0.0694393754253836,-0.372657651293414,-0.188208550221359,-0.292685353814569,2.88324107936404,-0.501630554390835,-0.310029957335916,-1.24730499603561,-0.102050492277023,-0.230823840505206,0.134764919326631,-0.00430281418779787,-0.344770817660161,0.343000491419399,0.513783285757177,0.0532217328100554,-0.35747692015206,0.448941250801996,-0.17625038897246,-2.38370785570642
"170",-0.166160696442602,-1.37492388800125,-1.09195071693431,0.289550974108797,-1.35807139613407,1.6095944431404,-1.14566242863841,-4.14502686820391,-0.314450659940728,-0.140260451482781,0.415637519072959,-0.32837751316483,-1.16825330996692,-0.568541610323028,-0.207675690509313,0.116446563216105,-1.315244358746,2.93053710579792,-0.561326377072612,-3.64620688396575,-0.742498853289551,-0.071171907256361,-0.168912108117213,0.886504370131334,-0.181791962183622,-0.109662182455045,-0.0164151968169455,2.31135124781176,-0.499964627996097,-3.40527362373331,-0.147235045445342,-0.584254607628455
"176",-0.350071829347771,-1.62270075571445,-0.316590298770382,-1.01211719253034,-1.56968313721646,0.537275809067191,0.600380322985907,-0.446054409739084,-0.351138487258624,-0.182610330017021,-0.29730564559352,0.613667654293746,0.156284064863375,0.009867657985465,-0.0940115853218672,-0.350127638095859,2.6796178958011,-0.537614248444184,0.199057114808494,6.58661900939294,0.372644873486731,-0.321918213690304,0.333510302678828,-0.475863066789694,-0.360105972196809,0.0890352280887297,0.603610252163681,-0.553809913338677,0.26107388515916,1.48281857444123,-0.248223346389688,-2.54140648392557
"180",-0.357334566939699,0.703426089032063,-1.31113347098311,0.337439460391605,0.41868530045471,0.0229828958712043,-0.99571442398967,-5.91416939752792,-0.0776772204509985,-0.157474710480509,-0.294881588728981,-0.511356538823001,-0.966324313964922,0.240159228040327,0.0186812793985653,-0.38982394430131,-2.10100858897132,1.39454854087902,-0.41979922253385,-4.33300347058602,-1.07725747456889,-0.158212355700064,-0.127004225882191,0.523551295224049,-0.280857794871293,0.0482794424609473,-0.144831453588448,0.796806574697866,-0.348951603519296,-5.73881489372847,-0.142938849514352,3.53584219800955
"186",-0.372340691155258,-0.155799085903709,-0.329306288130165,-0.721392963383774,0.319591653859168,1.74975525965753,0.396449681379085,-1.26643752011406,-0.261817369215971,-0.267314912871709,-0.469348101688567,0.613642294811621,0.482180002219967,-0.265366239593616,-0.242045508306002,-0.390301807713045,3.28584422111403,1.35137896417924,0.0250539979164932,6.57295141946456,0.590693658750503,-0.313477615219439,-0.165445851664818,-0.763688857182333,-0.223143782297405,0.0763884993625082,0.375493980740707,-0.686506449532932,-0.0279978566182494,0.529233924913961,-0.11226579244639,-1.88590760924453
"190",-0.241209669715684,1.79417552404013,-0.776896547818658,-0.351756809064876,-0.0478836992266221,3.29640746163911,-1.24220444798657,-3.64268406098805,1.21607980052735,-0.143543105120468,-0.370359158833381,-0.459560228946798,-1.24386233905159,-0.536386098790674,-0.256681752635169,0.227432216960082,-0.780621954710745,2.81918538213026,-0.47593090314582,-6.69651764562053,-1.18891585794424,0.0149997972202233,-0.565038891305698,2.16585155393684,-0.248882488537895,1.41848243077129,0.250900676929323,1.90403024421944,-0.418382154136885,-3.43296511331851,0.241221301162702,-1.94130504456731
"196",-0.176320993046468,2.70323474478438,-1.24760895488565,-0.359465758636028,0.733221723397521,1.56915730744102,0.103827906442186,-3.00263469248347,-0.114975017212531,-0.126999279484134,-0.0341447945102641,-0.314001857440375,0.108567153598518,-0.356843204476298,-0.242335773946161,-0.291636742701145,3.60546978978787,-0.859696243133837,-0.461209997619817,5.2740414036543,-0.648359448959168,-0.0977704345624521,0.191199183505038,0.125556740060558,-0.302247726998608,0.0182241861601118,0.312082111648393,0.982409635906732,-0.423858500035396,-3.47457469500561,-0.0524349404335579,-3.05982450275465
"199",-0.299152750998868,1.07595221873726,-1.37601233987031,-0.251570611884224,0.935864598049599,0.901049703903069,-0.758281409230692,-4.89723202180665,0.760800357769566,-0.193372453173348,-0.186650232663456,-0.276742040125898,-0.977847281386545,-0.135992456869199,0.0049065732711612,-0.308852257020764,0.879454946259541,1.10511810725669,-0.483654424220508,-6.3977173213614,-1.03639504467935,-0.102372823601305,0.146190391080158,1.23403744345181,-0.301703913439367,0.920347339988242,-0.187649859044605,0.971399823669119,-0.135222972502188,-3.9771284365882,0.0829769260804587,-0.867990720913079
"203",1.0296478861719,-0.325274830731679,4.22331515553168,-0.225478373340567,2.43089428819095,0.71585321702327,0.390646388923015,-0.516279619060284,-0.0184388935697381,-0.0475445858006126,-0.0465912625309012,-0.234876859045015,0.70921640596852,-0.633330656018674,-0.239166476734276,-0.386167829637027,3.17507547058824,0.0901603956971437,0.0467449270546473,2.76382037369313,0.660550977995513,-0.324128517133801,-0.168561201794026,-1.13767838805916,-0.46226278970587,0.337404504034208,0.206132881288026,-1.38654573874335,-0.304537207412969,1.4554464224909,-0.218098848726725,-1.86949197603759
"207",-0.172672500181543,2.46914934642002,-1.41145480882028,-0.0211189478816017,0.778644294781943,0.877307761751212,-1.07139547028513,-4.90363482711406,0.909826805880448,-0.1308064984341,0.629227794053013,-0.391029608064391,-1.29777891364063,-0.179052729100284,-0.227602863824923,0.264846266910091,-0.0371971174608319,2.42669860909625,-0.317635043887177,-3.67978172050495,-1.25208296221996,-0.128506030283554,-0.426406658440335,1.14880668127181,-0.181687032012461,0.957663551666202,-0.209834857176733,2.08062596033447,-0.425338874797654,-5.29769111842633,0.109562581979703,-0.855970563238093
"212",-0.0644279446743246,1.57220024525247,-1.4007007548736,-0.343284062882409,-0.620217730490021,1.71155594858884,-0.520865880349181,-5.6435641861251,1.19856693648403,-0.180207575645442,0.0874918667402965,-0.695262242661115,-0.233154601359588,-0.138992552753051,-0.113914445153203,-0.178999315898027,1.20994405188691,1.51895046462011,-0.17612145811421,-7.81739081342351,-0.774991488693651,0.142432458833338,0.394283751670417,0.978377530818808,-0.133182144294232,0.75367871001668,-0.0392340432874587,2.19903451130578,-0.271687574699573,-1.91459772385257,0.0786153354757775,-0.0784273026614446
