"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"123",-7.1889,-1.7932,-2.6675,-5.9782,2.6243,-10.864,0.13367,-7.5507,-0.31942,1.3971,1.816,-1.7871,-2.0727,-0.19051,-1.1071,-0.020343,0.45723,-2.7427,-0.59919,1.2924,-1.4168,-0.29467,0.5081,-0.5721,0.59283,-0.88426,-0.44247,0.64092,-0.93133,0.58771,-0.43546,0.070997,0.07497,-0.040013,-0.20565,0.12601,0.32593,-0.14883,-0.28939,-1.5873e-15
"129",51.857,1.0838,1.783,-4.996,-2.4143,-4.1775,-1.9914,1.8888,-1.2912,1.9282,-2.2421,-0.70697,3.7904,-0.37913,0.91183,0.55849,-1.3192,-1.347,-1.099,1.1158,1.692,-0.70365,-0.77169,-0.13531,-0.62781,0.0029685,-0.30281,0.21606,-0.4375,-0.37581,0.16337,0.061302,-0.52338,0.15151,0.030793,0.10936,0.20297,0.15424,0.091924,1.0289e-15
"133",-6.2954,-1.3745,-4.374,5.731,2.7461,-6.5596,-0.20312,1.6466,1.3935,0.56537,0.91772,0.13269,2.85,-0.95529,0.24711,0.30555,3.2695,0.80757,1.055,-0.40409,1.9839,-0.32077,0.1003,-0.57423,-0.099246,-0.62691,0.7107,0.13951,0.65161,0.2649,-0.86727,0.5225,-1.0898,-0.38777,-0.25879,-0.44535,-0.45343,0.017169,-0.22541,-3.9384e-16
"139",-1.6137,1.6501,-5.5485,3.2199,-3.4269,1.0496,9.2788,0.32339,1.5848,-4.1792,-1.2617,0.33784,3.6297,-1.4416,3.4614,-1.2728,-2.2905,-2.0909,0.26558,0.19417,-0.71843,-0.25339,2.5507,-0.27107,0.11144,-0.20546,-0.21684,0.31463,-0.39019,-0.0053072,0.036004,-0.032737,0.1932,0.10893,0.013242,-0.13352,-0.44105,-0.3211,-0.055064,-1.3475e-15
"143",-5.1153,-9.0729,-2.5709,1.4595,-6.271,-1.9596,-3.5964,0.40229,0.32853,-1.2921,-0.76539,-1.9135,3.7047,-0.48602,-5.1197,-0.01701,0.28801,1.0854,2.541,0.49539,0.4253,0.093476,0.33891,-0.45967,0.85646,1.1938,-0.055252,0.43875,-1.0731,-0.25451,0.27244,0.076801,0.81663,-0.062871,-0.27638,-0.015616,-0.16506,0.28787,0.099248,2.2708e-16
"149",49.01,-4.2143,-3.2488,-0.60871,-1.3281,-2.2148,0.21307,1.4846,-0.8291,-2.0485,3.2398,1.7645,-2.8115,0.57288,0.36249,-1.1694,1.5933,1.8349,1.2261,-1.243,-1.9625,1.028,0.48612,-0.04806,0.89065,-0.21024,0.39563,-0.21414,0.51702,0.46348,-0.045698,0.04552,0.58215,-0.17425,-0.091749,-0.064479,-0.1989,-0.18818,-0.11177,-1.5527e-15
"151",-5.0597,-4.4042,-0.28222,0.32182,0.73014,-3.8922,7.6679,-0.92473,0.90463,2.5492,-0.6053,0.82113,0.32534,1.52,-0.25657,-2.5543,2.8395,-0.87522,-1.759,0.42119,-0.33363,0.7348,-1.2963,-0.26466,0.19386,0.71342,-1.0562,-0.34712,0.62178,-0.30783,1.2871,-0.58521,-0.029462,-0.22927,-0.35996,-0.16656,-0.47332,0.28386,0.18612,-1.6366e-15
"78",-5.1666,-3.4267,14.277,0.80345,-0.40487,0.12804,0.88157,1.9217,2.4845,-1.8895,-3.1886,0.61204,0.71806,2.0156,1.4161,-0.64828,0.50407,0.37698,0.40466,0.26847,1.5376,2.0769,-0.30588,-1.1197,0.85499,-0.13633,0.37834,0.77401,0.18948,1.3622,0.017397,-0.62601,0.068604,0.2778,-0.090207,-0.10545,0.86514,-0.18174,0.026929,1.2648e-15
"84",-3.859,10.995,6.074,-7.2321,0.95183,5.4347,0.32306,0.41275,-1.7201,-2.9177,-1.1391,1.0229,1.0616,1.2799,-0.59516,-0.46898,-0.10084,-0.17151,-0.8537,0.85752,-1.2546,-0.50189,-0.67586,1.263,0.9498,-0.36808,1.3455,0.45467,-0.15213,0.55211,-0.49105,-0.040559,-0.41917,-0.089741,-0.74068,0.49338,-0.59812,0.60812,0.1055,-5.9547e-16
"88",-4.9165,-6.5338,13.491,-2.7718,0.8986,0.69036,6.9754,3.3237,-6.2773,3.5366,-1.0362,0.92256,-0.83959,3.6146,-1.2568,0.54094,-0.20352,-0.60674,2.0659,0.31319,-0.59475,0.55159,0.15009,-0.43424,-1.1703,-0.20813,0.27671,0.23562,-0.27973,-0.60354,-0.36489,0.70736,0.09808,0.27888,0.37513,-0.24562,-0.26802,-0.17144,-0.13626,8.3408e-16
