"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"83",-6.9904,4.7347,5.9149,-9.4858,-1.5526,4.4341,0.16776,-4.2375,3.0811,-2.5685,1.1327,-1.4555,2.4174,1.4763,0.25907,-0.4474,-2.2337,-0.82037,-0.88658,-0.72026,-0.25939,-0.51304,1.0974,1.2199,-1.0008,0.88236,-2.0778,-0.47219,0.3302,-1.3709,-1.1193,-0.62106,-0.367,-0.21159,-0.63223,0.053583,-0.79688,-0.13746,-0.222,-0.28227,-0.15318,-0.047224,6.5288e-15
"87",-2.2815,11.381,0.061113,-3.9552,3.3201,-3.2438,1.9547,-0.19987,-0.36287,-1.9492,-3.453,0.014149,0.98648,-4.7857,0.9781,-1.6897,-2.3752,1.3274,-0.11139,-0.03727,0.21688,1.128,-1.2266,0.98946,-0.31858,-1.8401,0.4652,-0.9296,-0.66151,0.64053,0.82523,-0.23915,-1.3459,0.056838,0.23463,-0.2872,-1.0133,-0.17556,0.19443,-0.00037293,0.094795,-0.11709,2.5812e-15
"93",-7.7504,7.4975,2.446,-13.162,-3.568,-6.6005,2.8334,0.63869,-0.014305,0.23849,1.3377,1.496,-0.76156,0.67309,0.088052,-1.8273,-3.0113,0.097963,0.087222,1.1061,-0.59591,0.058496,1.1334,0.045954,0.11515,-1.5091,-0.46039,1.0378,0.27055,-0.99041,1.2563,0.62052,0.62794,-0.29932,-0.44041,0.34847,0.46135,0.52164,-0.088707,-0.08525,0.313,0.5171,1.7666e-16
"97",6.7445,4.6092,-0.71102,7.7578,1.5983,2.7195,7.8263,1.3552,-3.3933,-1.8343,-2.5063,-0.92013,-1.4769,1.2969,0.98429,2.7767,0.69453,-3.1864,0.36975,-0.96393,1.5531,-0.60177,-0.39404,-0.12834,-2.087,-1.9106,-0.575,2.2149,-0.035936,0.049543,-0.26243,0.58078,0.10774,-0.039644,-0.29518,-0.16897,-0.26778,-0.16031,-0.049313,0.16456,-0.076429,-0.085246,1.4814e-15
"103",6.9461,-9.4868,-0.70289,-4.0575,-1.0498,0.12351,3.9296,1.4852,-5.5802,2.1539,-1.4148,-1.9218,5.7814,1.1755,-0.41502,-2.3249,2.9602,1.5482,1.8527,0.65204,-0.88605,-2.2506,-0.5134,1.8326,0.68249,0.32762,0.46769,0.77688,-0.062472,-1.0573,0.17871,-0.43767,0.28829,-0.12793,0.16869,-0.2971,-0.38501,0.016541,0.36595,0.40125,0.1452,-0.040147,-4.4224e-15
"106",-6.9013,8.5261,1.6355,-1.9812,2.4195,1.0668,0.81167,0.27287,1.7066,-4.6791,-0.31089,1.0287,2.7358,-1.1494,5.695,2.2078,0.76177,0.4608,3.3088,0.37785,-0.20982,0.35378,-1.3414,-1.2155,0.42886,2.0047,0.16846,0.14404,0.47913,0.50487,0.89364,0.092111,0.40767,-0.012562,-0.61363,-0.21778,-0.16103,0.1985,-0.48141,0.12913,-0.15963,0.12636,-4.1915e-15
"109",-10.329,5.604,6.3457,-12.342,-1.6672,2.9739,0.31433,-2.9449,1.801,-2.7863,-0.91205,-3.7125,-2.053,1.0466,-1.5192,4.0516,0.40774,0.78001,-0.96526,0.17464,-0.4886,-1.6546,-0.50532,0.11856,-0.22364,0.80384,0.8919,-0.16415,-1.2489,-0.031368,0.87723,0.6529,0.23677,-0.21489,0.48843,-0.13829,0.31163,-0.70105,0.70339,-0.30223,-0.033573,0.12924,3.5714e-15
"112",-3.1343,15.184,-1.8997,6.8368,-1.6526,3.9454,-4.7793,-7.1375,-4.8814,-4.9876,3.7194,0.61743,-1.0005,-2.2897,-2.7389,-3.21,4.013,-0.61313,1.318,1.6935,-0.93511,1.0256,-1.271,-0.29993,-0.7631,-0.32971,-0.75159,0.042264,0.030888,-0.14031,-0.067819,0.14162,-0.070599,0.07682,-0.091243,0.10202,0.31513,0.082099,0.19615,-0.21662,0.11222,0.10704,4.7973e-15
"118",-5.3282,5.7861,12.716,-9.5989,0.35535,-4.8243,4.0481,1.3851,-1.2959,3.2568,1.4004,0.018536,-2.6815,0.13274,-0.87669,-0.55524,2.2369,3.6211,0.62232,0.70244,0.74688,-1.2935,-0.5177,-1.8781,-0.35408,-0.52393,0.35061,0.090782,1.2543,0.76888,-1.2659,-0.37177,-0.38085,-0.033526,-0.16239,0.26144,-0.22785,-0.50421,-0.32039,-0.19441,-0.30459,0.24628,4.0251e-15
"155",10.996,2.2367,3.3881,11.537,0.75626,-4.4112,3.5547,0.4662,4.1089,-2.9298,-2.6103,-0.91637,-1.1259,1.5505,-0.1778,0.43173,1.5767,-0.57538,-1.442,1.6982,-3.3619,-0.74402,0.95441,-0.20622,1.3914,-0.49749,0.39319,-0.30259,-0.095652,0.082673,-0.31578,0.10134,-0.52076,-0.40667,-0.42379,-0.018859,-0.20644,0.82536,0.3498,-0.11705,-0.6147,0.015533,-4.3314e-16
