"","M250T42_pos","M110T41_2_pos","M195T35_pos","M108T41_pos","M382T289_2_pos","M153T287_neg","M266T219_neg","M267T217_neg","M145T253_neg","M275T47_neg","M157T43_2_neg","M105T47_neg","M229T45_neg","M339T37_neg","M259T42_neg","M171T43_2_neg","M74T38_neg","M150T63_neg","M131T38_neg","M130T119_neg","M133T56_neg","M190T290_neg","M662T146_neg","M164T229_neg","M180T105_neg","M283T230_neg"
"3",-0.305114346516335,0.030250719041748,-0.238353712285669,-1.3017083243676,-0.354036726709228,1.86075831723819,-0.563954035320665,9.43624111661185,-0.0956044795996675,-0.848926217329399,-0.387059802937329,-0.0757273823308696,1.77486978250709,-0.0237348871318633,-1.40935613782338,-0.843698359794267,1.26491844139481,-2.27004548579633,0.633103039077863,0.159098385337265,-0.931031080811293,0.320119107893763,-2.31731527975093,0.944641483508525,3.82854363032383,0.326564004090857
"9",-0.431209827183016,-0.697684534965744,-0.441468630397684,-1.64143213424606,-0.388015545799066,7.14046331555665,-1.04131705249868,3.65239378530316,-0.261422942005849,-1.46110241422442,-0.367202211483202,0.295414110413258,-0.25843594874021,-0.258233212458118,-2.65623075430315,-2.1509678695916,0.149877197113203,-2.35064020693214,0.0771854782675534,1.45937489473813,-0.200999396365321,0.357390472555064,-2.18072946014651,0.914157697380757,2.73780877584431,-0.583758681170532
"13",-0.362943917342677,-0.141594599761113,0.0657029536317154,-1.10638138532713,-0.0496148039616089,-0.398766974192782,0.205981251628768,-1.44134074588868,0.409282085676911,0.123071918398708,-0.519693872618372,-0.35888184236397,0.389774056875634,-0.127989883930662,-1.41698813686597,0.376485929307176,-0.592222505016577,-0.366825357150876,-0.335765985690869,-0.60771594091415,-1.58313126383274,-0.303710566724364,-0.00963140872847951,-0.873501672750809,-2.56110450995087,-0.577873466512737
"19",-0.376441067909504,-0.435771236159334,-0.341699215484082,-0.618801037227424,-0.186595879918384,-1.72853299982033,-0.160551351849504,-6.14254202313901,-0.140397879493105,1.09586187286095,-0.292068295982098,-0.0841049080165202,-0.635973805522479,-0.249444072722801,-1.55166551253086,0.993592027412803,-0.69658177909801,-0.650371941287768,-0.343749846523724,-0.41694027260926,-0.249426058873893,-0.197689005431922,2.91468937194524,0.00426661065502428,1.69964674921787,-0.180386179305987
"22",0.00111305909074987,-0.401463578905987,-0.173146660765783,-0.619417269917952,-0.247362351169591,-1.86138192146891,1.76197740469035,-7.47091135166372,-0.21384457946633,-0.0341910456519208,0.182633033908591,-0.035533462439553,-0.36577964365702,-0.168524180749313,1.8703008351493,-0.892847772219492,-0.744105401974008,-3.61174899964846,-0.233969084062076,-0.373639450800435,-0.663789950837376,-0.52272656390819,4.63856992743215,0.0934548903997975,0.635553866407216,0.286432827063149
"28",-0.276972345823897,-0.260973550405225,-0.269843635064241,-0.605797026679867,-0.196133467933641,-1.86679173128301,1.38394513306748,-6.1371272478727,-0.227540175058555,0.186548822207193,-0.311946352158042,-0.226751369332721,-0.609420077329139,-0.110705810414859,-2.47275100927812,-0.978745432090605,-0.846117902647168,0.773744545340449,-0.564365965918383,-0.384269491994042,-0.239462098860566,-0.045975174068513,2.69247731334227,0.0792243629792754,-1.89942077755097,-0.525966266364422
"32",-0.26709292571621,-0.454179708670825,-0.0658839905947891,-0.558790639375087,-0.333673655377971,-1.42037924319848,1.66123295239859,-4.64233199626339,-0.214401666611695,-0.321777557185433,-0.402352967907749,-0.12036773384685,0.167633865867854,0.113722288708154,1.04168274686805,0.538409248238941,-0.250827884980257,0.437494558234256,0.0504962985710239,-0.0239430475938138,0.699298337898652,-0.0602957993911281,0.386628500446516,0.129595743423121,-1.80590220311317,-0.468382187870688
"42",-0.182209850558066,0.1329161778503,-0.142169995180796,-0.598701835280396,-0.356866735554806,-0.909703272156038,-0.217272637655102,13.2918650316471,-0.13329367314068,-0.898699115023623,-0.117820251351141,-0.356541493535914,-0.848896794552205,0.0927946841466982,4.16224177603601,6.74361307670443,-0.150372429568131,4.27682295918752,-0.00898430089650754,-0.330717131353059,0.328167836710224,-0.259465511963577,-1.08911757932653,0.185965562480874,-0.247955661088871,0.585917246405675
"48",-0.391818788413367,-0.504781417010469,-0.447591421331291,-1.463048293111,-0.509421876366846,-0.820722648775226,-0.497095422420702,-4.05046375896958,-0.315414500576893,-1.21695441829386,-0.549260166652925,-0.401774200729731,-0.168582743043646,-0.185855178835804,-2.93857970898946,-0.377901601193537,-0.666930030140778,-4.13353068302568,-0.387672222426401,-0.532112667759945,-1.01753064096813,-0.0128219515657664,-0.474999974214008,-0.578813317853438,-2.60834286753434,-0.324653993828196
"52",0.919162752266846,0.734785779249383,2.21732248824935,-0.265106156215828,0.700595135109401,1.17209197087917,-1.00310364544291,21.3493157285485,-0.0677374054004824,-1.4215951101944,-0.15757429917631,-0.0100282399597098,1.70848482168318,0.279886621409443,0.771410850306192,-1.70066816740731,1.42885899528057,4.66241243236083,1.84227106437993,-0.488143435846514,-5.08221542285165,-0.738614755274717,-2.36380393400712,-0.655110438593408,-0.692731125402635,-0.281639187663716
