sample ID_ionization,population,M250T42_pos,M113T44_pos,M116T39_pos,M110T41_2_pos,M314T443_pos,M195T35_pos,M74T44_pos,M130T42_pos,M108T41_pos,M135T60_pos,M188T297_pos,M88T41_pos,M494T646_pos,M116T48_pos,M220T38_pos,M263T291_pos,M166T45_pos,M382T289_2_pos,M124T33_pos,M74T42_pos,M180T38_pos,M245T46_2_neg,M153T287_neg,M266T219_neg,M267T217_neg,M145T253_neg,M137T293_neg,M383T176_neg,M275T47_neg,M157T43_2_neg,M279T269_neg,M191T82_neg,M242T59_neg,M322T53_neg,M199T46_neg,M258T41_neg,M105T47_neg,M89T71_neg,M229T45_neg,M455T327_neg,M339T37_neg,M259T42_neg,M115T128_neg,M195T42_2_neg,M131T216_neg,M611T238_neg,M306T80_neg,M171T43_2_neg,M74T38_neg,M150T63_neg,M282T218_neg,M362T93_neg,M135T43_2_neg,M160T262_neg,M347T101_neg,M160T45_neg,M88T39_neg,M173T36_neg,M131T38_neg,M132T39_neg,M174T41_neg,M145T39_neg,M154T36_neg,M130T119_neg,M131T36_neg,M118T39_neg,M203T264_neg,M147T79_neg,M133T56_neg,M173T51_neg,M300T47_neg,M190T290_neg,M188T114_neg,M662T146_neg,M664T67_neg,M122T103_neg,M288T106_neg,M218T258_neg,M164T229_neg,M206T373_neg,M263T286_neg,M87T82_neg,M375T333_neg,M117T111_neg,M382T259_neg,M124T38_1_neg,M136T105_neg,M180T105_neg,M167T87_neg,M243T133_neg,M323T72_neg,M151T114_neg,M283T230_neg,M363T118_neg,M204T285_neg
59,Betta,15255.63,104557.51,577342.88,18242.73,10585.57,4143.09,424350.17,2897127.31,233120.26,116507.63,14809.11,277744.26,191430.63,668957.76,9969.46,93539.01,97951.87,13298.85,35006.96,403139.84,10758.23,82002.73,23607.83,21154.84,2704879.64,4644.75,3860.27,5584.92,18988.36,14926.53,9286.93,292491.97,36266.41,115640.75,25306.28,97174.05,10575.77,790375.62,56846.19,10073.5,19474.07,622478.4,4390.24,50907.78,11773.12,7784.84,16196.99,475597.69,48215.41,1313926.24,256282.19,1064858.49,34854.09,87408.57,2849391.34,26282.36,53256.75,152618.53,24439.26,54764.31,19434.53,100627.72,181868.05,28334.5,81068.2,24336.18,1368338.8,15827.93,705386.91,35884.61,120984.98,6302.39,5398.52,113015.48,13035.36,15727.89,20252.79,721155.99,105503.79,2336.24,6935.61,41861.86,32531.36,209340.47,69019.66,3038448.77,4075.24,1047569,21231.11,416832.81,539318.17,469608.44,176095.61,489726.49,232694.68
63,Betta,14174.64,76574.78,416061.42,56599.25,9952.53,8109.08,492050.08,1860253.79,138641.93,163547.13,83577.65,147401.82,100160.72,1129029.15,6228.55,147313.99,118208.89,13620.51,45861.79,302316.46,10423.12,41132.1,32870.28,24747.3,2202904.67,4437.16,3374.7,11472.19,13333.68,15430.93,7372.31,643997.94,10696.43,95696.25,18994.21,46095.96,10200.91,1158166.21,73196.52,18065.81,2092.81,261945,6051.52,101704.52,14375.52,6705.72,2275.93,340975.79,39258.8,1495048.46,405554.94,1279235.71,18748.65,160479.83,2687367.29,20244.41,44632.9,58610.34,14790.81,36520.52,14512.31,60321.06,120218.55,43214,39663.75,21507.05,2809278.7,16394.78,711401.8,11234.74,78254.1,12433.39,18440.42,171374.91,17299.98,11032.18,20728.82,877487.76,162172.63,5953.38,4596.27,196164.81,52581.64,267177.66,188326.67,1667138.54,3512.32,834546.38,41142.76,931334.69,182141.59,411599.02,343281.6,1134098.56,1009161.56
69,Betta,9959.58,6288.73,660563.34,16895.47,16910.32,9343.91,307365.92,2793855.46,159291.1,164529.93,41994.95,184813.05,50723.84,919585.7,15042.99,82996.86,73362.17,24362.87,74053.97,377447.16,17769.49,66205.39,74554.4,35671.48,2275206.04,1007.85,11711.9,13849.09,11223.93,12212.57,7522.75,487162.4,19464.35,92320.75,18233.9,57965.04,9445.23,1250664.16,58857.87,12406.86,4506.17,138190.2,3733.41,40537.14,18024.29,2589.54,7732.38,252153.74,50696.49,1584964.46,238654.04,831079.02,30689.58,147727.72,1758293.18,23022.81,58968.07,106961.7,11649.52,46545.68,1547.87,45494.97,108644.98,26932.05,58451.41,19886.05,2146547.65,12394.91,694489.45,1930.71,128501.01,3236.06,10501.22,230630.42,13492.29,28850.53,30090.62,1208798.6,113389.86,2547.75,2210.3,130119.59,37089.49,272904.6,88719.02,2384810.67,3370.8,1067981.52,31846.22,603694.46,204027.16,75543.44,240309.75,919778.71,457999.57
78,Otavi,10936.97,102921.8,362891.82,35140.85,8699.29,9370.82,217642.6,2248346.21,123835.62,123977.3,48292.5,97491.5,87265.31,1000607.92,6716.52,87963.22,49155.66,12583.3,34393.01,198927.37,7351.91,30420.18,49624.31,20889.3,4170968.65,5646.98,6162.65,10610.79,12845.93,8448.69,14944.08,685831.83,14051.07,49283,14329.6,27520.78,17906.36,1113908.65,193807.17,15274.97,2558.72,146864.56,5310.72,386972.01,11228.93,11299.44,4405.81,107140.26,38432.6,1327125.21,287911.74,1107223.11,22324.95,86557.51,1365939.34,16856.85,23900.98,55127.83,17740.26,14197.42,19048.16,75394.9,116633.26,38188.1,35284.01,17187.18,3148109.94,32154.18,866379.26,29995.79,114494.98,13485.27,15542.32,26315.08,12527.48,10577.59,16413.02,855475.86,124305.74,4007.22,6285.89,120770.98,37566.68,182104.26,89145.36,1988361.9,3625.69,893381.59,48546.95,952440.67,127040.5,314365.51,337126.46,656626.43,678836.58
84,Otavi,6886.64,28523.73,690651.82,13112.41,7386.2,3081.63,114452.3,2823346.84,120453.39,135010,20445.52,103541.13,230580.13,711625.3,12423.91,91772.73,9448.75,15543.69,68349.24,232611.99,16056.85,66503.4,34583.97,5878.23,4176197.3,1728.2,1693.93,7407.45,23163.3,1719.28,6879.88,666449.53,15489.43,183315.36,28915.91,33031.63,22472.54,1811856.35,160825.81,13311.36,1764.14,185217.75,4466.52,44732.81,8122.21,6987.05,15014.29,190352.28,24644.47,955286.88,222595,1573902.01,20125.28,50923.7,2759918.35,15777.98,18825.97,81771.28,12078.65,8522.27,2579.48,41382.41,124434.79,23808.65,49784.67,9255.66,1983214.25,34080.21,585669.36,15456.22,66329.89,15168.8,8332.68,32349.32,6687.31,21153.41,23505.66,1145866.07,125591.21,2479.53,5943.91,133676.85,33665.54,253029.26,162422.2,2124025.26,2982.22,687464.12,70490.6,744539.69,456669.87,128382.39,376642.07,1086610.64,278469.73
88,Otavi,8003.99,83794.26,371307.34,27813.19,4151.04,10081.42,62680,1933457.23,131068.74,123651.72,39413.29,109158.05,257914.49,956629.17,4987.2,170268.22,12268.43,3716.92,29125.72,199546.35,6395.42,51113.91,39048.05,3514.93,3274423.66,1153.46,6523.36,9489.51,10386.72,10203.16,39891.76,1088234.37,15033.58,106934.98,16872.78,43712.71,37764.59,1254113.75,131540.67,17432.43,1468.96,108822.91,11131.42,308922.29,7559.25,13056.18,9276.91,136625.81,30357.97,1113812.79,331097.34,651891.15,20975.71,48159.86,920574.55,17255.71,24833.15,59276.96,13278.52,17853.93,14216.25,55373.33,139860.79,35170.57,38214.03,10928.41,3076272.03,36905.22,794110.99,27234.68,76854.77,16124.63,13706.08,17282.67,11381,9152.02,10540.29,627319.67,121464.65,4848.86,38177.71,186040.09,54956.06,200592.55,144301.44,2004043.17,3604.28,852235.96,28647.51,1001243.21,468068.64,128360.45,445382.87,367891.03,520354.28
94,Otavi,15538.83,26295.83,566606.42,16231.58,10105.22,5807.09,217909.71,2460475.52,288479.72,157987.1,12301.38,193121.34,170044.58,821893.28,16975.55,90543.74,16087.04,13264.2,67332.72,393774.57,20049.97,99873.63,39729.16,3204.03,3908317.42,2908.41,5960.68,4989.42,24040.3,4856.95,7738.4,303879.35,29044.05,109285.22,30279.67,78145.15,27278.29,1186792.04,82782.55,12601.69,16305.5,349606.68,3072.27,76041.32,9488.51,5116.72,11692.6,198326.76,45380.96,1509606.49,333110.58,647610.15,28831.8,93265.24,963956.21,28722.82,26841.98,177260.78,21767.14,20782.6,4527.49,52327.15,139726.8,18583.89,87125.63,25581.23,2116912.63,22513.23,513031.99,13626.31,138895.18,6662.15,3669.52,38060.49,5470.82,23934.58,10793.96,769817.48,83929.94,1747.76,5248.81,36611.82,19528.48,188198.59,100276.71,3247379.41,3782.84,1089199.11,80042.43,546769.53,335207.87,119273.95,302799.35,496625.53,165759.09
98,Otavi,8910.78,134415.31,334633.45,24019.1,11024.92,5384.9,116063.58,2552118.19,113065.76,117204.03,48348.44,129316.94,26278.84,1145531.75,3876.92,208771.93,12216.22,5417.04,31406.31,203699.76,5579.74,21349.72,44368.61,32071.68,1681586.76,1735.59,3726.07,10585.87,10493.73,5138.72,36234.36,591377.77,10071.2,81963.4,6734.38,34529.19,19551.45,1365417.97,44818.87,11112.74,1653.8,166627.43,8036.34,79853.16,10149.04,11704.46,6463.87,199083,33478.41,1188697.64,366515.36,1365150.49,36090.6,64309.16,1831960.83,22123.41,46653.21,40484.05,15884.17,40571.52,31176.91,95317.7,69483.81,46042.81,73399.13,7629.57,2817800.55,15152.45,646790.18,78852.97,49250.77,12475.18,7601.03,127251.82,11719.58,6956.98,14546.51,1082964.47,154571.55,4876.46,20716.63,205739.37,53764.94,146491.7,37650.41,1769592.84,1958.29,760912.82,13037.3,407753.88,178225.62,95775.38,285528.05,1000756.89,635837.86
104,Otavi,6314.64,28974.66,735237.91,10582.51,16330.35,4955.76,178196.68,2265738.97,149542.51,166637.22,22936.17,163807.83,62525.83,577685.42,13731.35,140470.78,28513.48,11478.77,62116.49,200132.27,16954.8,46314.77,38773.03,22927.57,2068744.65,2274.54,1151.2,8143.34,9146.71,5363.88,10468.18,396634.84,19736.05,180418.33,1824.32,52209.97,16766.42,1378353.07,66614.82,10913.4,3223.12,332436.51,6227.22,39998.57,9054.63,3942.62,28753.75,298767.24,25295.01,1154741.8,241617.96,1468696.58,43107.93,60610.79,2885331.17,23231.32,43531.81,115561.07,9397.71,33809.45,2235.47,31585.18,30011.11,27483.32,64385.72,5712.34,979165.66,11315.81,679954.66,23447.29,81682.03,8560.4,7563.28,220977.55,14536.89,19793.79,23959.52,1066391.23,93279.49,1564.89,13104.22,110336.29,24512.14,274730.27,61010.92,2545515.2,3074.55,599156.88,16084.36,485135.35,356948.8,51154.38,225520.47,1227723.43,304798.15
113,Otavi,6347.64,196349.57,379546.41,15550.3,5376.01,2897.58,97996.41,2059262.22,101201.19,116712.51,19475.67,130160.35,64816.06,1059934.67,4435.91,377408.3,24257.26,5900.77,30368.84,200675.24,5084.91,33393.17,44933.55,20187.55,1614242.1,1858.89,3483.99,9227.32,9751.75,6653.51,39868.93,869559.29,8782.25,74085.51,13359.22,23592.73,19264.49,1096099.39,38911.59,16223.69,1337.4,147392.65,12416.3,87348.64,9967.4,6492.05,7694.94,183974.41,28472.65,1040342.15,309633.08,1278572.31,28227.12,47410.15,1741851.2,24482.01,46705.83,42318.37,17433.97,42762.63,46083.71,64949.14,96061.39,52119.06,91590.73,7869.68,2456208.15,16116.31,620700.24,111539.21,65539.67,14894.56,13046.61,135041.93,17684.51,9512.43,24250.99,1039921.78,177861.38,8262.81,32464.04,279846.46,43395.7,147704.65,52097.68,1557662.81,2960.74,838941.56,5640.44,607643.48,275118.25,190917.33,316945.95,1109853.66,269027.96
