sample ID_ionization,population,M250T42_pos,M113T44_pos,M116T39_pos,M110T41_2_pos,M314T443_pos,M195T35_pos,M74T44_pos,M130T42_pos,M108T41_pos,M135T60_pos,M188T297_pos,M88T41_pos,M494T646_pos,M116T48_pos,M220T38_pos,M263T291_pos,M166T45_pos,M382T289_2_pos,M124T33_pos,M74T42_pos,M180T38_pos,M245T46_2_neg,M153T287_neg,M266T219_neg,M267T217_neg,M145T253_neg,M137T293_neg,M383T176_neg,M275T47_neg,M157T43_2_neg,M279T269_neg,M191T82_neg,M242T59_neg,M322T53_neg,M199T46_neg,M258T41_neg,M105T47_neg,M89T71_neg,M229T45_neg,M455T327_neg,M339T37_neg,M259T42_neg,M115T128_neg,M195T42_2_neg,M131T216_neg,M611T238_neg,M306T80_neg,M171T43_2_neg,M74T38_neg,M150T63_neg,M282T218_neg,M362T93_neg,M135T43_2_neg,M160T262_neg,M347T101_neg,M160T45_neg,M88T39_neg,M173T36_neg,M131T38_neg,M132T39_neg,M174T41_neg,M145T39_neg,M154T36_neg,M130T119_neg,M131T36_neg,M118T39_neg,M203T264_neg,M147T79_neg,M133T56_neg,M173T51_neg,M300T47_neg,M190T290_neg,M188T114_neg,M662T146_neg,M664T67_neg,M122T103_neg,M288T106_neg,M218T258_neg,M164T229_neg,M206T373_neg,M263T286_neg,M87T82_neg,M375T333_neg,M117T111_neg,M382T259_neg,M124T38_1_neg,M136T105_neg,M180T105_neg,M167T87_neg,M243T133_neg,M323T72_neg,M151T114_neg,M283T230_neg,M363T118_neg,M204T285_neg
71,Otavi,13820.5,52885.24,347460.37,22923.43,5255.7,5520.96,258194.15,1819418.37,131999.71,112303.37,38285.36,112313.38,118814.17,930127.56,8967.3,118775.35,35153.37,13155.63,39979.45,182807.99,7300.87,25939.93,548216.29,11993.06,3853969.21,17062.19,14695.62,7581.35,52262.8,5453.51,35847.61,675461.6,9434.03,5975.9,11138.87,24872.49,11726.3,343507.42,149532.87,15185.82,2127.07,295595.5,10026.95,736943.8,11377.95,3022.07,8803.59,123220.72,33128.51,1311585.33,225180.64,1069035.15,11984.99,38346.28,3085587.09,2604.15,29612.67,59948.92,15896.74,19409.46,6850.37,61962.98,81397.82,30767.65,36201.33,10526.65,2744748.65,11601.01,485272.96,23332.91,108958.48,20922.89,6608.55,13491.44,97433.63,8466.88,8143.72,744266.97,62081.86,1616.78,7375.78,109706.28,31901.77,122889.31,69040.54,1965323.71,3112.02,569898.09,56786.37,656823.9,38883.72,339550.88,46584.43,146593,532283.06
74,Otavi,8555.82,31647.71,724817.83,14642.74,9650.04,2425.55,248459.18,3277048.88,147715.42,97750.81,12534.36,312655.29,261972.23,1237302.46,14799.7,231543.96,17804.91,15681.16,46826.31,551650.53,17806.31,40677.1,606463.47,5064.22,4149217.47,2486.98,9738.08,9758.16,44728.94,3323.44,20648.19,783503.09,12320.25,9866.8,15520.31,15574.25,9512.91,506415.83,56857.61,15005.23,1478.8,302620.95,14293.66,41363.46,10089.65,5284,11987.82,49974.71,81585.62,959392.06,206841.98,942721.85,16329.93,48643.98,3003646.58,2133.72,70323.26,108267.33,28786.5,48598.08,1904.73,89612.18,159309.71,88804.96,64244.93,25908.85,1319281.81,16235.14,712073.24,19785.02,128762.54,37197.31,13988.81,14048.06,124261.64,16889.89,23989.69,813573.25,127128.61,2364.88,6468.66,137364.35,30225.08,111384.56,83992.25,2234161.06,6577.01,1415228.51,27619.88,832078.96,27948.45,31004.91,23765.91,129920,214235.39
77,Otavi,11547.97,124130.82,446174.45,36320.36,6030.03,1815.44,301665.03,2843182.51,98121.33,97588.71,30321.02,120997.74,123159.26,1423877,5912.46,220248.46,69494.06,8161.15,28839.76,201796,7676.02,34210.51,540177.03,7171.51,3424590.96,2794.6,6433.96,9046.36,31817.47,5920.46,32556.6,608970.52,10593.47,2849.05,17285.4,29328.33,17451.93,451151.29,133165.88,18250.94,1192.38,248078.72,17046.53,1027572.82,16623.14,5916.49,13459.53,81533.86,42948.43,915398.55,234327.06,777808.06,23729.28,25499.6,1970743.08,2897.29,35034.83,62459.49,19713.98,22859.7,20008.18,126097.17,149503.91,54662.11,43410.3,10347.21,2856546.66,14430.21,619632.93,36300.67,92807.98,33445.94,14178.55,7949.06,62586.74,8083.1,13225.62,724540.26,110681.97,3799.69,16274.45,114988.87,46200.66,158478.02,82865.59,1851516.05,2949.72,532870.65,97540.76,787396.46,45837.29,267405.88,109308.95,119364.85,421214.89
83,Otavi,6758.03,65683.95,799938.56,13911.31,8259.79,2708.37,389447.4,2358232.54,119107.54,119326.51,26677.53,163399.15,281161.86,1415667.82,14474.92,135798.35,141033.39,7494.67,57103.37,371728.57,16488,75827.55,465602.74,4533.76,3494066.15,2913.74,7251.55,3657.75,24130.62,9282.34,6729.19,486538.41,12594.64,10155.64,14546.37,43452.04,14704.15,755679.76,86380.02,9080.48,1524,260504.79,16242.17,34052.94,11565.5,5014.44,24901.15,71775.47,58666.54,1115353.17,253472.79,1321133.75,22086.15,59082.2,2549300.81,5112.4,55813.16,87053.69,21968.92,35476.88,8926.27,59399.16,120879.16,63744.71,54326.35,15314.78,1122793.76,15244.43,789324.37,21968.26,73216.68,18291.64,27934.48,22161.6,125385.4,17913.25,30468.67,1000751.49,104472.31,3422.35,6698.99,90402.35,25027.6,140023.49,151188.27,1921793.3,2907.98,862012.91,514239.61,1024802.04,25325.42,169130.77,60371.92,231959.37,374785.48
87,Otavi,16519.11,62465.17,470027.35,32762.16,3351.54,3325.27,224161.3,1573554.36,133131.97,105211.71,40541.05,113153.34,194307.08,1141671.62,6116.6,230502.79,51446.45,11959.18,32051.9,190323.77,8536.5,45103.83,641447.6,7751.17,3508821.44,3656.37,11055.36,9475.09,65862.01,7513.47,14617.5,664768.17,10225.52,4642.7,20811.22,37520.17,33784.78,441850.94,121925.08,16627.94,1669.31,281681.89,12643.84,80033.79,13854.47,5141.99,12697.75,94564.85,36284.72,989601.7,220422.52,611879.46,16656.08,45211.77,2349907.76,4217.85,26463.32,86456.02,15935.71,19191.72,10883.14,51856.31,116986.03,46744.35,50610.76,12671.13,2418084.7,12393.65,531277.04,32899.01,74284.45,29161.89,5823.55,19372.33,107365.98,6302.07,9345,655666.13,83512.59,2487.9,10824.44,111489.64,45414.13,134562.68,133904.36,2189865.1,3088.78,678329.34,34103.88,1031820.85,29998.46,205215.1,86960.29,158098.45,511618.83
93,Otavi,5045.31,33775.02,665809.15,11461.45,4668.21,3127.74,145247.09,2142611.89,118139.51,132543.4,17268.58,156879.86,126338.22,1447724.79,9890.2,178559.2,13954.68,13815.28,36995.16,318424.94,13630.51,70213.7,712897.25,7291.7,2877590.33,1681.97,8695.77,4376.17,46551.57,4258.92,5746.64,936839.25,13441.84,6362.37,11666.36,36878.92,24858.63,598842.08,36816.91,14615.89,1732.53,296092.69,16681.39,39060.57,10389.18,5558.59,17442.53,54761.11,64220.48,1165068.5,178337.07,677604.61,15089.1,40933.96,1604666.97,3356,45734.3,91691.27,22299.54,25263.49,3243.08,63751.11,68360.11,70267.87,52341.74,17043.98,1220979.53,13927.17,692062.49,20886.69,91371.01,33565.62,10245.08,14434.92,137186.82,16496.24,12973.15,957702.49,105565.62,1625.49,7777.06,164289.32,25486.49,118915.93,89690.21,2274896.65,5051.43,1078422.16,59753.59,829274.15,14866.55,46225.64,51137.2,130889.34,216866.23
97,Otavi,10702.07,157659.09,415348.75,7327.36,8006.31,2604.11,345507.26,1280445.69,142896.13,113899.8,30850.4,123670.45,35268.27,409342.89,5241.99,205689.58,135590.58,7288.15,38219.44,97600.62,7189.46,50529.66,113828.28,11914.11,2976883.67,2361.93,5777.31,9285.56,46928.42,9228.52,42897.38,627845.42,22281.04,24847.82,30102.23,37837.36,6849.97,239219.62,64393.72,13168.82,4158.98,692193.29,14311.56,62976.49,5777.36,2301.51,16136.79,484297.21,22692.3,926198.77,276259.61,1056266.59,28978.95,52650.05,4215486.21,4965.01,44007.11,88869.98,12468.02,34535.72,26242.78,43617.96,130584.93,22616.85,52840,7574.28,2294799.92,13259.41,378861.65,132228.27,57302.72,18924.52,8373.84,96977.5,141151.67,9399.75,11600.12,690317.21,75155.45,3021.43,28943.73,123136.71,36985.86,93475.21,56849.48,2256790.27,2368.54,326856.37,17752.92,609206.79,292080.2,225691.58,38139.78,140468.42,420387.1
103,Otavi,5536.06,11917.71,479424.39,1042.97,4473.36,1562.7,248445.19,1216620.23,109339.28,111807.69,19988.29,142434.96,286825.11,333278.32,5988.52,350402.7,61566.16,7723.4,48980.26,140759.37,8123.52,28728.24,88712.17,41893.52,790833.06,2117.53,3803.67,3027.19,39199.89,4801.01,39097.63,653225.13,9580.7,22410.95,18903.2,15129.18,7030.79,396442.06,44533.67,13865.42,1237.79,421346.99,18006.37,19166.89,6475.56,2805.91,115967.61,137045.59,16503.07,937877.44,243743.48,1025178.92,17816.08,30935.44,2979392.94,5277.45,46793.37,56039.55,8391.88,39040.65,2615.49,24284.24,103136.77,26570.3,35695.41,3747.1,1196889.1,12273.7,408745.33,24544.11,58371.25,20350.39,24344.16,238718.11,143979.11,15080.88,25314.51,1050393.59,58630.9,1717.05,29625.81,206455.15,19852.42,94489.49,76368.67,1880795.32,2258.43,319710.19,7080.54,997929.83,248640.88,38985.61,73449.21,251270.81,292810.07
106,Otavi,7874.89,121331.71,444060.17,28190.43,6863.71,2837.08,290804.04,3020175.26,99621.46,108996.47,36138.15,103678.38,50929.51,1133514.72,5018.77,436960.13,68501.31,13472.73,30114.24,224643.91,6589.84,34560.9,491926.09,5354.1,3809227.49,2033.5,6909.93,10930.28,32427.73,8959.74,41918.47,428034.27,11381.74,5381.6,18050.53,47253.23,16467.78,465167.93,150721.25,24259.16,1469.18,243812.27,18506.77,45002.13,12769.92,3120.07,16717.76,107693.36,41313.87,1089895.4,266721.13,1063992.92,21463.71,60882.07,2511541.05,3042.23,36484.37,49735.09,20595.22,25784.75,17444.01,120670.21,89693.2,57123.57,34733.5,11498.5,1979751.28,12773.82,559721.39,99975.95,82740.43,34783.77,20977.9,23559.32,98239.61,9594.24,8090.39,744232.98,101302.03,3283.63,21263.59,86614.18,40737.97,142171.58,156991.29,1983172.99,2100.54,606875.72,134047.2,829094.47,58283.18,137096.14,43047.65,167676.95,528339.99
109,Otavi,6123.95,87592.58,825865.64,12117.77,9664.52,2211.6,418454.79,2426792.35,122450.11,122980.44,26342.44,198428.18,185496.68,1694010.26,11106.01,269002.07,105075.83,11717.79,40733.02,397314.84,14780.41,43704.25,562832.14,4510.31,3406460.67,812.02,8675.29,6906.1,33321.61,6666.21,4070.59,543486.74,7723.39,6668.75,16908.59,12510.28,10738.58,599156.27,55926.65,11460.53,1639.89,186369.46,16867.16,24641.31,10399.35,1880.11,31279.13,54057.77,59367.67,723450.27,201048.05,1275793.27,15191.9,50400.3,2180445.69,4585.29,72038.58,73876.36,25151.8,46580.27,16140.47,79712.58,85788.41,97169.55,50014.21,13728.04,1069794.52,11716.43,531196.9,26497.07,122405.97,45312.78,32428.45,13373.27,120715.05,17017.7,29016.14,915655.61,124112.36,1455.56,4534.35,114175.47,21514.61,136301.82,122097.64,2204808.05,4752.43,1265946.81,583052.05,1100091.83,20183.92,130103.73,23329.15,104638.55,339021.28
