"","Population","Colony","Temp","nochim","run","comment"
"a0471","Karasburg","K163b","19",25633,72,"ok"
"a0478b","Karasburg","K163b","29",10984,72,"ok"
"a0685","Betta","B109","19",19418,72,"ok"
"a0687","Betta","B109","19",25954,72,"ok"
"a0695","Betta","B109","29",19708,72,"ok"
"a0696","Betta","B109","29",20533,72,"ok"
"a0730","Karasburg","K162","19",21617,72,"ok"
"a0731","Karasburg","K162","19",19060,72,"ok"
"a0739","Karasburg","K162","29",12959,72,"ok"
"a0740","Karasburg","K162","29",6455,72,"ok"
"a0741","Karasburg","K162","29",14558,72,"ok"
"a0746","Stampriet","S069","19",26722,72,"ok"
"a0747","Stampriet","S069","19",18718,72,"ok"
"a0755","Stampriet","S069","29",21024,72,"ok"
"a0756","Stampriet","S069","29",20016,72,"ok"
"a0776","Stampriet","S096","19",16477,72,"ok"
"a0777","Stampriet","S096","19",21284,72,"ok"
"a0785","Stampriet","S096","29",26972,72,"ok"
"a0786","Stampriet","S096","29",24134,72,"ok"
"a0836","Stampriet","S071","19",24134,72,"ok"
"a0837","Stampriet","S071","19",28040,72,"ok"
"a0845","Stampriet","S071","29",19216,72,"ok"
"a0846","Stampriet","S071","29",20729,72,"ok"
"a0880","Karasburg","K149","19",23157,72,"ok"
"a0881","Karasburg","K149","19",21189,72,"ok"
"a0891","Karasburg","K149","29",15193,72,"ok"
"a0911","Otavi","T039","19",27119,72,"ok"
"a0912","Otavi","T039","19",27801,72,"ok"
"a0920","Otavi","T039","29",23535,72,"ok"
"a0940","Karasburg","K146b","19",22322,72,"ok"
"a0941","Karasburg","K146b","19",24707,72,"ok"
"a0950","Karasburg","K146b","29",23882,72,"ok"
"a0951","Karasburg","K146b","29",21380,72,"ok"
"a1001","Stampriet","S069b4","19",22189,72,"ok"
"a1002","Stampriet","S069b4","19",29478,72,"ok"
"a1010","Stampriet","S069b4","29",30818,72,"ok"
"a1011","Stampriet","S069b4","29",22576,72,"ok"
"a1061","Stampriet","S095","19",23932,72,"ok"
"a1062","Stampriet","S095","19",24486,72,"ok"
"a1070","Stampriet","S095","29",25879,72,"ok"
"a1071","Stampriet","S095","29",24748,72,"ok"
"a1075","Stampriet","S069b5","19",26927,72,"ok"
"a1076","Stampriet","S069b5","19",27774,72,"ok"
"a1084","Stampriet","S069b5","29",27560,72,"ok"
"a1086","Stampriet","S069b5","29",21776,72,"ok"
