"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112"
"1061",-7.4967,0.35003,-1.1602,2.9549,-1.8698,-2.2682,2.1622,3.9854,-0.028402,0.95746,0.48726,1.8751,0.74068,-0.066242,0.095448,-0.7848,0.52371,-0.043666,0.54386,-0.028453,-0.67723,-0.4413,0.34993,0.50099,-0.41019,-0.53185,-0.24526,0.022245,0.40627,-0.036654,-0.15749,0.029571,0.044479,-0.14862,-0.19578,-0.25317,0.07686,-0.036875,0.0039758,0.20429,0.23347,0.0045053,0.30002,0.027745,0.045907,-0.28766,-0.086905,0.103,-0.18586,0.062063,-0.087805,-0.066417,0.16684,-0.12697,-0.023066,0.20674,-0.097941,0.054229,0.13019,0.064387,-0.028761,0.054657,0.11902,-0.015426,-0.064939,0.025932,0.024609,0.069893,-0.00083136,-0.032274,0.0030518,-0.067952,-0.026736,0.070169,-0.047834,-0.00671,7.9356e-05,-0.022695,-0.090047,-0.02673,-0.0097868,-0.00362,0.0024664,-0.044881,-0.02432,0.002934,0.01586,0.021043,-0.046544,0.010054,-0.021503,-0.01636,0.021155,-0.015297,0.0063376,-0.035007,-0.023648,-0.025452,-0.021118,0.0023196,0.0047043,-0.017317,-0.021666,0.019084,0.0013845,-0.012035,-0.044049,0.030105,-0.017484,0.0026537,0.029,1.7486e-15
"1081",32.607,-5.4322,-1.4661,-4.1906,-0.29775,-0.13429,-3.3475,1.2052,4.704,-1.3354,-0.71415,0.8042,-1.2462,0.65384,0.30813,-2.3247,0.27798,-1.996,1.1815,-1.3402,1.6156,0.9348,-0.47796,-1.3001,-0.66109,-0.025018,-0.90248,0.14486,0.035566,-1.5292,0.50908,0.97787,0.46305,-0.50799,-0.23433,-0.43205,-0.077367,0.050838,0.017757,0.16108,-0.079039,-0.4355,-0.18386,0.035241,-0.18619,0.18984,0.1781,-0.050935,-0.094714,0.091508,-0.20544,-0.07461,-0.056427,-0.029214,-0.0024342,0.0069048,0.030826,0.000547,0.072846,0.02742,-0.050399,-0.0015618,-0.046138,-0.017046,-0.0049509,0.017233,-0.0085983,-0.023598,-0.022126,0.03218,-0.00039125,-0.015584,-0.021637,0.016918,0.0169,-0.0028459,0.0095984,0.0073542,-0.015415,-0.015901,-0.007106,-0.013819,0.0087947,0.00086009,0.0019959,0.0027156,0.0082564,-0.012353,0.0047529,0.001839,-0.012456,0.001093,0.0081222,0.0011807,0.0019227,-0.0053291,0.0001366,0.0061171,0.0037162,0.010054,-0.00062716,0.0047219,-0.0043729,-0.0035684,0.0023752,0.0055083,0.0018993,0.0029853,0.0028912,-0.0012473,0.00065725,1.9984e-15
"1161",-8.9997,-0.1027,-2.2948,2.9394,-0.84547,0.57479,1.3547,0.94659,1.7606,-0.79101,0.63818,-0.20557,-0.86749,1.0081,-0.73019,-0.22746,-1.584,-0.64764,-1.9399,0.42966,-0.73676,0.24373,-0.36667,0.35308,-0.79677,-0.68931,-0.059853,-0.30009,-0.073285,0.053833,0.15753,0.082422,-0.11937,-0.20213,-0.10852,-0.26942,0.15765,-0.055296,0.09341,0.057887,-0.68097,-0.0045938,0.19192,0.0084995,0.14101,-0.0044216,-0.086113,-0.24813,0.10454,0.28028,-0.025796,0.15785,0.098591,-0.12749,-0.12628,0.14341,0.10358,-0.0026379,-0.10473,0.023039,-0.021723,0.16049,-0.079611,0.057291,-0.034653,-0.14549,-0.0030162,-0.063951,0.068773,-0.044469,0.043861,0.01833,-0.025871,0.028439,0.044935,-0.047534,0.006436,0.011148,0.086003,-0.046621,-0.015127,-0.010623,-0.023366,0.055269,-0.03429,0.027458,0.0049785,-0.018233,0.0012213,-0.0055449,0.044417,0.015217,-0.016868,-0.057104,0.020141,-0.03543,-0.0020557,0.026666,0.0018272,-0.015393,-0.016498,-0.0027457,-0.002541,-0.017448,-0.0074526,-0.0093013,-0.011029,-0.0054999,-0.00082924,0.015704,0.00079643,-2.72e-15
"1271",-3.4654,-1.4713,0.79696,1.4387,2.5265,-1.763,-1.6603,0.58023,-0.59126,0.82086,1.4017,0.10337,0.87484,0.54216,0.40212,0.70321,0.59254,0.035287,-0.26708,-0.063045,-0.98363,-0.38386,-0.37441,-0.24151,-0.028032,-0.29797,0.0074632,0.14099,0.1553,0.22497,0.10146,0.20189,-0.17252,-0.18398,-0.37413,-0.28322,0.045437,-0.18892,-0.087111,-0.060844,-0.32298,0.066019,-0.0022392,0.075449,0.17923,0.010612,-0.052902,-0.18084,0.044699,0.13902,-0.053812,-0.076415,-0.10395,-0.059794,0.011049,0.069782,0.0097894,0.10911,0.016129,0.027222,-0.059211,-0.040736,0.11916,-0.061177,0.072774,0.017396,0.0012306,0.0014545,-0.10352,0.058399,-0.10059,-0.021726,-0.040494,0.058961,0.075352,-0.0051325,-0.04758,0.014403,-0.041733,0.018615,0.021222,0.037023,0.035522,0.019769,0.058381,-0.043849,0.042682,-0.030561,-0.065574,0.027077,-0.0096605,-0.0079208,-0.057393,0.0091552,-0.0032413,0.020252,0.03961,-0.021747,-0.028447,-0.051649,0.021979,-0.016688,0.033671,-0.034658,0.0057018,0.030503,0.010227,0.0064924,0.016539,-0.0033074,0.0027653,1.027e-15
"1351",39.894,-7.3006,-1.3866,2.7366,-3.8515,3.4437,4.6883,2.1812,1.0513,2.389,-1.6279,2.8093,0.091517,-1.2469,0.92992,-1.3529,-0.093515,-0.23299,0.26389,0.24284,-0.35209,1.4593,0.53552,0.40223,-0.71747,0.67078,0.33823,-1.0048,-0.68667,0.56623,-0.57398,-0.13556,-0.020526,0.048627,-0.0016958,0.47011,0.12202,0.49123,0.076735,-0.19222,-6.4967e-05,-0.047367,0.2008,-0.12202,0.22876,-0.02186,-0.093094,-0.10265,-0.27525,-0.013309,-0.12854,-0.19881,0.0050995,-0.064625,-0.051391,0.11134,-0.017721,-0.090388,-0.055638,-0.099061,0.047614,0.022265,-0.054554,-0.0050911,0.086996,0.18787,-0.068116,-0.072459,0.018937,0.02635,-0.027074,0.04859,-0.087228,0.020777,0.072984,0.0050422,-0.01788,-0.027121,-0.0084678,0.0078495,0.023175,-0.010806,-0.0083268,-0.0028224,0.041734,0.0088627,-0.011424,0.0066971,0.0098371,-0.02198,0.01321,-0.013998,-0.00014888,0.011076,0.012012,-0.013098,-0.0069748,0.00087112,-0.0012085,-0.0087886,-0.0047604,0.003723,0.00064588,-0.00032912,0.0034462,0.010403,0.0053968,-0.0015479,0.005687,0.0059134,-0.00088588,8.3267e-16
"1391",-7.2221,-0.49931,0.13215,3.3267,-0.12112,-2.7413,1.7513,2.7483,-0.46119,1.2299,0.84715,0.2226,-0.62946,-0.97441,-1.4649,-1.1543,1.4274,-1.2236,0.74755,0.042041,-0.87095,-0.35149,0.28591,-0.32874,0.14222,-0.61084,0.46132,-0.55883,0.26149,0.18588,-0.1468,0.093136,0.037782,-0.33284,0.35955,-0.11655,-0.23109,0.082902,0.21006,0.22236,0.13802,-0.028105,-0.13198,0.22163,-0.16578,-0.27603,-0.053629,0.18726,0.15858,-0.0074225,-0.10035,-0.011935,0.092542,0.0019276,-0.059344,-0.14195,0.10026,-0.02544,-0.061805,0.0086088,0.083736,0.092993,0.044707,0.039978,0.014773,-0.024429,0.10417,-0.048946,0.019985,0.069875,0.082937,-0.051204,-0.037734,0.061117,-0.011229,0.052291,-0.1067,-0.056121,-0.007994,0.04188,0.015818,-0.045082,-0.041969,-0.022011,0.0099042,-0.042999,-0.016915,0.014364,0.0076751,0.087969,-0.0074505,-0.016004,0.014505,0.010522,-0.024453,-0.022109,0.03588,0.037161,0.0027225,0.012006,-0.020984,0.0047565,-0.0094109,-0.014647,-0.013633,0.013832,0.020663,0.0026295,0.0031317,0.012256,-0.019271,-2.7756e-16
"1421",-8.0547,0.25129,-1.7529,-0.94703,1.2194,0.89901,2.3083,-1.5921,2.5807,-0.38436,1.1845,-0.2231,-0.59833,0.14427,0.72875,-0.88685,-0.21064,0.61746,-0.0087935,-1.464,-0.3727,-0.29639,0.074531,-0.48939,0.075646,0.33019,-0.046209,-0.68307,0.09949,0.27017,-0.39336,-0.18683,0.87363,0.19817,-0.6003,0.098717,0.31339,0.068884,0.020536,0.19788,-0.28735,-0.025747,0.047508,0.053092,0.11479,-0.25937,0.05093,-0.28599,0.24993,-0.010206,-0.094861,0.10225,0.0072278,0.13458,-0.19655,0.028032,-0.13296,-0.036559,0.047608,-0.042994,0.050018,-0.16909,0.07584,-0.051676,-0.0091788,-0.044605,0.16463,0.036758,0.0040447,-0.014022,0.0096202,0.01209,-0.020682,0.012179,-0.068746,0.053827,0.017948,-0.040833,0.0082794,0.055996,-0.070868,0.0029158,-0.023317,0.022044,0.0043333,0.019959,0.023179,-0.025002,0.042856,-0.060966,-0.023374,0.0040989,-0.023512,0.0314,0.0030594,0.030267,0.010082,0.0038555,0.022671,0.020898,0.0026263,-0.0084971,-0.015076,-0.0038418,-0.0095949,0.025295,0.0036491,0.0097377,-0.013996,0.011164,0.0074033,-2.6992e-15
"1451",-3.9938,0.12415,-0.28282,-2.6697,2.1387,-0.44114,1.1688,1.3649,-0.34963,-0.20929,0.28699,1.2223,0.24621,-0.031989,-0.0054482,-0.52678,-0.43206,0.43708,-0.44711,0.0068431,-0.20892,0.38645,-0.69452,0.53363,-0.64252,-0.99154,-0.053913,0.17858,-0.31953,-0.1408,-0.030029,-0.16457,-0.11445,-0.25142,-0.16887,0.22515,0.10784,0.26036,-0.085363,0.15198,0.042891,-0.044195,0.0079251,0.24805,-0.010047,0.25938,-0.12823,0.015928,-0.16793,0.11313,0.20803,-0.077663,-0.0067656,0.026276,-0.10527,-0.03118,-0.020827,0.074028,-0.074854,-0.048779,-0.00083388,-0.08426,-0.084081,0.0074352,0.17595,-0.035214,-0.031571,-0.033765,-0.0073232,0.023313,-0.095814,0.022954,0.014433,-0.00065178,-0.11099,0.037536,-0.03414,-0.015826,-0.005978,0.062078,0.0026231,0.0083169,-0.030752,0.011033,-0.013807,0.070718,0.062985,0.0021004,0.04807,0.037109,-0.051902,-0.021845,0.013226,-0.042188,-0.027307,0.018861,0.028493,-0.034203,0.0071346,0.03571,-0.0034547,-0.017949,0.028,-0.0068882,0.0087733,-0.024971,-0.021715,0.00075913,-0.0076692,-0.0088618,-0.019637,3.2682e-15
"1531",-7.7374,0.39734,-0.53505,2.8103,-0.11291,-2.5257,2.0778,1.145,-1.1215,-0.79063,-3.332,1.5872,-1.8947,-0.038829,0.71687,1.4719,-0.54848,-0.13939,0.48124,0.12779,0.17168,-1.3598,-0.60767,0.21294,-0.26321,0.63854,-0.29235,0.68844,0.02371,-0.13381,-0.012525,0.012269,0.027974,0.12562,-0.11086,-0.25011,-0.0043331,0.1466,0.067791,0.16092,0.31494,0.1504,0.21855,0.096292,0.16469,0.069658,0.1902,0.0032809,-0.014681,0.19542,-0.021338,-0.020991,0.12294,0.014537,0.16726,-0.035855,-0.058304,-0.13775,-0.085707,-0.18552,-0.12176,0.0013073,-0.051289,-0.089154,0.061924,-0.018566,-0.022802,-0.035377,0.023812,-0.032053,0.12931,-0.015098,-0.020074,-0.021044,-0.040952,-0.070906,0.025358,-0.032015,-0.05725,0.046506,0.0035479,0.081745,-0.053326,0.0010554,-0.034527,0.017952,-0.0094272,-0.033559,-0.013063,-0.015781,0.0075637,-0.022753,-0.0053634,0.021362,-0.020602,0.0026126,0.023576,0.010035,-0.0055236,0.00017147,0.022263,0.017697,-0.02056,-0.029997,0.023338,-0.010344,0.0089464,0.0090058,0.024211,0.023344,-0.00079794,-1.5821e-15
"1591",-4.7053,0.32547,-0.58263,-2.6747,1.2141,-1.2062,2.0566,0.92646,-0.65402,0.1204,1.1964,0.079859,-0.041412,-0.14166,-0.69905,-0.057939,1.1268,-0.62187,0.94241,0.25629,-0.53917,-0.72977,-0.034412,-1.13,0.42844,0.078918,-0.44775,-0.37492,0.32398,-0.019282,-0.063846,-0.18777,0.5493,0.25035,0.20741,0.3751,-0.11986,-0.17165,-0.011566,0.082416,-0.029871,-0.11803,0.14634,0.036581,-0.056462,0.13625,-0.24742,0.029293,0.0071999,0.15608,-0.044752,-0.21287,-0.084524,0.087102,0.039245,-0.05246,-0.12036,0.032431,0.0071552,-0.15379,0.10553,-0.030473,-0.14376,0.11868,0.02509,0.062027,0.01482,-0.019575,0.0019966,-0.0080601,0.051957,0.031741,0.017354,0.10761,0.023378,-0.098237,0.0092267,0.098271,0.12993,0.0092123,-0.0012551,0.024185,-0.019738,0.011639,-0.03933,0.0032053,-0.041531,0.049918,-0.058357,0.019638,-0.046577,0.0012684,-0.026139,0.012979,0.037273,0.035802,0.0074919,0.012731,-0.0022921,-0.0011632,0.0034991,0.0053283,0.0070186,-0.010199,-0.0044201,-0.015096,-0.022157,-0.0066248,-0.0073711,-0.011604,0.011802,4.8989e-15
