"","X0.861721","X0.881761","X0.901801","X0.921841","X0.941881","X0.961921","X1.002","X1.02204","X1.04208","X1.08216","X1.22244","X1.24248","X1.26252","X1.28256","X1.3026","X1.32264","X1.36272","X1.38276","X1.4028","X1.42284","X1.44288","X1.46292","X1.48296","X1.503","X1.62324","X1.68336","X1.7034","X1.98396","X2.004","X2.02404","X2.04408","X2.08416","X2.1042","X2.12424","X2.14428","X2.3046","X2.32464","X2.34468","X2.36472","X2.38476","X2.4048","X2.48496","X2.505","X2.76552","X2.78556","X2.82564","X2.84568","X3.18636","X3.34668","X3.66732","X3.78756","X4.12824","X4.14828","X4.28856","X4.3086","X4.4088","X5.19037","X5.25049","X5.27053","X5.33065","X5.35069","X5.37073","X5.39077","X5.41081"
"191",0.666173685172665,-3.05355247958028,-2.20540416103314,-1.80140413414459,-1.79103033992314,-1.25197793856301,-1.23270342686013,-1.08919656685506,-0.87060906202481,-0.722555024996532,0.133465097252612,1.92264386857647,2.24621645426469,3.0793487990453,1.61344306308754,1.43088523938228,-1.16694084232389,-1.09938322294152,-1.01340145160815,-1.20024808086591,-1.18454572984614,-1.29003693721998,-1.54254586849118,-2.91872094783373,1.15158283017249,-0.0542298722792744,-0.545005559769637,0.528413524421506,1.81142573891813,1.70750578157226,2.56519249304126,1.21433937607214,0.615286039902179,0.301974063019023,0.301974063019023,1.8596337165304,0.0331229742089753,1.80840697015755,1.34233608990874,0.989915162494322,0.67428490636675,0.407468917849341,0.356189005033635,1.2392567535603,0.372885535963924,0.559257303547096,0.7697697087399,0.213003024115618,-0.599842956462394,0.925860316484358,-0.257054826247119,-0.578719761194986,0.526383045952977,0.183428909959936,0.840019810243114,-0.0933155729343758,-0.413364732493462,-0.289671072813866,0.406140943122029,0.369682839319749,1.47700080956933,1.5479973397312,1.4402941509201,0.83966732492406
"221",0.434114076824774,-4.01356742092092,-2.74849049364041,-2.22573843354181,-2.17304120448701,-1.95680203337198,-1.70767855742418,-1.6575785377346,-1.89627791791544,-1.62840641420849,1.99128355876924,3.82890841484253,4.91870253794019,4.49938195753925,2.80727769623363,-0.169081209476584,-1.94599316599155,-1.83301354659739,-1.85638851911287,-1.97524782582199,-1.94476893805875,-2.04920701813083,-2.34780870249166,-3.37617893432439,-0.325718079804774,-0.253175505226832,-0.707096343617675,2.36698308292218,1.62880909363369,1.67198753667799,1.5929238705409,0.616596340698073,0.135049964207657,-0.391669436967701,-0.391669436967701,2.96084377678824,5.15677084096457,-0.552573318628382,-0.829423278189348,0.285869577892699,0.210425753533616,-0.265430281540991,-0.247581227996845,1.14205654705154,-0.488355181170232,-0.662486455200964,-0.517035366209082,-0.587295325873625,2.35859440450475,2.35413510832101,1.51333553603874,-0.0109568429879132,1.3198072645196,0.801872663838205,0.683283065430955,0.119994192507943,-0.185715517478995,0.216682345265328,0.555975414096325,1.46777039720166,2.14277223825606,1.24613680936745,0.931054601453758,0.23031996696075
"281",0.0404193585735376,-2.58384440322278,-1.90392650833385,-1.67068826433897,-1.59465382509173,-1.40020915781472,-1.35118763526542,-1.34743152849866,-1.53072311483467,-1.53655127982362,2.28230078340611,1.85758084889799,4.13417430719762,2.97629218667028,0.538444978284364,-1.43133796246423,-1.0943371225616,-1.12695067197189,-1.22808972276435,-1.28680046960163,-1.34332652170842,-1.53151240058835,-1.91295719927498,-3.20736838548142,-1.7653317115634,-0.111401742367604,-0.684560125307516,1.16060094662673,0.463428662112457,1.42376656826466,1.01065087658762,1.10065936499342,0.594740049617502,-0.0709965833705881,-0.0709965833705881,3.59344856228731,3.39673332453645,-2.29847040936101,-1.05660058004889,0.322229075575136,0.324318712224954,-0.00306659049262757,0.258058514097968,1.01674322043047,-0.375373712309746,-0.18908879578543,-0.0475442875247274,-0.144946580016785,1.11413517586035,2.05397455205996,1.07692916006591,0.695326092978852,1.78369742949208,1.39626895974261,0.995706798260592,0.6948620481307,-0.269379003491131,0.417437874298062,0.704290754133288,0.964527211831509,0.852215110431356,0.988198031012931,0.841073789701707,0.378997358257499
"321",0.725883265494757,-2.65045524291935,-1.98355556847921,-1.74191011207168,-1.54685329297306,-1.47606411747218,-1.45552379764993,-1.28713571305905,-1.28555564889875,-1.48222170327082,1.06025375345329,1.49903995356615,1.93213334274072,3.46227916513726,1.67436364498237,2.41822018592243,-0.936789229799615,-0.985917295830989,-1.1196479284258,-1.29515035902223,-1.34870248540756,-1.55281948659771,-1.94471126776076,-3.22712875991162,1.60322068204283,0.226805752036256,0.217484483078434,0.84547782261009,0.976483821335294,2.1586205592109,2.03302643869088,0.90090777394737,0.738167108340858,0.666167370555267,0.666167370555267,1.64231321432539,0.0708579433299933,2.63520191218091,0.467757171728597,0.0328153557094941,0.1426333076147,0.0692388508765826,0.223306056249838,1.55317364873217,0.130642701381834,0.205945819877876,0.343294846290408,0.0179053626923558,0.358320436691502,0.43213703241355,0.164428511192878,0.00943886763678396,0.749960268631397,0.58074095769193,0.643703316175603,0.209182425406998,-0.512663730915836,-0.0566065929242429,0.182370545070858,0.433582538060995,1.28759017711718,1.54872496896695,1.53406896122954,0.888042700946411
"411",0.434919316059462,-1.08202625635784,-1.24284350473956,-1.26057059313885,-1.33852481546211,-0.707102321587224,-0.588159402010836,-0.612540465349861,-0.271456752626648,-0.733346270811296,0.345972979575529,1.03375696812159,-0.0199030901123237,1.68466709739176,1.57503351583145,3.01918837947736,-0.790493217727748,-0.813926902232562,-0.80422704768919,-0.960459337674513,-1.12632781973089,-1.36715416396099,-1.69469980876744,-3.15329795110122,2.90658633224004,0.835077627833687,0.825162610064323,-0.0890296055254925,0.429298612649434,1.40254484172538,1.43399186705442,0.546407464426062,0.743414288943149,0.870325593512323,0.870325593512323,-0.179104515471117,-0.105764901884905,4.03398068535527,0.648573145531388,-0.230553349767419,-0.03636671991511,0.226467852144322,0.243442122362309,1.0563702227227,0.11433405649708,0.322314602623848,0.461319836329999,0.0561933736149489,0.162984523754566,0.180959423035231,-0.00555323734190991,-0.562642383501058,-0.279764112139678,-0.510539098640605,-0.0151396332398931,-0.00899626582968716,-0.113416480590041,-0.469807153913517,-0.374936808034442,-0.354968892046073,0.725362079230005,1.10256349025309,1.26258706131914,0.906326126304975
"501",0.345739035961272,-1.352802523134,-1.24333715543045,-1.09558330415192,0.0631092546435123,-0.328813594919401,-0.48324384974177,-0.773494160371988,-0.684869628875393,-0.749927964834063,1.21190494147943,3.57193312109746,3.7556024259051,3.6604409198958,1.35382557158863,-0.295610312951451,-1.18723928075223,-1.19334586858033,-1.19113244744329,-1.1521427731801,-1.3239791971704,-1.51209154380742,-1.83980929292225,-3.19054927711356,-0.804906220622463,-0.430116557776159,-0.423368868980067,2.30368827458275,0.163476388535299,0.81295947124316,1.08124433581329,-0.205935772068121,-0.261990040485188,-0.330534756006956,-0.330534756006956,2.82913334855573,-0.186841175733472,-0.8579206077471,-0.669073968700611,-0.471775684741558,-0.47925215019361,-0.427942449700878,-0.478013613951662,0.463376892060953,0.0441435398697426,-0.622915590402143,-0.470423793183562,-0.507183488202418,-0.462234300930996,0.334563839657161,-0.347980286009902,0.287799956647077,1.38348698324676,1.37675672120803,0.795918617414459,-0.122277392523301,-0.0751166140903231,0.489464469435225,0.893500643196126,0.926787658468001,1.80780923540478,0.996981723497095,0.9958456982983,0.499023394239551
"541",0.895605655710402,-1.82438789535304,-1.45632096844245,-1.23078716995668,-1.2099878118135,-1.16809150314958,-1.05703356687948,-1.10887782017238,-1.22844450717376,-1.21988857544042,0.650121882586655,0.450633224300709,2.11234301014289,2.86652445847777,1.41319925074488,1.08971599654081,-0.83076495592642,-0.957993596428321,-1.03248383086016,-1.13032793597818,-1.26233015809771,-1.46982358553493,-1.87057138509296,-3.19547365336099,0.303495415990727,0.393806860529194,0.159064720111541,1.10618143947497,0.56045748944532,1.80685736372533,0.792376173296638,0.898286280694133,0.622351327142009,0.452397319711172,0.452397319711172,1.39903222287086,0.972243180143154,0.771993243366051,-0.387084084489099,-0.0510231999487827,0.108160613429566,0.0188715609790585,0.184768651239179,1.29283734531937,0.00462467578638501,0.357301675450653,0.329351383343291,-0.151110883032483,1.14736509469723,1.84944666859388,0.595649481635989,0.100118909714903,0.607854458620731,0.496923243156463,0.224095637562994,0.119537661145848,-0.238778686905987,0.181679204440546,0.213175188944885,0.918385931272774,1.1543468436887,1.58198858145781,1.28921926336266,0.714373428102891
"661",1.31997868435006,-1.89119531343364,-1.37321741591456,-1.12738814227147,-0.856270951376707,-1.16622600801349,-1.06862786491454,-1.03529804476012,-1.20300186244144,-1.16126495514825,0.448030346784143,1.48400074939819,1.64144465451826,3.45630145047399,3.13341379882151,3.13580969793531,-1.10223863547547,-1.17102150193554,-1.24935674528161,-1.38203412508504,-1.45500138367498,-1.63641855527919,-2.03426809044219,-3.2636881579192,2.51459249984763,0.0294984830604651,0.0100973183185989,1.82818399945339,0.706158162543346,1.73388461537719,0.65833971581776,0.152265622163929,-0.0562357800485858,-0.048646478995737,-0.048646478995737,0.229882322446509,0.377172511900309,4.2693344775915,-0.044848615220848,-0.780652353612411,-0.566996905796711,-0.492549545655265,-0.4747741517121,1.23108849963283,0.06378936831644,-0.318275012942904,-0.199463625475003,-0.367054699349983,-0.520789162113807,0.229060288945188,-0.113984733746446,-0.168493070575267,0.0422323272155745,0.0175393864664353,0.153145709290079,-0.138012894199183,-0.150543535602568,-0.109314271280696,-0.0949892548051656,0.781744395403909,1.67257108054774,1.25712056823113,1.03701475777642,0.368417999894774
"741",-0.0943027387627192,-0.695104317753663,-0.328798596602674,-0.284592797421211,1.90039630141352,0.320115103285249,-0.18206630348976,-0.223291493375848,-0.18804495384146,-0.358719916033265,1.67770870962002,2.2897218384911,2.66450366826307,2.04565110452671,0.0122082223288333,-1.47919572845393,-0.681678821631516,-0.574611235003259,-0.533027165982498,-0.731925185795447,-0.851033497459381,-1.06113482585607,-1.47822945004763,-2.93915904076106,-1.09759763180248,-0.143323241918478,-0.363773465776109,1.61982789515459,-0.432489901032994,-0.0652387975252853,0.850874220282646,-0.0545196140576977,-0.485319163484359,-0.49341367941289,-0.49341367941289,2.38928490721369,-0.665003186934373,-1.6443545690412,-0.719938556917859,-0.0242573259026341,-0.00926813195046479,0.173152767508226,0.202327874216246,-0.253010257780874,0.844574312050199,-0.508242383294239,-0.466186247967231,0.0325824457890377,-0.331796520923962,0.624969558065512,-0.19033675743869,0.593828616377585,1.39357548510794,1.53174479457166,0.642871230521268,-0.0997800440717392,0.0622217482629519,0.678978052141548,0.950606574308381,0.567133359423973,1.00112183845773,0.119914084442161,0.435480655377666,-0.0287721944601599
"801",0.975922822751362,-0.745346130680551,-0.641448849430696,-0.661717047388573,-0.369717547540032,-0.586324368953316,-0.605234845200255,-0.690996638012527,-0.87935570051892,-0.746723136050466,1.45350996549821,2.34898201462059,3.62287438406553,2.67477952380126,1.14315664620917,-0.68659137238589,-0.726482623228665,-0.768883190089865,-0.827265430322614,-0.995578809808188,-1.1050937273611,-1.32371759121369,-1.74284303549315,-3.11463257475141,-0.20198601652783,-0.0200557030719759,-0.036057412552966,1.96417102179704,-0.0355436536526305,-0.0794931996717097,-0.215221112316099,-0.0502986963751812,-0.239888288844494,-0.0646964319720067,-0.0646964319720067,2.82946056705994,-0.425596622395728,0.166453333133185,-0.214240406615686,-0.416164156202852,-0.288686029102226,-0.149218601490118,-0.0988840269109888,-0.0070839195286177,-0.114458849731341,-0.265835624964693,-0.242972000828582,-0.0240189868349464,0.0266635838811856,-0.691518034857645,-0.0814536480822614,1.15160857814449,1.86641311180199,1.92563776515909,0.774921777494891,0.143768495077893,0.316413370415187,1.16973510616397,1.04250478994158,0.829757932942701,0.926939000187278,0.00945397302587773,-0.138270117795224,-0.196217300333783
