"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"921",-9.8004,-0.43943,11.221,2.5766,4.8026,1.6599,0.97592,-0.17019,0.57944,-0.68498,0.86589,-2.5862,1.6438,0.41252,-0.76979,1.5532,0.26706,0.54528,0.36246,0.0070599,0.48625,0.42997,0.54126,0.32,0.48471,-0.0082101,0.093311,-0.040696,-0.54651,-0.17153,0.15058,-0.089745,-0.12995,-0.43385,-0.27542,-0.081135,-0.10876,-0.17005,0.20075,-0.12893,-0.0010122,0.030945,0.22322,-0.092136,-0.34542,-0.087192,0.12478,0.19851,-0.019029,0.099343,-0.34688,0.20719,0.035522,0.076453,-0.068467,0.017557,0.080375,-0.10085,-0.050936,-0.046629,0.16821,0.0029776,-0.060465,-0.076208,0.077564,-0.10536,0.016091,-0.053068,0.030137,-0.040386,0.033762,-0.0063504,-0.086398,-0.024123,-0.011608,0.0095168,0.038064,0.031691,0.00090057,-0.023727,-0.012399,0.017184,-0.024768,-0.027392,-0.0071514,0.0056663,-0.019488,0.00021619,-0.016007,-0.0069133,0.014485,0.011025,0.01048,-0.0023514,-7.3083e-05,0.0070008,-0.0065425,0.0013993,-0.012635,-0.001519,-0.0070942,5.6621e-15
"951",4.9823,3.2554,0.25992,2.8952,0.6485,-0.96331,1.4379,1.474,0.37406,-0.26456,0.22817,0.73418,0.46515,-1.0263,-0.24358,0.54882,0.097649,-0.19297,-0.64831,-0.8771,-0.23194,0.049022,0.37504,-0.11612,0.25171,-0.21719,-0.096383,-0.087198,0.11765,-0.079022,0.014509,0.30751,0.13276,0.34197,0.11147,0.1931,-0.073029,0.26878,0.20959,-0.15905,-0.1527,-0.098558,-0.015554,-0.28277,0.20774,0.067703,0.086255,-0.085263,-0.04246,0.032379,-0.11505,-0.026755,-0.053555,0.064712,-0.020535,-0.059511,-0.11143,-0.033523,-0.013523,0.013996,0.022752,0.084874,-0.030685,0.052792,0.050594,0.12474,-0.10643,-0.086737,0.023233,0.0027299,-0.021536,0.018154,-0.0063862,-0.035674,0.068132,0.015276,0.033692,0.00076242,0.038048,-0.038349,0.057773,-0.0031758,-0.0053345,-0.040112,-0.032428,-0.033766,-0.044651,-0.047553,0.063261,-0.043661,0.01498,-0.00090954,-0.01549,-0.029664,0.010437,-0.012273,0.0077544,0.010225,-0.018776,-0.038703,0.014496,2.6992e-15
"1071",-3.3812,6.6228,1.3553,-3.2763,-3.6879,-0.021272,-0.97931,-0.90381,0.04326,-1.2091,-0.10213,-1.4514,-0.089762,1.4015,0.86957,-0.28035,0.74907,0.44598,-0.51283,0.00038373,-0.3403,-0.44396,1.0088,0.33795,-0.39936,-0.20148,-0.047934,-0.0051532,0.48657,-0.33911,0.32408,-0.039516,-0.13274,0.36743,0.16383,-0.3487,-0.02522,0.31216,0.24277,-0.33502,0.23007,0.11698,0.13907,-0.16358,0.11049,-0.080231,-0.072901,0.045135,-0.010181,0.06928,-0.054141,-0.21393,-0.19082,0.048844,0.10507,0.058616,-0.091544,-0.024504,0.042963,0.057288,-0.0057581,-0.13787,0.064232,0.0016433,0.050553,-0.027758,-0.040915,-0.028262,-0.06745,-0.035133,0.044,-0.029956,-0.091218,-0.056098,0.019633,-0.019959,0.024138,-0.053061,-0.05045,0.00031777,0.016658,-0.062951,-0.018823,-0.026542,-0.015307,-0.021812,0.066173,0.029318,-0.0061399,-0.00012352,-0.0035968,-0.005824,0.026331,0.012347,-0.011952,-0.0044499,0.0044001,0.0010754,0.012643,0.00050381,-0.017798,-2.0817e-16
"1231",7.0404,7.5564,-1.3457,0.35872,0.59649,-0.047286,-0.60018,1.2792,-1.0554,-1.1183,1.0774,0.13453,0.74701,-0.7835,-0.27333,0.68914,0.21391,-0.39626,-0.022392,-1.078,0.25401,0.039757,0.13962,-0.21423,0.26257,-0.17114,0.017893,0.035558,0.052244,-0.43658,0.019211,0.097933,-0.32236,-0.20873,0.13313,-0.072601,-0.083084,-0.0827,0.3028,-0.18262,0.097019,0.076333,-0.11113,0.34104,0.11948,0.14897,0.041875,0.019622,0.11859,-0.016199,0.067768,0.23384,0.025037,0.084671,-0.012368,0.15172,-0.10202,-0.044438,0.10887,-0.012935,-0.084075,-0.044729,-0.025226,0.11218,-0.0083277,0.066621,-0.0014096,-0.14211,0.0068048,0.11201,0.10944,0.027064,0.021147,0.01515,-0.042466,-0.024011,-0.040873,0.00031446,-0.0010138,-0.0077777,-0.061776,-0.032824,0.012501,0.049001,-0.0091867,-0.021796,-0.035163,-0.0086823,-0.039277,0.0086595,-0.026433,0.032176,0.0039437,-0.010342,-0.038041,-0.024785,0.011718,0.0040315,-0.00094297,0.0057482,-0.013153,-4.9127e-15
"1281",1.8788,-0.34217,2.4478,1.2328,0.47516,0.031607,1.0556,1.1407,0.94895,-0.0018066,-1.094,-0.014401,0.053759,-0.47125,0.63687,1.6543,0.42136,0.46809,-0.27374,-0.27683,-0.03262,0.05977,0.24304,0.13769,0.20394,-0.54111,0.56886,5.6027e-06,-0.31585,-0.092041,0.26722,0.063569,0.24671,-0.054957,-0.060856,-0.14652,-0.11826,-0.30224,-0.17294,-0.041163,0.033819,-0.042517,-0.026828,-0.098735,-0.11845,0.038007,0.19058,-0.11056,0.15494,-0.024456,0.10215,-0.091711,-0.14956,-0.13196,-0.025383,-0.10485,-0.091604,0.019557,0.12283,-0.0096418,-0.030483,0.123,0.024536,-0.052001,-0.12424,0.049867,0.05448,0.071226,-0.069105,-0.055388,0.00053835,-0.029349,-0.050893,0.092378,0.00044475,0.0098493,0.020107,-0.083112,0.085881,-0.01364,-0.028327,0.0070968,0.033715,-0.029535,0.016104,-0.025647,0.029858,-0.028742,-0.026352,0.034265,0.0018968,0.0090695,0.03947,-0.055484,-0.016904,-0.006581,0.0019771,0.007665,0.012748,0.00084683,0.0039172,6.8417e-15
"1321",3.5707,-4.442,-0.10299,1.9485,-1.8114,1.2455,1.6305,1.1719,1.0501,-1.9602,-0.65566,0.30354,-0.80254,0.7115,0.089644,-0.92549,-0.17997,0.43957,-0.26772,0.13332,-0.68951,0.50626,-0.29506,-0.21138,0.37342,0.16958,0.74774,-0.32124,-0.0014419,0.47686,0.10941,0.29743,0.050943,-0.064529,-0.51606,-0.0013048,-0.089164,0.016048,-0.027052,-0.20154,0.15042,0.10283,0.0095489,0.18231,0.23256,0.075957,-0.16817,-0.018914,0.009369,0.074269,-0.12297,0.24613,-0.047296,0.14518,0.20691,-0.033154,0.066283,0.13037,0.070052,-0.25011,0.054446,-0.022397,0.020787,0.0072826,-0.088613,0.1099,0.044984,0.089917,0.049564,-0.055661,-0.01076,0.049835,-0.072726,0.0074814,-0.0032828,0.0031598,-0.018736,-0.027094,-0.056143,0.022432,0.0030205,-0.057934,0.0069813,0.0091764,-0.037361,-0.018762,-0.031062,0.0022521,0.0080578,0.0017595,0.007698,-0.010282,0.0046713,0.001914,0.0058965,0.0225,-0.007319,-0.013693,-0.0050294,-0.0015993,0.0021206,1.9706e-15
"1441",-85.693,2.9302,-27.27,4.4098,0.17926,0.45917,1.5842,-0.51589,-0.41991,-0.14932,0.080537,1.856,0.91545,-0.58259,-0.75571,0.22861,0.78831,0.022921,0.27904,0.48922,-0.89998,0.16894,0.055276,0.070958,0.59039,0.0133,0.2159,-0.027775,-0.11697,-0.38989,0.13029,-0.11429,-0.072295,0.21003,-0.068447,-0.058116,-0.032868,-0.1202,-0.070533,-0.071998,0.018123,0.075634,-0.0035083,-0.032024,-0.089426,-0.12573,0.0054137,0.015086,0.052902,-0.04757,-0.057732,0.011464,0.010749,0.011958,-0.025029,-0.0041387,0.025803,0.020139,0.018887,0.02281,0.002452,0.003971,0.027358,0.013483,0.0012755,-0.017181,1.277e-05,-0.0091515,0.012962,-0.00031744,0.0072205,-0.00033528,0.0029481,-0.0088842,-0.0078819,-0.0028673,-0.0067003,0.0015748,-0.0045924,0.0018476,0.0056387,0.0021544,0.0041915,-0.01024,0.0016067,0.0037887,-0.0010268,0.0024163,-0.0013123,-0.0038024,-0.00055331,-0.0010604,0.0002177,-0.00079909,-0.0029161,0.0010854,0.0011774,5.8524e-05,-0.0013832,-0.0016858,-0.0010324,-4.13e-14
"1561",5.8622,-1.7721,-2.7476,1.3301,-2.6488,-0.090705,0.0063195,-0.13141,0.058908,-0.18429,-0.50277,0.34543,-0.51454,2.3856,0.62425,-0.403,1.1956,0.073255,0.30954,0.017779,1.0789,-0.35855,-0.37599,-0.44641,0.016068,-0.20153,0.6697,0.401,-0.055916,-0.1253,0.043755,0.23308,0.21349,0.067434,-0.11184,-0.15486,0.10763,-0.37385,0.018978,-0.0040183,0.2781,0.21625,-0.41225,0.14367,-0.20268,-0.063448,0.3483,-0.049441,-0.21344,0.074293,-0.09018,-0.094573,-0.02006,0.0017432,0.016357,0.034277,0.04839,-0.18991,-0.0030343,0.002851,0.073056,-0.095737,-0.12537,0.07983,-0.045569,0.081426,-0.0022585,0.019092,-0.033884,0.0010248,-0.021266,-0.022719,0.037824,-0.05299,0.01132,-0.011362,0.005186,-0.026393,0.017383,-0.015803,0.051605,0.010021,0.038793,0.044567,0.027249,0.021375,-0.014057,0.0037815,-0.0049745,-0.014164,0.053856,0.0013335,-0.0040531,0.027167,0.0023082,-0.011665,0.01296,0.0014387,0.0042648,-0.018726,-0.005522,2.3037e-15
"1701",4.8813,-2.2816,-1.4705,2.0219,-2.3682,-1.5414,1.4455,0.64053,0.44008,-0.62095,0.090623,1.4287,-0.35954,0.10371,-0.71001,-0.75771,-0.50224,-0.10553,-0.43099,-0.47031,0.35433,0.35087,-0.1232,0.21142,-0.21234,-0.19973,-0.44717,0.35628,0.036316,0.098696,0.34179,0.080676,0.087137,-0.094901,-0.38041,-0.095107,0.097559,-0.24659,0.094286,0.31225,0.088036,-0.073009,0.05407,0.032745,0.051356,-0.11437,-0.20418,-0.036124,-0.050284,0.12549,0.26051,0.13541,-0.08066,-0.0515,0.10868,-0.07843,0.073103,-0.024355,-0.044987,0.12152,0.21362,-0.018238,-0.061919,0.11874,0.12074,-0.094432,-0.013391,0.031923,-0.098334,-0.049363,0.0082872,0.054622,0.010321,-0.046001,-0.043314,0.033461,-0.076619,0.019483,-0.0057176,-0.027205,0.023813,0.00032507,0.056629,-0.064872,-0.019443,-0.016505,0.00035174,-0.011141,-0.012803,-0.0011938,-0.023283,-0.0034102,9.0858e-05,-0.03287,-0.028079,-0.010994,0.023786,-0.0074094,0.0044354,0.0073206,-3.8546e-05,2.3592e-15
"1711",-21.93,3.1208,5.16,-1.4613,-2.3789,0.43734,0.073435,-0.17835,0.46024,0.15927,-0.19501,-1.5012,0.73166,0.011366,-0.27058,0.092571,-0.46946,-0.097354,1.2043,0.5266,0.77933,0.58558,-0.63,0.023048,-0.09217,-0.028624,-0.070341,0.45089,-0.17026,0.092927,-0.025474,0.007883,0.085602,0.14105,-0.020818,-0.1598,-0.38307,0.067572,0.094066,0.042541,0.12121,0.1512,-0.1502,-0.060317,0.1447,-0.044535,-0.26208,-0.12555,0.054043,0.090071,0.20039,-0.12258,-0.11532,-0.055832,-0.0002106,0.14271,0.019087,0.0051364,-0.0032954,-0.046408,0.06073,-0.06467,0.023724,0.074243,0.056762,0.021606,0.022029,0.029616,-0.029336,-0.019489,0.065978,0.11586,0.026524,0.088363,-0.038457,-0.037758,0.03647,0.018379,0.062024,-0.035767,-0.036245,0.00504,-0.055609,0.011488,-0.0030407,-0.0045041,0.0024254,0.011952,0.069046,0.031042,0.024363,0.019952,0.015697,0.011972,0.025955,-0.00023386,-0.0039361,0.03212,-0.021192,-0.0059531,0.0041032,-6.1617e-15
