"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"X1.72344",0.010525,-0.072742,-0.030355,-0.00088573,-0.010588,-0.10976,0.028935,0.14413,0.004387,0.095801,-0.010851,0.019342,0.065817,-0.028507,0.05683,-0.027917,-0.058821,0.054473,-0.025426,-0.06052,0.071302,-0.057995,-0.0035531,0.01748,-0.051207,0.03249,-0.04093,-0.0048887,0.025784,0.065397,0.0501,-0.024052,-0.032257,-0.020469,-0.068275,0.051289,0.029241,0.057509,-0.0031623,-0.01721,0.096194,-0.073561,-0.058173,-0.053736,0.05009,-0.023874,-0.035049,0.029728,0.015798,0.0040414,0.0056371,0.0092984,0.020453,-0.08136,-0.056387,-0.041387,-0.020681,0.024009,0.011223,0.086648,0.040139,0.037456,-0.045892,-0.0024283,-0.012905,-0.013848,-0.062296,0.00056023,0.017415,0.019125,-0.029633,-0.04359,-0.058062,-0.066594,0.0015319,0.027685,-0.071137,-0.049597,0.03876,0.024433,0.046918,-0.078464,-0.01327,0.036975,0.14373,-0.023167,0.039826,0.029862,-0.025892,-0.061636,-0.014142,0.02395,-0.085248,-0.028749,0.014632,0.013405,0.014405,0.0027199,-0.030585,0.028175,-0.0088758,0.10927
"X1.74348",-0.0079383,-0.08004,0.028868,-0.03851,0.024073,-0.18129,0.037958,0.14872,0.11049,0.16766,-0.027691,0.01344,0.17195,-0.13623,0.089224,-0.077701,-0.017454,-0.047781,-0.016504,-0.013495,0.096036,-0.055678,0.0015571,0.0042774,0.0063047,0.069459,-0.048837,-0.010184,0.058454,0.03758,0.028077,-0.035357,-0.0094111,0.020758,-0.086966,0.015063,-0.0098816,0.0094053,0.017319,-0.0095418,-0.038339,-0.017545,0.010165,0.027148,0.014146,0.0061058,0.013906,0.023873,0.0085735,0.065786,0.023726,0.043625,-0.020085,-0.012182,-0.034773,-0.01555,0.052433,-0.039959,0.01631,-0.044298,-0.046295,-0.0009453,-0.043631,-0.02876,0.007263,-0.033793,0.030671,0.016017,-0.0504,-0.014672,-0.053703,-0.020321,-0.033484,0.0076302,-0.097146,0.036965,0.032248,0.03518,0.061827,0.020092,0.0063344,0.048095,-0.071369,-0.028949,0.071152,-0.0064533,-0.060656,-0.075318,0.028528,-0.02892,0.022401,0.0034381,-0.062929,-0.072125,-0.06278,-0.014791,-0.043919,0.072298,-0.038697,-0.0086689,-0.01453,0.00894
"X1.76352",0.016586,-0.041674,-0.057454,0.032932,-0.039692,-0.070713,-0.004536,0.11492,-0.036758,0.037262,0.0069399,0.0045584,0.021102,0.061458,0.07379,0.029948,-0.12646,0.087492,-0.085338,-0.034534,0.10858,-0.036102,-0.10419,0.0076812,-0.085419,0.05955,-0.041458,-0.014525,0.092425,0.052069,0.071718,-0.055174,0.0054748,-0.042549,-0.069993,0.041125,-0.028489,0.081728,0.039261,-0.08004,0.022672,-0.030997,0.057841,0.030743,0.012823,-0.0057091,0.083751,5.78e-05,0.011637,0.011549,0.0065067,0.038097,-0.040076,0.0042342,0.02326,0.010773,0.10498,0.017922,-0.017118,-0.03144,-0.014427,0.083712,-0.054187,0.020736,0.080948,-0.0068678,0.069652,-0.039436,-0.08309,-0.0011938,-0.071729,0.0091813,-0.051047,-0.014598,-0.026278,0.022222,0.021881,0.019589,0.047154,0.0059989,0.05701,0.045773,-0.038168,-0.0043314,-0.066272,-0.054355,-0.066364,-0.11458,0.084438,-0.020652,0.049651,-0.065225,-0.042985,-0.076302,0.028345,-0.0059678,-0.079716,-0.076904,-0.040084,-0.033258,-0.026764,0.0069907
"X1.78356",0.022957,-0.039166,-0.058541,0.047378,-0.028888,-0.056243,0.0028842,0.11571,-0.038082,-0.013137,-0.0044456,0.0069942,-0.0228,0.06261,0.0047727,-0.021897,-0.081122,0.070619,-0.029917,-0.072361,0.066217,-0.011228,-0.018992,0.039152,-0.082358,-0.015781,-0.023986,0.043684,-0.017082,0.11856,-0.0086859,0.029714,-0.017548,-0.016155,-0.033993,0.028535,-0.0060807,0.093109,0.023286,-0.033978,0.040976,0.0098497,0.039375,-0.010973,-0.0066481,-0.037169,0.037519,0.025617,-0.0066012,-0.040717,0.0023328,0.020503,-0.036308,-0.042915,0.0037551,0.00037673,0.065782,0.044851,-0.00025691,0.036761,-0.024585,-0.0040288,0.053684,0.0092011,-0.019865,-0.019824,-0.015978,-0.035775,0.0059956,0.037319,-0.065169,-0.076397,-0.036794,-0.041307,-0.0046536,-0.022922,-0.042875,-0.02264,0.020579,-0.039568,0.056838,0.021232,0.056384,0.067409,-0.036072,-0.14607,-0.024707,-0.10233,0.019298,-0.05714,-0.034747,-0.094467,-0.018968,-0.076286,0.033327,-0.025865,-0.045718,-0.083435,0.0017303,-0.014372,-0.091735,-0.03268
"X1.8036",0.028542,-0.064022,-0.042394,0.054344,0.022092,-0.035017,0.019131,0.15433,-0.018056,-0.11085,-0.0094183,0.015965,-0.053242,0.039525,0.014559,-0.081369,-0.11389,-0.076038,-0.034925,-0.026362,0.043694,0.033787,-0.053066,0.039658,0.01581,0.016504,0.0049686,0.068183,0.021133,0.057986,-0.011959,0.046745,0.020598,0.014157,-0.0048799,0.035325,0.024018,0.018254,0.030381,-0.024211,-0.053348,-0.0039893,0.055996,-0.081871,-0.023452,-0.1495,0.050324,-0.013498,0.0055741,-0.034238,0.010064,-0.030587,0.0078471,-0.10571,0.018709,-0.028688,0.083746,-0.062534,0.052531,0.057296,-0.12186,-0.13538,0.088007,-0.064624,-0.025214,0.040637,0.10312,-0.13205,0.082681,0.14742,-0.069673,0.0079371,-0.15914,0.093552,0.052718,-0.061267,-0.10379,-0.05743,-0.091671,-0.055708,-0.037721,0.0069142,-0.070456,-0.08035,-0.11042,-0.072822,0.07249,0.0020256,0.062315,-0.053178,0.11066,-0.021275,0.056648,0.026371,-0.015795,-0.030014,0.071038,0.083587,0.082452,0.033406,0.044789,-0.010922
"X1.82364",0.025032,-0.05576,-0.03508,0.047138,0.020224,-0.034956,0.0079306,0.17902,-0.018743,-0.11325,-0.010847,0.0032417,-0.078887,0.066718,0.02804,-0.096632,-0.10016,-0.025235,-0.028515,-0.045811,0.016791,0.028063,0.020205,0.015362,0.027044,0.015766,-0.0022884,0.051992,0.064294,0.074921,-0.01036,-0.083579,-0.02957,-0.0079019,0.030981,-0.050649,0.015591,0.055499,0.029593,-0.023134,-0.10451,0.061241,-0.0095418,-0.0031178,-0.058079,-0.057318,0.067379,0.070665,-0.014762,-0.14121,0.01706,0.013348,0.049902,-0.0081002,-0.016338,-0.014407,0.062138,0.033018,0.032122,0.027807,-0.047135,-0.067935,0.027869,0.0084113,-0.038639,-0.040879,-0.096316,0.041965,-0.047832,-0.015647,-0.027582,-0.074106,0.056424,-0.028783,-0.014399,0.061966,-0.059373,0.010315,0.06869,0.044922,-0.068768,0.018579,0.0040642,-0.025729,0.01061,0.034874,-0.072575,0.095187,0.013559,0.052601,0.048922,-0.041072,0.06985,0.012648,-0.018068,-0.10682,0.041132,-0.012164,-0.069324,-0.010773,0.059033,-0.10512
"X1.84368",0.021349,-0.03108,-0.047176,0.051609,-0.027354,-0.066087,-0.010297,0.14438,-0.040836,-0.049378,-0.008478,-0.010746,-0.047864,0.065357,0.0067547,-0.030637,-0.048645,0.096165,-0.019912,-0.065048,0.047608,-0.020049,0.037153,0.02804,-0.051858,8.3078e-06,-0.0059537,0.019501,0.0069755,0.11023,-0.011771,-0.023606,-0.019114,-0.0043835,0.0045859,-0.019126,-0.029868,0.026903,0.048236,-0.00080646,-0.032718,0.026239,0.023932,0.01465,-0.049636,0.010111,0.047419,-0.00073606,0.0039755,-0.076659,-0.0063202,0.028546,0.012355,-0.069092,-0.04102,0.020852,0.049021,0.0087055,-0.0099344,0.0043277,-0.041786,-0.047376,0.030096,0.017136,0.022851,-0.085397,-0.070679,-0.025278,-0.076516,-0.021366,-0.097407,-0.026992,-0.020299,0.041811,-0.0043092,0.045621,-0.03584,0.011346,0.050726,-0.0078263,-0.042408,-0.048871,0.055189,0.010867,0.027561,-0.019258,-0.075461,-0.012318,0.10127,0.11373,-0.022069,0.0092261,0.06553,0.024049,-0.01675,0.02714,-0.0084485,-0.018572,-0.069531,-0.052445,0.018896,-0.052783
"X1.86372",0.022204,-0.025183,-0.05118,0.05651,-0.035176,-0.075358,-0.014731,0.12991,-0.037709,-0.043003,-0.0094875,-0.013442,-0.037406,0.048587,-5.0347e-06,-0.01084,-0.027613,0.11035,-0.0024839,-0.05999,0.042337,-0.029127,0.027286,0.053243,-0.065447,-0.0043994,0.0060889,0.033057,-0.023366,0.10925,-0.0023166,0.021602,-0.0047544,0.027158,-0.022165,0.015099,-0.030941,-0.0087332,0.047684,-0.01284,-0.0066615,-0.0039266,0.040732,0.00015277,-0.052032,0.020734,0.018977,-0.0099789,0.00048783,-0.03677,-0.0077833,0.026385,-0.014825,-0.070203,-0.016258,0.025985,0.028344,-0.034011,-0.037922,0.0076786,-0.032173,-0.079937,0.059588,0.0064744,0.022152,-0.07383,-0.065524,-0.043341,-0.0015163,0.0088843,-0.057746,0.057425,-0.062483,0.1001,0.010392,0.0064015,0.00069508,-0.001495,0.015606,0.0084762,0.069249,-0.04103,0.071201,0.11248,0.063776,-0.011185,-0.0038959,-0.0009361,0.076672,0.022454,0.0069909,0.029772,0.016633,-0.018104,-0.04338,0.051963,0.020118,0.07933,-0.051201,-0.036018,-0.056742,-0.043436
"X1.88376",0.02295,-0.022477,-0.048312,0.065258,-0.04057,-0.075537,-0.015564,0.1312,-0.040667,-0.048721,-0.0096587,-0.023421,-0.039848,0.04438,-0.014913,-0.013843,-0.0043538,0.11812,0.0070548,-0.062144,0.026563,-0.02783,0.028605,0.059192,-0.067593,-0.021166,0.016574,0.024017,-0.032246,0.099064,-0.00048331,0.030204,0.0095361,0.045947,-0.01513,0.0043438,-0.035101,-0.017152,0.043452,-0.004335,-0.012524,-0.012817,0.026953,-0.0028769,-0.050519,0.010368,0.018564,-0.025444,-0.0082419,-0.0035734,0.02081,0.01524,-0.01131,-0.056984,-0.026652,0.019438,0.0080675,-0.043715,-0.020164,0.0092778,-0.008043,-0.071482,0.045584,0.016402,0.0041321,-0.025168,-0.041667,-0.023698,0.0017826,-0.02225,0.021844,0.060291,-0.046603,0.069886,-0.053754,-0.0093994,0.044279,-0.01576,0.012624,-0.041877,-0.0066656,-0.0013728,0.079958,-0.03015,0.049129,-0.029423,0.027926,-0.0098602,-0.032216,0.043822,-0.022966,0.042037,0.039202,-0.019316,-0.095899,-0.01866,-0.0047288,0.04374,0.0025047,0.041541,-0.044325,0.021208
"X1.9038",0.026545,-0.017422,-0.046643,0.073827,-0.045666,-0.075936,-0.014935,0.13416,-0.046633,-0.052869,-0.01436,-0.025772,-0.041747,0.03439,-0.017579,-0.0075752,0.014002,0.11653,0.0072833,-0.052881,0.0077434,-0.02437,0.030393,0.059919,-0.057344,-0.018295,0.039013,0.013016,-0.019576,0.070987,0.022264,0.0243,0.03731,0.058484,-0.029666,-0.0089473,-0.039113,-0.037116,0.047884,-0.017509,-0.017448,-0.02086,0.049799,0.0090538,-0.04795,0.0046496,0.0032144,-0.037726,-0.021037,0.020022,0.004823,0.0058693,-0.0089395,-0.049289,-0.032806,0.019193,0.0071997,-0.062105,0.0046388,0.010561,-0.018102,-0.052422,0.016168,0.030946,0.012655,-0.017552,0.011961,-0.0050901,0.036883,0.00229,0.02919,0.063354,-0.036962,0.036612,-0.077522,0.054663,0.018074,-0.026778,-0.063487,-0.068432,-0.083156,-0.041804,0.013654,-0.11368,-0.074353,0.0097277,-0.035563,-0.011862,-0.012589,0.076846,0.011654,0.024318,0.0013615,0.03742,-0.014758,0.02021,-0.0060373,-0.038017,-0.047219,-0.011439,-0.021508,0.016579
